,ID,Z_RGES,Z_Up,Z_Down,Penalty,SMILES,GNN_prob,GNN_pred
0,ZINC000052509362,-8.744065741,-6.74451839,1.999547351,0.121130952,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1,0.94879997,1
1,ZINC000004991267,-8.387660416,-4.517851227,3.86980919,0.095833333,Oc1c(Cl)cc(Cl)cc1/C=N/Nc1cccc2cccnc12,0.17974016,0
2,ZINC000001587769,-8.087895178,-5.157827364,2.930067814,0.146577381,Cc1ccnc(N[C@@H](c2ccccc2)c2ccc3cccnc3c2O)c1,0.42117748,0
3,ZINC000040157965,-8.008293822,-6.62667892,1.381614901,0.126636905,C=CC(=O)NCc1ccc(C(=O)Nc2ccccc2Oc2ccc(OCC)cc2)cc1,0.81568766,1
4,ZINC000038166206,-7.865754367,-5.77197775,2.093776617,0.124702381,O=c1c2c(-c3ccc(Cl)cc3)csc2ncn1/N=C/c1cccc([N+](=O)[O-])c1O,0.6841066,1
5,ZINC000005215902,-7.75062938,-5.331170848,2.419458531,0.108482143,Oc1ccc2c(c1)Oc1ncn3nc(-c4ccncc4)nc3c1[C@@H]2c1ccccc1,0.63849765,1
6,ZINC000008974227,-7.440524833,-4.768515466,2.672009368,0.104910714,Oc1ccc2c(c1)Oc1ncn3nc(-c4ccc(Cl)cc4)nc3c1[C@H]2c1cccnc1,0.3345044,0
7,ZINC000012421839,-7.321595898,-5.510474317,1.811121581,0.053571429,O=C(Nc1nc2ccc(F)cc2s1)c1cnc2ccccc2c1O,0.8712869,1
8,ZINC000254821236,-7.265865201,-4.282128625,2.983736576,0.104315476,O=C[C@@]12[C@@H]3[C@@H]4[C@H]([C@H]5CC=C[C@@H]53)[C@@H]3[C@H]5[C@@H]4[C@@H]1[C@@H]1CC[C@@H](O[C@@H]32)[C@H]15,0.00096096,0
9,ZINC000022574023,-7.097259746,-5.407106074,1.690153672,0.115327381,Cc1ccc(S(=O)(=O)c2cnc3ccc(F)cc3c2N2CCN(C)CC2)cc1C,0.5537827,1
10,ZINC000005347190,-7.077540735,-5.200357905,1.87718283,0.108482143,Oc1ccc2c(c1)Oc1ncn3nc(-c4cccnc4)nc3c1[C@@H]2c1cccnc1,0.5707459,1
11,ZINC000004178900,-7.053239816,-4.291562483,2.761677333,0.121875,Cc1ccnc(N[C@@H](c2ccccc2F)c2ccc3cccnc3c2O)c1,0.49833003,0
12,ZINC000000188864,-7.013731452,-5.144787054,1.868944398,0.079910714,c1cc2c(cc1C1CCCC1)c1c3n2CCN[C@@H]3CCC1,0.9624272,1
13,ZINC000222773583,-6.931066368,-4.035790623,2.895275745,0.09389881,Nc1nc(NCc2ccc(C(F)(F)F)cc2F)cc(C2CC(N)C2)n1,0.8570344,1
14,ZINC000000935965,-6.902443996,-4.869931464,2.032512532,0.089285714,O=C(Cn1cnc2scc(-c3ccccc3)c2c1=O)Nc1ccccc1C(F)(F)F,0.8670322,1
15,ZINC000009088297,-6.845258538,-5.24919007,1.596068468,0.075,O=C(Nc1cc(O)nc2nc(-c3ccccc3)nn12)c1ccc([N+](=O)[O-])cc1,0.84162223,1
16,ZINC000015074987,-6.660507465,-5.026642449,1.633865016,0.124404762,COc1ccc2cc(-c3n[nH]cc3CN(C)[C@@H](C)c3ccon3)ccc2c1,0.37276956,0
17,ZINC000218673809,-6.613751848,-4.672708175,1.941043673,0.064285714,CC(C)(C)OC(=O)N[C@@]1(C=O)[C@H](c2cccc(Cl)c2)[C@@H]1S(=O)(=O)c1ccc(Cl)cc1,0.47457078,0
18,ZINC000013690102,-6.508966118,-5.07149602,1.437470099,0.090922619,O=C1C[C@H](c2ccc(OCCc3ccccc3)cc2)c2c(O)nc3nc4ccccc4n3c2N1,0.62580234,1
19,ZINC000054114290,-6.505903836,-2.222609676,4.283294161,0.17797619,Oc1cccnc1N[C@H](c1ccc(OC(F)F)cc1)c1ccc2cccnc2c1O,0.31025785,0
20,ZINC000012198624,-6.466338402,-5.458165335,1.008173066,0.076636905,COc1ccc2cc(-c3n[nH]cc3CNCCCOc3cccnc3)ccc2c1,0.5047104,1
21,ZINC000009831132,-6.465443418,-4.385664631,2.079778788,0.065922619,COc1cc2nc(NCc3ccc(F)cc3)n3nc(-c4ccccc4)nc3c2cc1OC,0.78590626,1
22,ZINC000004595567,-6.447239646,-2.255783563,4.191456083,0.130803571,Oc1c(Cl)cc(Cl)cc1/C=N/Nc1ncc(Br)cn1,0.14193529,0
23,ZINC000055108561,-6.440645002,-4.438200238,2.002444764,0.074702381,C=CCn1cc(CN[C@@H](CC(C)C)c2ncnn2C)c(C)n1,0.9320318,1
24,ZINC000018204131,-6.434877478,-4.540769328,1.89410815,0.101636905,CC(C)(C)c1ccc(C(=O)Nc2cc(O)nc3nc(-c4ccccc4)nn23)cc1,0.5799126,1
25,ZINC000017179937,-6.4058795,-4.196691965,2.209187535,0.063988095,COc1ccccc1N(Cc1cc2ccccc2[nH]c1=O)C(=O)c1cccc([N+](=O)[O-])c1,0.9427418,1
26,ZINC000299817585,-6.380965787,-3.324068529,3.056897259,0.062053571,CC1=C[C@@]23C(=O)[C@@H](C=C4COC(C)(C)O[C@H]4[C@@]24OC(C)(C)O[C@@H]14)[C@@H]1[C@@H](C[C@H]3C)C1(C)C,0.98976755,1
27,ZINC000015423604,-6.358691464,-3.699493494,2.65919797,0.060416667,FC(F)(F)c1ccccc1NCc1cccc2[nH]ccc12,0.6800216,1
28,ZINC000078914916,-6.324061258,-4.371624742,1.952436516,0.096130952,O=C(c1cn2cccnc2n1)N(Cc1ccco1)c1ccc(F)cc1,0.9190013,1
29,ZINC000000463024,-6.301064876,-4.011009076,2.2900558,0.051636905,Cc1cc(NC(=O)/C=C/c2ccccc2[N+](=O)[O-])no1,0.9948346,1
30,ZINC000067434188,-6.255522523,-3.805625942,2.449896581,0.042857143,O=C1N(CCC2CCCCC2)CCC[C@@]1(O)CNCc1cnn2cccnc12,0.965555,1
31,ZINC000019889621,-6.229733085,-3.446289844,2.78344324,0.086458333,FC(F)(F)c1ccccc1CN1CCN(C[C@@H]2CC=CCC2)CC1,0.965589,1
32,ZINC000096243497,-6.228748447,-3.265521641,2.963226805,0.08125,COc1ccc(C(=O)N2CCC3(CC2)CCn2c(-c4cnn(C)c4)cnc23)cc1,0.9603392,1
33,ZINC000008952219,-6.214113777,-3.481838993,2.732274784,0.051339286,COc1ccc(-c2cnc(N3N=C(c4ccccc4)/C(=N/Nc4ccccc4O)C3=O)s2)cc1,0.41754663,0
34,ZINC000093416449,-6.212993953,-2.444184541,3.768809411,0.047767857,FC(F)C(F)(F)CN1CCN(C[C@@H]2CC=CCC2)CC1,0.97898626,1
35,ZINC000103932729,-6.208853241,-4.253408296,1.955444944,0.063988095,COc1ccc([N+](=O)[O-])cc1N1C(=O)[C@@H]2[C@H]3CCCN3[C@@]3(C(=O)Nc4ccc(Cl)cc43)[C@@H]2C1=O,0.6575865,1
36,ZINC000408688680,-6.180775899,-3.963963462,2.216812437,0.071428571,O=C(c1cccc([N+](=O)[O-])c1)N(Cc1ccc(Cl)cc1Cl)N1C(=O)[C@H]2[C@H]3CC[C@@H](C3)[C@H]2C1=O,0.91526765,1
37,ZINC000101166976,-6.152685895,-3.376880147,2.775805748,0.070833333,Clc1ccc(C2=C[C@H](c3c(Cl)cccc3Cl)n3nnnc3N2)cc1,0.4679964,0
38,ZINC000021873631,-6.152289927,-3.674887669,2.477402258,0.065625,Cn1ncc2c(Nc3ccc(F)cc3)nc(N3CCC(Cc4ccccc4)CC3)nc21,0.9246537,1
39,ZINC000045944545,-6.139757834,-3.154068185,2.985689649,0.091369048,Cc1cccc(N[C@@H](c2ccccn2)c2cc(Cl)c3cccnc3c2O)n1,0.4941031,0
40,ZINC000408894905,-6.09211575,-3.858753736,2.233362014,0.069494048,CCOc1ccccc1/C=C1\C(=O)N(CCc2ccc(OC)cc2)C(C)=C1C(=O)OC,0.007386634,0
41,ZINC000008432688,-6.088086821,-4.368638414,1.719448408,0.101041667,CCCCCCCCCOc1ccc(/C(C)=N/N=C2\NC(=O)CS2)cc1,0.82460755,1
42,ZINC000019634177,-6.077683693,-3.103564518,2.974119175,0.040625,OCCN1CCN(C[C@H]2CC=CCC2)CC1,0.9936695,1
43,ZINC000015276256,-6.036376655,-4.290535153,1.745841502,0.057142857,C[C@H]1N[C@]2(C(=O)N(C/C=C\c3ccccc3)c3ccccc32)[C@@H]2C(=O)N(Cc3ccccc3)C(=O)[C@H]12,0.062383566,0
44,ZINC000009374491,-6.026028466,-4.109802528,1.916225939,0.081845238,CCOc1ccc(N(Cc2cc3cccc(C)c3[nH]c2=O)C(=O)c2cccc([N+](=O)[O-])c2)cc1,0.8924745,1
45,ZINC000104054531,-6.016729807,-2.139128352,3.877601455,0.080059524,CC(=O)O[C@H]1CC[C@H]2[C@H]3CCC(=O)CC(=O)CCC(=O)[C@@H]3CC[C@]12C,0.018143585,0
46,ZINC000008974838,-6.010227578,-3.422466866,2.587760713,0.046130952,CN(C)c1ccc(-c2nc3c4c(ncn3n2)OC2=C(C(=O)CCC2)[C@@H]4c2ccco2)cc1,0.5103957,1
47,ZINC000004999770,-6.003678064,-4.609449578,1.394228486,0.044494048,COc1cccc(CNc2nnnn2C)c1OCc1ccc(C)cc1,0.35658708,0
48,ZINC000257294129,-6.001114252,-3.123400321,2.877713931,0.058184524,CN(Cc1ccc(OCCOCCO)cc1)C[C@@H](O)Cn1ccc2ccccc21,0.546533,1
49,ZINC000017195742,-5.97738953,-2.824174999,3.153214532,0.037053571,COc1cccc(N(Cc2cc3cccc(C)c3[nH]c2=O)C(=O)c2cccc([N+](=O)[O-])c2)c1,0.9025652,1
