Symbol,Value
ABALON,1.90186357009813
ABCA1,1.5508124637937502
ABCA9,-2.4636068220490697
ABCB4,3.17677040395179
ABCC1,1.34607851742785
ABCC2,1.2837954386233001
ABHD11,-1.2874404129453998
ABHD14A,-1.28724665367087
ABHD8,-1.1900365951171399
ABLIM2,-1.59776873531362
AC000403.4,-2.16692336945596
AC002310.14,1.11085727410351
AC004057.1,-3.82314267637357
AC004076.5,1.5997127124260402
AC004540.4,2.07231380413452
AC004540.5,1.58291733914217
AC004603.4,-3.5474322310299904
AC004623.3,1.4738993660255102
AC004951.6,2.9271240751387
AC005062.2,-1.4570793454780502
AC005330.2,-1.98660072134458
AC005481.5,3.6898479985955297
AC005754.8,1.92959274423162
AC005943.2,3.7522696535801296
AC006946.15,-2.65922554954312
AC006946.16,1.2582227273924098
AC007163.3,-3.42257478176785
AC007191.4,2.15327555804953
AC007192.6,-6.10579520063388
AC007292.3,2.26536322731391
AC007405.6,-1.6215518412549998
AC007620.3,1.889944451142
AC009237.8,2.22270934607095
AC010649.1,-6.85826685083434
AC011330.13,-1.9379582136501001
AC011516.2,-5.67550897698506
AC012314.8,1.43042193634439
AC012354.6,-6.44404870049809
AC018647.3,-3.16684310153777
AC063976.7,3.5124494078346697
AC068831.15,-5.9668128328257
AC069282.6,-0.0347044204047861
AC084219.3,1.8886691265327098
AC108142.1,1.89206623290719
AC110615.1,-5.76857925099853
AC113188.2,-4.72200035513664
AC131097.4,-3.19695379524544
AC139100.4,1.48107430477182
AC141928.1,-1.8077219608232502
AC145676.2,2.98402101224517
ACAA2,-1.3985519101213
ACADSB,-1.47267235248456
ACAN,4.97229328867735
ACSBG1,-2.0559484075338
ACSL5,-2.23557752871667
ACTR10,-1.3458897341224199
ACTR3B,-1.75176303459293
ACVR1C,-2.09129098080614
ACVR2B,1.6531196930061103
ACYP1,-1.20526917133442
ADAMTS12,2.51283851362574
ADAMTS15,3.15609803081689
ADAMTS17,1.4528161679099398
ADAMTS3,1.4805928615064499
ADAMTS6,1.7057640257085
ADAMTS7,2.18577404979717
ADAMTS7P1,-1.82506680135603
ADAMTSL5,-3.1259468321102406
ADAP1,-1.96627077033919
ADAT3,1.24283959051643
ADGRL3,1.57838324775626
ADH1B,-4.80110490591425
ADIRF,-2.19582042568218
ADORA2A-AS1,1.5519063244343998
ADPGK-AS1,-0.18711455987280998
ADRA2C,-1.90726976622623
AF127577.10,-5.8099431462328806
AF131215.2,1.66168892810953
AF131216.5,-2.5699283704405897
AFAP1,1.65248351499309
AFAP1L2,1.5911479560034298
AGPAT4-IT1,2.40453584203296
AGRN,2.04852927774923
AHR,1.8294648911870601
AHRR,1.37496620350846
AIF1,-1.7573764886150198
AIFM3,-2.12908000695288
AK5,-3.5237396118388795
AK7,-3.04465600261432
AKTIP,-1.5366771411570799
AL589743.1,2.7888904260243703
ALB,-3.02963181562006
ALDH1A1,-3.44139843992659
ALDH1L2,1.2992896483481
ALDH2,-1.8673246309936002
ALDOC,-1.72308206674016
ALG10B,1.31357094392271
ALK,2.52977876800419
AMACR,-1.30202457064049
AMER1,1.3675047337922002
AMH,2.52152152708221
AMN1,-1.7542260260678704
AMOTL2,1.2784039816356598
AMY2A,-3.8865948615402504
ANAPC15,-1.94837971875606
ANGPTL2,2.49002084224394
ANKFN1,1.92835112563466
ANKK1,-3.16662278319031
ANKRD10-IT1,-0.107831330549039
ANKRD19P,-2.17503096124894
ANKRD20A1,3.13510213508753
ANKRD20A2,3.73638364102566
ANKRD20A3,3.14278331600778
ANKRD20A4,2.6075396309575
ANKRD24,-1.78087900777592
ANKRD29,-1.4259725926876101
ANKRD30BL,-0.0703470166379828
ANKRD34B,-4.57118754600302
ANKRD50,1.5659429965570302
ANKRD65,-1.45646350837857
ANO3,-3.24904143536084
ANOS1,2.42357073210274
ANXA2P2,-1.82915197095539
ANXA3,-3.0040577027500897
ANXA7,-1.44772929718548
AP000439.1,-2.4125613511784305
AP000648.5,1.92539863877967
AP001189.4,-2.33252369040157
AP003419.11,-6.92224929665952
AP3S1,-1.4360929660700401
APC2,1.68554846282168
APCDD1,1.4227911167702099
APOD,-2.06920375409876
APOL1,-2.34357140472081
APOL3,-1.9763283901683601
APOO,-1.35074959769965
AR,1.99764142093712
ARAP1-AS2,1.90954694328689
ARHGAP11A,2.58377299744719
ARHGAP11B,2.444697281637
ARHGAP19-SLIT1,3.1091548446030295
ARHGAP44,-1.45405228614698
ARHGDIG,-2.1501770743412
ARHGEF15,-1.42648558654185
ARL10,1.3831937512259098
ARL2,-1.39062031262555
ARL4C,1.43785982097231
ARPC5L,-1.26768844054959
ARPP21,-2.6358949675592203
ARRB1,-1.41358158094935
ARSI,-2.6517052121670295
ARSJ,1.7683619209757
ARX,-6.222654479255531
ASCL1,2.5369181423949
ASCL5,2.66585234984541
ASF1B,2.9921739292652596
ASIC4,2.3190026767292697
ASPA,-2.76107565604654
ASPDH,-2.91712221204109
ASPHD1,-2.86110832925201
ASPM,6.3905180564462105
ASRGL1,-1.8143582918535
ASTN2,1.57175115069442
ATAD2,1.22743407381451
ATAD5,2.04332040764622
ATF7IP,1.56747379327088
ATL1,-1.54504762644969
ATOH7,-1.89586040965051
ATOX1,-1.4016179187904598
ATP1A4,2.20192128899242
ATP5E,-1.02722210690441
ATP5G1,-1.52331273408907
ATP5G3,-1.21320590039325
ATP5H,-1.3549152525673798
ATP5I,-1.32228769869498
ATP5J,-1.26994199685029
ATP5J2-PTCD1,1.26865239613195
ATP5L,-1.1171330127013899
ATP6V0C,-1.21017975319601
ATP6V1D,-1.3276801896206
ATP6V1E1,-1.7352567738677902
ATP6V1G2,-2.36396704071861
ATP6V1H,-1.6121524898235802
ATPAF1,-1.38402046512938
AURKA,2.4573989999389196
AURKB,3.6809439860719597
AVPI1,-1.31158116841162
B3GALT4,-1.09089891831715
B3GNT7,1.8221392409705401
BACE2,1.14378335802112
BACH2,2.2467097238085296
BAHD1,1.25285362413592
BANK1,-2.16136991993371
BARD1,1.77112761217293
BCAN,3.4064959130759798
BCAT1,1.6074129829528898
BCHE,2.94750898464986
BCL7B,-1.27783099467428
BCORL1,1.3773734020771
BDH2,-1.6932454035042301
BEAN1,1.67921050043688
BEND4,3.7148345039393105
BEND7,1.1747779877584599
BEX1,-2.26770314023458
BEX2,-2.41302650498746
BEX4,-1.5052217579661997
BEX5,-3.18435335846135
BFSP1,-1.6175240334213603
BHLHE22,-5.18918494877268
BHMT2,-2.88691167225193
BICD1,1.7516703106548601
BIRC5,4.92491551613533
BIVM-ERCC5,3.4307830744655
BLM,1.7213349792455899
BLOC1S2,-1.68663156094443
BLOC1S5-TXNDC5,-3.86551268507101
BLVRB,-1.1975626450848798
BMF,1.9453253543715001
BMP2,2.01181932343297
BMP8B,1.47269553109667
BMPER,2.3021245992931
BNIPL,2.37989545355408
BOLA3,-1.5457062714073797
BRCA1,1.5160462034747602
BRCA2,2.5079154534292702
BRIP1,3.33534241154206
BSCL2,-2.5448171050697996
BSPRY,-3.97486386609842
BTBD16,-3.10994455674536
BTBD17,3.02921414671917
BTN2A3P,1.8309452026055402
BUB1,4.78487606619876
BUB1B,4.78488294004114
C10orf142,-2.5390179747542203
C10orf35,-1.71627821450326
C11orf1,-1.42437049746711
C11orf84,1.15072948148552
C11orf88,-3.9810305156244303
C11orf98,-1.1660180448748998
C14orf1,-1.3257840657821498
C14orf2,-2.12910510410607
C15orf65,-1.2679996093687198
C16orf86,-1.3204978282277
C16orf89,-1.69368732880821
C17orf53,2.3293417025202596
C18orf32,-1.4467086732734298
C18orf54,1.5405077658540902
C19orf57,1.99496029027603
C1QL1,3.9913611433687
C1QL4,3.7618384852789903
C1orf106,2.96147524642237
C1orf112,1.0083973572929101
C1orf115,-2.44444586308181
C1orf162,-1.51273599200294
C1orf220,1.82127887478468
C1orf226,2.88713068525005
C1orf54,-1.7698356201278502
C1orf87,-4.53378219825733
C1orf94,1.94434695985699
C20orf195,1.5212102112024
C2orf27A,1.68906335084842
C2orf44,1.1702175568001998
C2orf74,-2.05751240804073
C3orf14,-1.6307484881763201
C3orf67,1.72826234777502
C4B,1.62663358782894
C4orf50,-2.6479489036269706
C5orf38,1.9977942122751697
C5orf64,-2.42622054714461
C6orf136,-1.35781751258073
C7orf55,-1.10326313016243
C9orf116,-1.59023009462454
C9orf135,-6.2436443444243706
C9orf24,-3.67917725872453
CA11,-3.4533930867720004
CA3,2.06894248639105
CA4,-2.92427539424071
CA7,-4.10663293924218
CAB39L,-1.11843547279011
CABIN1,1.19934628393668
CABP1,-2.9829333733981698
CACNA1F,-2.5548682785714703
CACNA1I,-1.8081783887213
CACNA2D3,-1.70064006505256
CACNG3,-6.18383601735958
CACNG4,1.7169800419423602
CACTIN-AS1,1.4725695833435
CALCRL,1.9460333471525202
CALM1,-1.68335433664859
CALM2,-1.7737201055490401
CALM3,-1.5533009377178602
CALY,-3.78417150522183
CAMK1,-1.5328441344183799
CAMK1G,-4.56117557197245
CAMK2A,-4.81500834028059
CAMK2B,-2.2600588186439903
CAPN3,-2.49284130979511
CAPN5,1.5807581080467799
CAPNS1,-1.14901681549055
CARTPT,-5.540710607360361
CASC15,2.4528247584773197
CASC5,5.42963456464064
CASK,1.50921641245029
CASZ1,2.2807250529918996
CATSPER2,-1.2139887989001599
CBLN3,-1.8929517052787301
CBLN4,-3.16008642406645
CBX2,4.739877505404559
CBX4,1.18978497760585
CBX5,1.5154490607804
CBX7,-1.64296926727225
CBX8,2.32140656533612
CCBE1,-3.20373177891314
CCDC108,-2.6257517633905603
CCDC114,-4.18213947403593
CCDC142,1.60624809070716
CCDC150,1.47793140800122
CCDC153,-2.2150543838504198
CCDC169,1.09528515659195
CCDC176,-1.5812714653386297
CCDC18,1.66864054465941
CCDC23,-1.21849467102273
CCDC28A,-1.8129174473464098
CCDC53,-1.07266424446384
CCDC64,-2.33076388790444
CCDC68,-2.12338065051931
CCDC69,-1.40471437106644
CCDC8,-2.6143919816529597
CCDC80,1.7904119003885501
CCDC85B,-1.64682265956994
CCER2,1.27779047822752
CCK,-6.913042386330599
CCKBR,-2.97132460373964
CCL19,-5.69633794794276
CCL3,-3.23563415610613
CCL4,-3.44097937280567
CCL4L2,-3.4127232430378402
CCM2L,-1.2662957405911102
CCNA2,1.6558625602454902
CCNB1,2.12229925557003
CCNB2,3.97573725157297
CCND1,1.8662608525278601
CCND2,2.8385331227797597
CCNF,1.4970007092981201
CCNI2,-2.05049659559167
CCNO,-5.6662346468414295
CD101,2.62665143352033
CD276,1.7763162876473502
CD40,-1.68700538688025
CD44,1.36710033063373
