epoch: train_acc1 test_acc1 test_f1 pure_ratio1
0: 0 26.9911504425 0.18876853941680602 0
1: 55.3465432961 49.5752212389 0.48937314591756714 56.641183191026926
2: 62.170478352 49.4336283186 0.48938869816701464 56.5639684306544
3: 64.6953561453 49.6283185841 0.48803679940811745 56.5519127303278
4: 66.172747905 51.0619469027 0.5046503229734288 56.604784631030036
5: 67.5879451816 49.7168141593 0.49438619422311225 56.58357458578472
6: 68.6768942039 52.407079646 0.5154558645232067 56.60671995215622
7: 69.3490310754 50.2831858407 0.50028396743036 56.62244554925375
8: 70.3288669693 51.4690265487 0.5075993752076349 56.62446786514747
9: 70.9726344274 51.7345132743 0.5103456904874075 56.6364380053697
10: 71.6884165503 50.6194690265 0.5020615917677674 56.643140762449235
11: 72.123777933 51.0619469027 0.503990292773311 56.64071913224775
12: 72.6289717179 50.2300884956 0.49973969974346844 56.682197546080246
13: 72.866838338 53.8938053097 0.5267783176145054 56.65747548117133
14: 73.4745984637 50.4955752212 0.49951895168144755 56.675544208352605
15: 73.5269727654 51.3097345133 0.5056268922306792 56.67210559069207
16: 73.7124650838 50.8318584071 0.5004771843623645 56.66529349656242
17: 73.9885212989 51.0619469027 0.5060858790613848 56.676089914087115
18: 74.0736295391 52.2300884956 0.5122943133308625 56.65937839522159
19: 74.6410178073 51.3451327434 0.5042595306482957 56.682824216723255
20: 74.7457664106 51.2920353982 0.5059179747376472 56.675333571486476
21: 74.8832489525 51.9292035398 0.5104166663532891 56.684107088221694
22: 75.0763791899 51.4159292035 0.5072635561860921 56.674003811998425
23: 75.3546176676 51.7876106195 0.5110692089513834 56.66990371602089
24: 75.3415240922 51.9469026549 0.5098680026726207 56.69024393312665
