Compound ID	SMILES
KV-00019943	CCOC(=O)c1cnc2c(F)cccc2c1O
KV-00040793	O=C(CSc1nnnn1-c1ccc(O)cc1)c1ccc(F)cc1
KV-00040794	Cn1nc(NC(=O)COCC(=O)O)c2ccccc21
KV-00040795	Cc1c(C)c(C)c(C(=O)/C(=N/N)c2ccccc2)c(C)c1C
KV-00040796	FC(F)(F)c1ccc2[nH]c(SCc3ccc(Br)cc3)nc2c1
KV-00040797	Cc1c(C)c(C)c(C(=O)c2ccc(Cl)cc2)c(C)c1C
KV-00040798	COc1ccc(CCNC(=O)Cc2cc(OC)c(OC)cc2CO)cc1OC
KV-00040799	CCn1nnnc1SCC(=O)N1CCN(c2ccccc2)CC1
KV-00040800	FC(F)(F)c1cccc(N2CCN(c3nc(-c4ccc(Cl)cc4)cs3)CC2)c1
KV-00040801	CSC1=NC(C)N2C(SC)=NC(C)N12
KV-00040802	OC(CN1CCN(C(c2ccccc2)c2ccccc2)CC1)Oc1cccc(C(F)(F)F)c1
KV-00040803	C/S(=N\S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1
KV-00040804	O=C(NC12CC3CC(CC(C3)C1)C2)c1ccccc1
KV-00040805	O=C1OC(c2cccnc2Sc2ccc(Cl)cc2)=N/C1=C\c1ccc(C(F)(F)F)cc1
KV-00040806	O=C(c1cccnc1Oc1ccccc1)N1CCOCC1
KV-00040807	CC(O)(CCO)C12CC3CC(CC(C3)C1)C2
KV-00040808	C/C(CC12CC3CC(CC(C3)C1)C2)=N\O
KV-00040809	Nc1nc2c(c(C(F)(F)F)n1)CCCC2
KV-00040810	Clc1c(Cl)c(Cl)c(-n2cccc2)c(Cl)c1Cl
KV-00040811	CCOC(=O)C(C#N)Cc1c(C)c(C)c(C)c(C)c1C
KV-00040812	O=C(O)C1C2CCCC(CC2)C1C(=O)O
KV-00040813	O=S(=O)(N/N=C/c1ccc(O)cc1O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
KV-00040814	CCOc1ccc(C2C3=C(CC(C)(C)CC3=O)OC3=C2C(=O)CC(C)(C)C3)cc1
KV-00040815	CCOC(=O)C12CCC(C(=O)OCC)(CC13SCCS3)C1(C2)SCCS1
KV-00040816	O=C(N/N=C/C=C/c1ccccc1)C(=O)Nc1ccc(F)cc1
KV-00040817	O=C(OCC#Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc([N+](=O)[O-])cc1
KV-00040818	CC(C)(C)NC(=O)NCCc1ccccc1
KV-00040819	Cn1c(S(=O)(=O)O)nc2ccccc21
KV-00040820	O=C(Nc1ccc(Cl)cc1)Nc1nnc(C(F)(F)F)s1
KV-00040821	Nc1nnc(SCC(=O)Nc2ccc(F)c(F)c2F)s1
KV-00040822	O=C1NC(=O)c2cc([N+](=O)[O-])c(SCc3ccc(Cl)cc3)cc21
KV-00040823	CN(C)/C=N/NC(=O)COc1ccc(SC(F)(F)F)cc1
KV-00040824	CC(C)(C)c1ccc(C(=O)Nc2nnc(Sc3ccc([N+](=O)[O-])cc3C#N)s2)cc1
KV-00040825	Cc1cc(-c2nn(C)c(=O)c3ccccc23)cc(C)c1OCC(=O)NNC(=O)Nc1ccc(OC(F)(F)F)cc1
KV-00040826	O=C(/C=C/c1ccccc1)NC(=S)Nc1ccc(OC(F)(F)F)cc1
KV-00040827	Cc1cc(-c2nn(C)c(=O)c3ccccc23)cc(C)c1OC(=O)c1ccc(Cl)cc1
KV-00040828	COc1ccccc1N1CC(C)(C)C(=O)N(C(=O)c2cccc(C(F)(F)F)c2)C1=S
KV-00040829	O=[N+]([O-])c1cccnc1Sc1ssc(=S)c1-c1ccccc1
KV-00040830	O=c1[nH]c(=S)n(-c2ccc(Br)cc2)c2ncccc12
KV-00040831	COc1ccccc1NC(=S)N1CC(C)(C)C1=O
KV-00040832	CSc1nc(=O)c2cccnc2n1-c1ccc(C)cc1
