ID,SMILES
Z2613288298,CCOC1(C)CCN(C2=NN=C3C=CC(Br)=CN23)CC1
Z1689634709,O=C1CSC2=CC=C(C(=O)NC3=NC=CC4=C3C=CS4)C=C2N1
Z1583163791,C1CCC(OC2CCCCC2NC2CCOCC2)C1
Z1659728695,CC(=O)C1=CC=C(NC(=O)CNC(=O)C2=CN=C3C=CC=CC3=C2O)C=C1Cl
Z236785034,CC1=CC=NC(NC(=O)C2=CC3=CC=CC=C3NC2=O)=C1
Z441586438,O=C(NC1=CC=C2OCCOC2=C1)C1=NC(NCCC2=CC=CC=C2)=NC=C1Cl
Z56767515,CC1=CC(C)=NC(NN=CC2=C(C)N=C3C=CC(I)=CN23)=N1
Z1828803291,FC(F)(F)C1=CC=C(NC2=CN(CC3=CC=CC=N3)N=C2)N=C1
Z991038034,CC1=NN(C)C(N(C)C)=C1CNCC1=CN(C2=CC=CC=C2)N=C1
Z166626884,CC(C(=NO)C1=CC=C(F)C=C1)[N+]([O-])=CC=CC1=CC=CC=C1
Z285778996,FC1=CC=C(NC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)C=C1
Z1591396093,CS(=O)(=O)CC(NCC1=CC=C(F)C=C1F)C1=CC=CC=C1
Z1483905231,O=C(C1CCCC(C(F)(F)F)C1)N1CCCC1C(O)C(F)(F)F
Z2715705047,N#CC1=CC=C(CC(=O)NC2(CN3CCN(C4=CC=C(F)C=C4)CC3)CC2)C=N1
Z3614140762,CO[C@@H]1CCN(C2=NN=C(CC3CCCC3)N2CC2CCC(F)(F)CC2)C1
Z1912479769,CN(CC1=CC(F)=CC2=C1OCOC2)CC1CCN2C=CN=C2C1
Z2014969982,O=C(C1=CC=CC(NC2=CN=CC=N2)=C1)N1CCOC2=C(C1)C(F)=CC=C2
Z1614708773,CC(NC(=O)C1=CC=C(O)C=C1F)C1(N2CCOCC2)CCCC1
Z2111729426,COC1=CC2=C(C=C1OC)C(=O)NC(C(Cl)=CC1=CNC(C(F)(F)F)=C1)=N2
Z604554634,O=C(NCC1=CC=CN=C1N1CCOCC1)NC1=CC=CC=C1N1CCC(O)CC1
Z2496205054,O=C(NC(CC1=CC=CC=C1)C1=NC=CO1)N[C@@H]1CCO[C@@H](C2=CC=CN=C2)C1
Z1596822044,CC(OC(=O)C1=CC=CC(NC2=CN=CC=N2)=C1)C1=NC=CS1
Z1172002428,CC1=NNC(C)=C1C(C)C(=O)NCC1(N2CCOCC2)CCCCC1
Z2710365760,CC1=NC=C(NC(=O)N2CCC(C)(N3CCOCC3)CC2)C(C2CC2)=N1
Z90170696,FC(F)(F)C1=CC(C2=CC=CS2)=NC2=C1C=NN2CC1=CC=CC=N1
Z409864746,N#CC1=CC=C(NC(=O)NCC2=CC=C(F)C=C2C(F)(F)F)C=C1
Z1553137322,COC1=CC(C(C)NC(=O)C2=CN=C3SN=C(C)C3=C2)=CC=C1F
Z2618827805,O=C(NCC1=C(F)C(OC2CC2)=CC=C1)NC1=CC=C(C(=O)N2CCCC2)C=C1
Z1441008933,FC(F)(F)C1=CC=C2OC(CN3CCOC4=CC=CC=C4C3)=NC2=C1
