"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"FCGBP",5.01081863907099e-75,-2.14025735452506,0.141,0.573,1.32170363242775e-70,-2.14025735452506,"FCGBP"
"CRIP1",3.89205180416011e-65,1.91913584707931,0.777,0.27,1.02660650438331e-60,1.91913584707931,"CRIP1"
"SEPW1",3.21021611999213e-63,1.22630468757022,0.88,0.52,8.46758705970324e-59,1.22630468757022,"SEPW1"
"MT-CO3",3.01062552365796e-62,1.14717963903923,0.987,0.982,7.94112694375259e-58,1.14717963903923,"MT-CO3"
"MT3",1.32627776218829e-58,-1.12765508562322,0.058,0.352,3.49832285332405e-54,-1.12765508562322,"MT3"
"TAGLN2",2.02177963397433e-57,1.21884118065289,0.824,0.381,5.3328481405341e-53,1.21884118065289,"TAGLN2"
"S100A6",7.45590440307772e-50,0.98193197303078,0.999,1,1.96664390439981e-45,0.98193197303078,"S100A6"
"PPP1R1A",1.25126140830023e-47,-0.353733320625249,0.028,0.238,3.30045221667352e-43,-0.353733320625249,"PPP1R1A"
"MIF",1.2171131413371e-44,0.867286162725367,0.965,0.904,3.21037933290487e-40,0.867286162725367,"MIF"
"CRISP3",3.83415885278273e-44,-0.805656916233749,0.058,0.31,1.0113360805985e-39,-0.805656916233749,"CRISP3"
"SCGB1A1",5.89760305460114e-42,-0.998169706174286,0.919,0.979,1.55561075771214e-37,-0.998169706174286,"SCGB1A1"
"MSLN",6.0931827749507e-42,1.56742810050653,0.62,0.203,1.60719882054875e-37,1.56742810050653,"MSLN"
"CD63",1.81664251377016e-39,0.727691711664168,0.969,0.922,4.79175795857156e-35,0.727691711664168,"CD63"
"FABP5",1.35683039972552e-38,-1.55837381950775,0.336,0.662,3.578911545356e-34,-1.55837381950775,"FABP5"
"KLK11",2.37031342793863e-38,-0.727823420082833,0.732,0.94,6.25217572887371e-34,-0.727823420082833,"KLK11"
"MMP7",1.1724274931666e-36,1.9659534591127,0.779,0.48,3.09251199872554e-32,1.9659534591127,"MMP7"
"MT-CYB",4.58305404574574e-36,0.753423504234427,0.986,0.982,1.20887216564635e-31,0.753423504234427,"MT-CYB"
"LAG3",7.75475120840177e-36,-0.518381470398327,0.098,0.359,2.04547072624014e-31,-0.518381470398327,"LAG3"
"MT-CO1",5.12760955370546e-35,0.760906762801806,0.988,0.986,1.35250957198089e-30,0.760906762801806,"MT-CO1"
"S100A10",8.88323940463572e-35,1.38495296959264,0.624,0.242,2.34313205776076e-30,1.38495296959264,"S100A10"
"KLK14",9.25496956661427e-35,-0.493815245024696,0.071,0.302,2.44118332258585e-30,-0.493815245024696,"KLK14"
"CRIP2",1.07123261872193e-33,0.794800415810247,0.72,0.381,2.82559027840284e-29,0.794800415810247,"CRIP2"
"NPC2",1.19193919520967e-33,1.10888759608364,0.873,0.737,3.14397801520455e-29,1.10888759608364,"NPC2"
"PTGFR",1.07651789859295e-32,-0.380557312123039,0.101,0.356,2.83953126111863e-28,-0.380557312123039,"PTGFR"
"PI3",2.25073941970477e-32,-0.767651362032134,0.139,0.416,5.93677536735527e-28,-0.767651362032134,"PI3"
"EZR",1.55603635460481e-31,0.837705010339575,0.885,0.712,4.1043570925411e-27,0.837705010339575,"EZR"
"DUSP23",1.72363722391728e-31,0.908266554058673,0.786,0.495,4.54643790552662e-27,0.908266554058673,"DUSP23"
"ALPL",3.23571482325175e-31,-0.522852741273176,0.108,0.359,8.53484498929113e-27,-0.522852741273176,"ALPL"
"MT-ND3",3.94551742350887e-31,0.727028558074934,0.987,0.982,1.04070913079894e-26,0.727028558074934,"MT-ND3"
"MT-ND4",3.98011195914799e-31,0.716026860215796,0.987,0.964,1.04983413146447e-26,0.716026860215796,"MT-ND4"
"CYP2F1",4.40753000002332e-31,-1.05925748030462,0.648,0.854,1.16257418810615e-26,-1.05925748030462,"CYP2F1"
"COX6A1",5.5033946116265e-31,0.677810022374703,0.925,0.804,1.45163039670872e-26,0.677810022374703,"COX6A1"
"LY6E",7.555270222853e-29,0.66469043777174,0.975,0.964,1.99285362668194e-24,0.66469043777174,"LY6E"
"ATP6V0B",1.49799817665925e-28,0.65947174846462,0.6,0.267,3.95126979057409e-24,0.65947174846462,"ATP6V0B"
"PSAP",1.72250140110452e-28,0.721576723964211,0.687,0.374,4.54344194569339e-24,0.721576723964211,"PSAP"
"HSP90AA1",2.16129345307472e-28,0.729987915981644,0.895,0.73,5.70084374117518e-24,0.729987915981644,"HSP90AA1"
"ALDH1A1",4.28675793384504e-28,-0.755407468584163,0.763,0.936,1.13071814021031e-23,-0.755407468584163,"ALDH1A1"
"GPX4",7.13040399424072e-28,0.689354026414305,0.879,0.733,1.88078666156087e-23,0.689354026414305,"GPX4"
"PART1",1.40805134911633e-27,-0.342003468531201,0.043,0.214,3.71401704356413e-23,-0.342003468531201,"PART1"
"SPINT2",2.71213821758103e-27,0.563662641454315,0.953,0.915,7.1538069765135e-23,0.563662641454315,"SPINT2"
"OST4",2.95074744217395e-27,0.597115767907695,0.887,0.786,7.78318652822222e-23,0.597115767907695,"OST4"
"SAT1",7.36534734398247e-27,0.789723554489471,0.991,0.979,1.94275766892226e-22,0.789723554489471,"SAT1"
"KLK10",1.37352589598094e-26,-0.656085412907528,0.405,0.715,3.62294925582892e-22,-0.656085412907528,"KLK10"
"SERPINB1",1.97175574075427e-26,0.860223213463588,0.566,0.246,5.20090011738753e-22,0.860223213463588,"SERPINB1"
"RNASEK",2.03406344127618e-26,0.606101555508822,0.627,0.302,5.36524913905418e-22,0.606101555508822,"RNASEK"
"NR4A1",3.32849464928378e-26,-0.863552579269439,0.372,0.637,8.77957033641582e-22,-0.863552579269439,"NR4A1"
"CALM1",3.7552440480659e-26,0.645852434104461,0.76,0.505,9.90520722558343e-22,0.645852434104461,"CALM1"
"NEAT1",7.52872370007725e-26,0.825463099605172,0.922,0.762,1.98585145036938e-21,0.825463099605172,"NEAT1"
"FAM83D",7.96174179430879e-26,-0.316623136051719,0.038,0.192,2.10006863308483e-21,-0.316623136051719,"FAM83D"
"ADRA2A",8.25986665695713e-26,-0.395945588713124,0.075,0.274,2.17870502810558e-21,-0.395945588713124,"ADRA2A"
"VIM",1.07440815698417e-25,1.44309365291065,0.57,0.253,2.83396639567713e-21,1.44309365291065,"VIM"
"MSMB",2.42151430358906e-25,-2.12766852514925,0.392,0.651,6.38722827857688e-21,-2.12766852514925,"MSMB"
"MUC16",2.71469658824706e-25,0.886886749693913,0.589,0.274,7.16055519081928e-21,0.886886749693913,"MUC16"
"ITM2B",4.45163034199762e-25,0.558466273212817,0.986,0.954,1.17420653530871e-20,0.558466273212817,"ITM2B"
"MYL6",1.08958987282917e-24,0.621833900575782,0.968,0.925,2.87401120756151e-20,0.621833900575782,"MYL6"
"CIB1",2.97699388174536e-24,0.597218101565981,0.743,0.505,7.85241676187974e-20,0.597218101565981,"CIB1"
"CTSB",3.72128526197637e-24,0.672454845502083,0.81,0.609,9.81563413551508e-20,0.672454845502083,"CTSB"
"SERPINA1",3.99653257542967e-24,0.830439765424967,0.624,0.313,1.05416539742109e-19,0.830439765424967,"SERPINA1"
"TMEM59",5.10650818334617e-24,0.525420022639239,0.939,0.915,1.34694366352122e-19,0.525420022639239,"TMEM59"
"POLR2L",6.53934586434276e-24,0.556011761126806,0.889,0.822,1.72488325863769e-19,0.556011761126806,"POLR2L"
"ATP6V0E1",7.82458445306936e-24,0.577066662359005,0.702,0.445,2.0638906411861e-19,0.577066662359005,"ATP6V0E1"
"PTTG1IP",1.08889628214581e-23,0.654750715266006,0.623,0.342,2.872181723416e-19,0.654750715266006,"PTTG1IP"
"HSPA1A",5.89586053237856e-23,0.875340044473743,0.446,0.149,1.55515113262549e-18,0.875340044473743,"HSPA1A"
"CEACAM6",7.16566298637855e-23,0.939695842416097,0.921,0.868,1.89008692591707e-18,0.939695842416097,"CEACAM6"
"CHP2",9.71829787330435e-23,-0.45873490553848,0.167,0.406,2.56339543004149e-18,-0.45873490553848,"CHP2"
"MT-CO2",9.91965396223903e-23,0.533650332398397,0.988,0.986,2.61650712561979e-18,0.533650332398397,"MT-CO2"
"TSPO",1.77791767041942e-22,0.606395506566265,0.657,0.367,4.68961343926531e-18,0.606395506566265,"TSPO"
"MT1X",2.4657345472787e-22,0.770121730153186,0.622,0.302,6.50386801535703e-18,0.770121730153186,"MT1X"
"COX5B",3.39441047406281e-22,0.537098062964232,0.887,0.769,8.95343650743547e-18,0.537098062964232,"COX5B"
"SYNGR2",3.55070900286184e-22,0.581819192812155,0.785,0.577,9.36570513684868e-18,0.581819192812155,"SYNGR2"
"TCEB2",4.00000064062784e-22,0.520852928450083,0.888,0.786,1.0550801689784e-17,0.520852928450083,"TCEB2"
"SLC34A2",1.07302764490265e-21,0.878910525581514,0.666,0.402,2.83032501895973e-17,0.878910525581514,"SLC34A2"
"IL6",1.09820740766074e-21,-0.528338599063929,0.027,0.149,2.89674167918673e-17,-0.528338599063929,"IL6"
"CXCL2",1.20909468951838e-21,-1.07637748767788,0.23,0.477,3.18922906254263e-17,-1.07637748767788,"CXCL2"
"PPIB",2.76993590367015e-21,0.649813122059346,0.907,0.829,7.30625993311076e-17,0.649813122059346,"PPIB"
