ID,Z_RGES,Z_Up,Z_Down,Penalty,Num_Up,Num_Down,Focus_Up,Focus_Down
RS-0481,-2.464412038297695,-1.8011567128350205,0.6632553254626746,0.005494505494505495,2,5,0.5,0.25
oleuropein,-4.864328446405414,-3.3695639061335494,1.494764540271865,0.054306608884073675,24,50,0.20833333333333334,0.25146198830409355
isoleucine,-0.32702913357718444,-1.8011567128350205,-1.474127579257836,0.016483516483516484,2,10,0.5,0.2692307692307692
gepefrine,-0.022541217773951017,-1.8011567128350205,-1.7786154950610695,0.01098901098901099,2,6,0.6666666666666666,0.2222222222222222
cloranolol,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.01098901098901099,2,6,0.3333333333333333,0.17391304347826086
broxaterol,-2.2200161946343284,-1.8011567128350205,0.4188594817993081,0.01098901098901099,2,6,0.4,0.2
SQ-109,-1.90824964022252,-1.2757216712504758,0.6325279689720441,0.01451013774957437,4,8,0.2222222222222222,0.2608695652173913
prolylleucylglycinamide,-0.1861956998161538,-2.0656415177104845,-1.8794458178943307,0.016483516483516484,3,12,0.5,0.24324324324324326
dexamethasone,-2.313690411921351,-1.5353645858851814,0.7783258260361695,0.01451013774957437,5,10,0.17647058823529413,0.2222222222222222
glycerol-monolaurate,-1.3595358004354694,-2.8551031963253197,-1.4955673958898503,0.02197802197802198,5,12,0.625,0.19047619047619047
mabuterol,-1.4354590407651386,-0.9296875204927557,0.5057715202723828,0.01451013774957437,3,9,0.1111111111111111,0.2692307692307692
peficitinib,-2.464412038297695,-1.8011567128350205,0.6632553254626746,0.005494505494505495,2,5,0.5,0.2222222222222222
clofedanol,0.24653657190650824,-1.5547975432383392,-1.8013341151448474,0.018244079863798175,3,8,0.4,0.21739130434782608
polythiazide,-0.29379479646336226,-1.8011567128350205,-1.5073619163716583,0.01098901098901099,2,8,0.5,0.2608695652173913
misonidazole,-0.6441385759922404,-1.8011567128350205,-1.15701813684278,0.01098901098901099,2,9,0.6666666666666666,0.2413793103448276
isavuconazole,1.2486517056101718,-0.18504310632422316,-1.4336948119343949,0.005494505494505495,1,3,1.0,0.2
lercanidipine,-0.9513234767642957,-2.1930447348250572,-1.2417212580607615,0.005494505494505495,3,4,0.2727272727272727,0.15
clorotepine,-1.9462504357556991,-1.406009388791741,0.5402410469639581,0.01451013774957437,5,12,0.15,0.2631578947368421
menadione-bisulfite,-0.28224325980735765,-1.8137320113664972,-1.5314887515591395,0.018244079863798175,4,7,0.375,0.2
nifenalol,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.4,0.13333333333333333
xibenolol,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.01098901098901099,2,6,0.6666666666666666,0.2
methoxyphenamine,-3.3671304007864564,-2.6910297226784783,0.676100678107978,0.005494505494505495,5,10,0.35714285714285715,0.2727272727272727
pipecuronium,-2.4725387769922342,-2.0656415177104845,0.4068972592817496,0.01098901098901099,3,10,0.3,0.24242424242424243
PF-06463922,-3.2058858828469434,-1.9227802307155133,1.28310565213143,0.01803126451013775,9,17,0.2777777777777778,0.3125
floctafenine,0.19840590800736035,-1.2757216712504758,-1.474127579257836,0.01451013774957437,4,10,0.18181818181818182,0.21621621621621623
N-acetyl-tyrosine,-0.269667961275881,-1.8011567128350205,-1.5314887515591395,0.016483516483516484,2,7,0.5,0.21052631578947367
chlortetracycline,-0.26439815180305914,-1.8011567128350205,-1.5367585610319614,0.01098901098901099,2,5,0.6666666666666666,0.15789473684210525
butofilolol,-0.022541217773951017,-1.8011567128350205,-1.7786154950610695,0.016483516483516484,2,6,0.6666666666666666,0.13636363636363635
efinaconazole,-0.5408045408550619,-1.8011567128350205,-1.2603521719799586,0.005494505494505495,2,7,0.5,0.3
capreomycin,-0.23020210613175096,-2.0325931360318075,-1.8023910299000565,0.02549914873858536,5,10,0.1875,0.16666666666666666
oritavancin,-3.81323459746592,-2.7107553051676536,1.102479292298266,0.045290976629004796,18,29,0.16417910447761194,0.16428571428571428
terodiline,-2.6996676612601647,-1.7666242842698041,0.9330433769903606,0.01274957436929268,4,9,0.2727272727272727,0.28
hexoprenaline,-2.31950353163888,-1.8137320113664972,0.5057715202723828,0.01274957436929268,4,9,0.25,0.23333333333333334
tropesin,-2.8563000602877318,-2.1930447348250572,0.6632553254626746,0.01098901098901099,3,5,0.2727272727272727,0.11538461538461539
tetracycline,-0.26439815180305914,-1.8011567128350205,-1.5367585610319614,0.01098901098901099,2,5,0.4,0.14285714285714285
propylhexedrine,-3.8313841478925497,-2.3315396514606106,1.4998444964319393,0.041131403807460144,23,21,0.1267605633802817,0.3
