"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K92627732",-0.609147087578686,1,-0.609147087578686,NA,-0.609147087578686
"2","BRD-K01727336",-0.579883283897705,1,-0.579883283897705,NA,-0.579883283897705
"3","BRD-K91617567",-0.567020298212633,1,-0.567020298212633,NA,-0.567020298212633
"4","BRD-K28714324",-0.561607891941331,1,-0.561607891941331,NA,-0.561607891941331
"5","BRD-K85642378",-0.550946678580731,1,-0.550946678580731,NA,-0.550946678580731
"6","BRD-K27647724",-0.544545860584821,1,-0.544545860584821,NA,-0.544545860584821
"7","BRD-K88908047",-0.537940543611406,1,-0.537940543611406,NA,-0.537940543611406
"8","BRD-K38524184",-0.53582738751052,1,-0.53582738751052,NA,-0.53582738751052
"9","BRD-K31439714",-0.533783843491187,2,-0.533783843491187,0.0354489653220412,-0.533783843491187
"10","BRD-K73104592",-0.533359766515292,1,-0.533359766515292,NA,-0.533359766515292
"11","BRD-K97029281",-0.530077041121481,1,-0.530077041121481,NA,-0.530077041121481
"12","BRD-K07298554",-0.528370824812543,1,-0.528370824812543,NA,-0.528370824812543
"13","BRD-K11194815",-0.525741662798373,1,-0.525741662798373,NA,-0.525741662798373
"14","BRD-K68836298",-0.523644102523226,2,-0.523644102523226,0.0306818991557598,-0.523644102523226
"15","BRD-K85773425",-0.521969173468257,1,-0.521969173468257,NA,-0.521969173468257
"16","BRD-K75717096",-0.52158744204358,1,-0.52158744204358,NA,-0.52158744204358
"17","BRD-K26160077",-0.52008778287521,1,-0.52008778287521,NA,-0.52008778287521
"18","BRD-K29745382",-0.519306761639545,1,-0.519306761639545,NA,-0.519306761639545
"19","BRD-K57179401",-0.518601756972006,1,-0.518601756972006,NA,-0.518601756972006
"20","BRD-K03245321",-0.515397939657759,1,-0.515397939657759,NA,-0.515397939657759
"21","BRD-K15849229",-0.514770809460077,1,-0.514770809460077,NA,-0.514770809460077
"22","BRD-K62014585",-0.512735527829047,1,-0.512735527829047,NA,-0.512735527829047
"23","BRD-K46319090",-0.510942753459586,1,-0.510942753459586,NA,-0.510942753459586
"24","BRD-K67215210",-0.509826788276464,2,-0.509826788276464,0.139962914445885,-0.509826788276464
"25","BRD-K85388022",-0.509208437271938,1,-0.509208437271938,NA,-0.509208437271938
"26","BRD-K86638751",-0.507565628819313,1,-0.507565628819313,NA,-0.507565628819313
"27","BRD-K12342216",-0.505990986692524,1,-0.505990986692524,NA,-0.505990986692524
"28","BRD-K78800374",-0.504850646490506,2,-0.504850646490506,0.0159765442108778,-0.504850646490506
"29","BRD-K73627655",-0.504269270160336,1,-0.504269270160336,NA,-0.504269270160336
"30","BRD-K31774852",-0.50322632537506,1,-0.50322632537506,NA,-0.50322632537506
"31","BRD-K64558129",-0.502855335704112,1,-0.502855335704112,NA,-0.502855335704112
"32","BRD-K55681368",-0.50117844408857,1,-0.50117844408857,NA,-0.50117844408857
"33","BRD-K24736231",-0.500699317247153,2,-0.500699317247153,0.0513889934432669,-0.500699317247153
"34","BRD-K51052187",-0.500008874795646,1,-0.500008874795646,NA,-0.500008874795646
"35","BRD-K45690206",-0.499668043166471,1,-0.499668043166471,NA,-0.499668043166471
"36","BRD-K21232697",-0.499388561230547,1,-0.499388561230547,NA,-0.499388561230547
"37","BRD-K25473383",-0.498749760328271,2,-0.498749760328271,0.0337723058750963,-0.498749760328271
"38","BRD-K37777176",-0.498533590646171,1,-0.498533590646171,NA,-0.498533590646171
"39","BRD-K65536202",-0.496795349337377,1,-0.496795349337377,NA,-0.496795349337377
"40","BRD-K94597513",-0.496661908197146,1,-0.496661908197146,NA,-0.496661908197146
"41","BRD-K74864389",-0.496479821677964,2,-0.496479821677964,0.118374475087,-0.496479821677964
"42","BRD-K71555338",-0.496173073211706,2,-0.496173073211706,0.133561838744347,-0.496173073211706
"43","BRD-K79027750",-0.49604841126463,1,-0.49604841126463,NA,-0.49604841126463
"44","BRD-K85672685",-0.493349024761563,1,-0.493349024761563,NA,-0.493349024761563
"45","BRD-K59995645",-0.493318866719791,1,-0.493318866719791,NA,-0.493318866719791
"46","BRD-K17157581",-0.492528137340104,1,-0.492528137340104,NA,-0.492528137340104
"47","BRD-K86578973",-0.492490129056041,1,-0.492490129056041,NA,-0.492490129056041
"48","BRD-M32495507",-0.492198976415524,2,-0.492198976415524,0.0632519587294714,-0.492198976415524
"49","BRD-K28578807",-0.491385834577514,1,-0.491385834577514,NA,-0.491385834577514
"50","BRD-K02341205",-0.489658335022449,1,-0.489658335022449,NA,-0.489658335022449
"51","BRD-K49092745",-0.489492773279873,2,-0.489492773279873,0.00929999267080033,-0.489492773279873
"52","BRD-K59423635",-0.489136345824957,1,-0.489136345824957,NA,-0.489136345824957
"53","BRD-K55452151",-0.489126637680936,1,-0.489126637680936,NA,-0.489126637680936
"54","BRD-K84787606",-0.488018418081263,1,-0.488018418081263,NA,-0.488018418081263
"55","BRD-K50845321",-0.487933726978822,1,-0.487933726978822,NA,-0.487933726978822
"56","BRD-K46192888",-0.487872377285571,1,-0.487872377285571,NA,-0.487872377285571
"57","BRD-K31310964",-0.485881920571188,1,-0.485881920571188,NA,-0.485881920571188
"58","BRD-K49623506",-0.485598513514119,1,-0.485598513514119,NA,-0.485598513514119
"59","BRD-K27503016",-0.484982125070165,1,-0.484982125070165,NA,-0.484982125070165
"60","BRD-K49276305",-0.484927592009497,1,-0.484927592009497,NA,-0.484927592009497
"61","BRD-K45431864",-0.483012118253533,1,-0.483012118253533,NA,-0.483012118253533
"62","BRD-K46959535",-0.482862152336696,1,-0.482862152336696,NA,-0.482862152336696
"63","BRD-K23050218",-0.482210647120118,1,-0.482210647120118,NA,-0.482210647120118
"64","BRD-K58560613",-0.482010073263758,1,-0.482010073263758,NA,-0.482010073263758
"65","BRD-K87126403",-0.481492009187411,1,-0.481492009187411,NA,-0.481492009187411
"66","BRD-K91868345",-0.481164810823403,1,-0.481164810823403,NA,-0.481164810823403
"67","BRD-K20792495",-0.480710987951747,1,-0.480710987951747,NA,-0.480710987951747
"68","BRD-K84061726",-0.480617517656151,2,-0.480617517656151,0.0232396846352953,-0.480617517656151
"69","BRD-K63431240",-0.480524047360554,1,-0.480524047360554,NA,-0.480524047360554
"70","BRD-K32755775",-0.480312731750465,1,-0.480312731750465,NA,-0.480312731750465
"71","BRD-K13765840",-0.480138390814733,1,-0.480138390814733,NA,-0.480138390814733
"72","BRD-K86846131",-0.478468315831774,1,-0.478468315831774,NA,-0.478468315831774
"73","BRD-K60019754",-0.477463379330561,1,-0.477463379330561,NA,-0.477463379330561
"74","BRD-K65461993",-0.477377654618413,1,-0.477377654618413,NA,-0.477377654618413
"75","BRD-K36134449",-0.475697871491433,1,-0.475697871491433,NA,-0.475697871491433
"76","BRD-K69880993",-0.475509897290533,1,-0.475509897290533,NA,-0.475509897290533
"77","BRD-K03289154",-0.475242602864058,2,-0.475242602864058,0.0359406142087555,-0.475242602864058
"78","BRD-K64649802",-0.474409527933151,1,-0.474409527933151,NA,-0.474409527933151
"79","BRD-K93406741",-0.474405602812006,1,-0.474405602812006,NA,-0.474405602812006
"80","BRD-K48654093",-0.474201103834501,1,-0.474201103834501,NA,-0.474201103834501
"81","BRD-K94034047",-0.473502915799545,1,-0.473502915799545,NA,-0.473502915799545
"82","BRD-K29390829",-0.473243883761372,1,-0.473243883761372,NA,-0.473243883761372
"83","BRD-K91491104",-0.472456045893124,1,-0.472456045893124,NA,-0.472456045893124
"84","BRD-K93164329",-0.472010073263758,1,-0.472010073263758,NA,-0.472010073263758
"85","BRD-K92789454",-0.471342043270574,1,-0.471342043270574,NA,-0.471342043270574
"86","BRD-K95521279",-0.470094599507793,1,-0.470094599507793,NA,-0.470094599507793
"87","BRD-K74162965",-0.469796113429839,2,-0.469796113429839,0.0526140264453636,-0.469796113429839
"88","BRD-K51592837",-0.468241308793456,2,-0.468241308793456,0.0842936836359263,-0.468241308793456
"89","BRD-K42241928",-0.467626978512565,1,-0.467626978512565,NA,-0.467626978512565
"90","BRD-K42899395",-0.46730659678114,1,-0.46730659678114,NA,-0.46730659678114
"91","BRD-K12506756",-0.466770974318482,1,-0.466770974318482,NA,-0.466770974318482
"92","BRD-K18309912",-0.466543133931788,1,-0.466543133931788,NA,-0.466543133931788
"93","BRD-K47024121",-0.466529500666621,1,-0.466529500666621,NA,-0.466529500666621
"94","BRD-K35769695",-0.466447701075619,1,-0.466447701075619,NA,-0.466447701075619
"95","thiomersal",-0.466301419003834,2,-0.466301419003834,0.0998288244386814,-0.466301419003834
"96","BRD-K46446437",-0.466232460344385,1,-0.466232460344385,NA,-0.466232460344385
"97","BRD-M91342002",-0.465087266070356,1,-0.465087266070356,NA,-0.465087266070356
"98","BRD-K78738487",-0.464995758335332,1,-0.464995758335332,NA,-0.464995758335332
"99","BRD-K02638906",-0.4649358543978,2,-0.4649358543978,0.00241763912922991,-0.4649358543978
"100","BRD-K69158405",-0.462214572241263,1,-0.462214572241263,NA,-0.462214572241263
"101","BRD-K32648402",-0.461901007142422,1,-0.461901007142422,NA,-0.461901007142422
"102","BRD-K22945779",-0.46172522045097,2,-0.46172522045097,0.0371222664267299,-0.46172522045097
"103","BRD-K45231869",-0.460680829909975,1,-0.460680829909975,NA,-0.460680829909975
"104","BRD-K40045948",-0.460578580421222,1,-0.460578580421222,NA,-0.460578580421222
"105","BRD-K19554975",-0.460196848996546,1,-0.460196848996546,NA,-0.460196848996546
"106","BRD-K85724483",-0.45944701941236,1,-0.45944701941236,NA,-0.45944701941236
"107","BRD-K55197905",-0.45931068676069,1,-0.45931068676069,NA,-0.45931068676069
"108","BRD-K99191181",-0.458806255949511,1,-0.458806255949511,NA,-0.458806255949511
"109","BRD-K74211371",-0.45859297777885,2,-0.45859297777885,0.0115324238819484,-0.45859297777885
"110","BRD-K46373821",-0.45810414279341,1,-0.45810414279341,NA,-0.45810414279341
"111","BRD-K90140894",-0.45783147749007,1,-0.45783147749007,NA,-0.45783147749007
"112","BRD-K40321450",-0.457790577694569,1,-0.457790577694569,NA,-0.457790577694569
"113","BRD-K93105623",-0.457434150239654,2,-0.457434150239654,0.148465548133773,-0.457434150239654
"114","BRD-K72316999",-0.457309488292578,1,-0.457309488292578,NA,-0.457309488292578
"115","BRD-K88269272",-0.457260326108775,2,-0.457260326108775,0.056576138061828,-0.457260326108775
"116","BRD-K71710045",-0.456474967605953,1,-0.456474967605953,NA,-0.456474967605953
"117","BRD-K19593188",-0.45620033974204,2,-0.45620033974204,0.0577570594073683,-0.45620033974204
"118","BRD-K58096890",-0.456077640355537,2,-0.456077640355537,0.205246174462181,-0.456077640355537
"119","BRD-K57009782",-0.456014328101713,1,-0.456014328101713,NA,-0.456014328101713
"120","BRD-K27824357",-0.456009474029702,2,-0.456009474029702,0.081915336076127,-0.456009474029702
"121","BRD-K77845911",-0.455550797086035,1,-0.455550797086035,NA,-0.455550797086035
"122","BRD-K72561299",-0.455465589178741,2,-0.455465589178741,0.0611524453504685,-0.455465589178741
"123","BRD-K34327142",-0.455394014536614,1,-0.455394014536614,NA,-0.455394014536614
"124","BRD-K38311495",-0.455372118883145,2,-0.455372118883145,0.0487138450890851,-0.455372118883145
"125","BRD-K24133356",-0.455244048619777,1,-0.455244048619777,NA,-0.455244048619777
"126","BRD-K73080020",-0.455228357191547,1,-0.455228357191547,NA,-0.455228357191547
"127","BRD-K05662507",-0.454402711300568,1,-0.454402711300568,NA,-0.454402711300568
"128","BRD-K28582709",-0.454239112118564,1,-0.454239112118564,NA,-0.454239112118564
"129","BRD-K40240180",-0.454168983232156,2,-0.454168983232156,0.104814839132918,-0.454168983232156
"130","BRD-K71855503",-0.45414451261077,1,-0.45414451261077,NA,-0.45414451261077
"131","BRD-K82621995",-0.454141716701822,2,-0.454141716701822,0.0630495150702362,-0.454141716701822
"132","BRD-K66147676",-0.453723939553655,1,-0.453723939553655,NA,-0.453723939553655
"133","BRD-K36192494",-0.45329841682204,2,-0.45329841682204,0.101414633102692,-0.45329841682204
"134","BRD-K56176052",-0.452057789691842,2,-0.452057789691842,0.110630639685028,-0.452057789691842
"135","BRD-K89432015",-0.451941906937923,1,-0.451941906937923,NA,-0.451941906937923
"136","BRD-K57339160",-0.451744224593001,1,-0.451744224593001,NA,-0.451744224593001
"137","BRD-K52309792",-0.45143210524988,2,-0.45143210524988,0.0447517334726207,-0.45143210524988
"138","BRD-K97973721",-0.45131622249596,2,-0.45131622249596,0.0358883241228188,-0.45131622249596
"139","BRD-K11031937",-0.451301143475073,1,-0.451301143475073,NA,-0.451301143475073
"140","BRD-K51674646",-0.450797679411284,5,-0.427259713701432,0.0608039528298967,-0.450797679411284
"141","BRD-K85528826",-0.450678867349402,2,-0.450678867349402,0.00685138841147668,-0.450678867349402
"142","BRD-K31088139",-0.450624334288734,2,-0.450624334288734,0.0841366653681576,-0.450624334288734
"143","BRD-K06912584",-0.450479222443908,1,-0.450479222443908,NA,-0.450479222443908
"144","BRD-K05496005",-0.450408164606634,1,-0.450408164606634,NA,-0.450408164606634
"145","BRD-K41641829",-0.449988424897895,1,-0.449988424897895,NA,-0.449988424897895
"146","BRD-K42737417",-0.449809746695005,2,-0.449809746695005,0.0113678100472762,-0.449809746695005
"147","BRD-K28934562",-0.449570173352523,11,-0.4636869648793,0.0764378778457531,-0.449570173352523
"148","BRD-K98582396",-0.449545343779968,1,-0.449545343779968,NA,-0.449545343779968
"149","BRD-K51825814",-0.449417790321454,2,-0.449417790321454,0.0355460979369683,-0.449417790321454
"150","BRD-K53914976",-0.449415827760881,1,-0.449415827760881,NA,-0.449415827760881
"151","BRD-K51998640",-0.44929023686294,1,-0.44929023686294,NA,-0.44929023686294
"152","BRD-K82399474",-0.449046283845653,2,-0.449046283845653,0.00774310452953731,-0.449046283845653
"153","BRD-K41120089",-0.448772172786593,1,-0.448772172786593,NA,-0.448772172786593
"154","BRD-K29946624",-0.448642656767507,1,-0.448642656767507,NA,-0.448642656767507
"155","BRD-K66363099",-0.448363174831583,1,-0.448363174831583,NA,-0.448363174831583
"156","BRD-K20342961",-0.448342724933833,1,-0.448342724933833,NA,-0.448342724933833
"157","BRD-K92209998",-0.448195650528434,1,-0.448195650528434,NA,-0.448195650528434
"158","BRD-K62689646",-0.448154750732933,1,-0.448154750732933,NA,-0.448154750732933
"159","BRD-K67035256",-0.448097326160827,1,-0.448097326160827,NA,-0.448097326160827
"160","BRD-K62374815",-0.44808369289566,1,-0.44808369289566,NA,-0.44808369289566
"161","BRD-K13693445",-0.44757926208448,1,-0.44757926208448,NA,-0.44757926208448
"162","BRD-K37058154",-0.446529500666621,1,-0.446529500666621,NA,-0.446529500666621
"163","BRD-K83437201",-0.44604355719262,2,-0.44604355719262,0.03523761236099,-0.44604355719262
