ID,Z_RGES
Z1571885016,-3.296411009448513
Z1989609690,-3.2911487458456996
Z3079948412,-3.240063011963528
Z1502714402,-3.207281704994828
Z366831844,-3.1822363757374017
Z425156896,-3.1822363757374017
Z215362264,-3.1814930945210778
Z57244257,-3.1699111116878904
Z56786288,-3.151693191934675
Z2622645927,-3.0992319008262177
Z2982733124,-3.0992319008262177
Z2176873923,-3.0992319008262177
Z2273541519,-3.094979486941023
Z89553730,-3.083443500540697
Z370715230,-3.079436138942983
Z274664888,-3.079436138942983
Z1545214861,-3.079436138942983
Z184565760,-3.063907998488099
Z2326078881,-3.056903286709068
Z1023980776,-3.056903286709068
Z2034820068,-3.0515887515425186
Z56232877,-3.0453892768721254
Z2016058183,-3.0445531699060364
Z3765847294,-3.0439076526115905
Z1201116680,-3.0421749730761123
Z2737470848,-3.0421749730761123
Z445315586,-3.0421749730761123
Z82984144,-3.0421749730761123
Z1412792206,-3.0421749730761123
Z56849283,-3.0421749730761123
Z914111916,-3.0302826302406403
Z397869212,-3.03001000555133
Z1591128394,-3.0297585932083244
Z57214019,-3.0295075025877303
Z364375850,-3.0277882161551792
Z2018767921,-3.023408013076856
Z1743856554,-3.021351771375615
Z1251999411,-3.021351771375615
Z56771736,-3.019594933375478
Z56861630,-3.019594933375478
Z56842931,-3.019594933375478
Z2837632178,-3.0186852409926184
Z1270888101,-3.0186852409926184
Z1180200745,-3.0173715092957507
Z1203068850,-3.010555958996936
Z786201648,-3.0075240939350643
Z2283242087,-2.9991172536770616
Z2219221522,-2.9970548568563546
Z748567000,-2.996701420275286
Z119831066,-2.995800438463868
Z119833168,-2.995800438463868
Z757593728,-2.995800438463868
Z1666933011,-2.9946870486452726
Z56794787,-2.9944346991552364
Z44304890,-2.993501495911489
Z2787447824,-2.990097335761332
Z3388126786,-2.9885213811762004
Z44305885,-2.9857448639487734
Z2832198812,-2.9823816324287935
Z1213699277,-2.982306160796721
Z74489730,-2.982306160796721
Z56777951,-2.981295340313483
Z1139481211,-2.975585904193948
Z26689620,-2.9667318736154797
Z1187923007,-2.9651331183596548
Z3477891580,-2.9651331183596548
Z1269065239,-2.9651331183596548
Z1965622307,-2.9651331183596548
Z1083013308,-2.9651331183596548
Z1172207058,-2.960857590560991
Z53173233,-2.954879366814393
Z382983446,-2.954879366814393
Z3077966950,-2.953016690356778
Z358207512,-2.953016690356778
Z3876014841,-2.951756664913783
Z3999162749,-2.9466420052816398
Z1252868481,-2.944671295580756
Z1175136228,-2.9431039986247773
Z56765647,-2.942902753343467
Z228746538,-2.9413926469687897
Z28590812,-2.9398088663884394
Z2034479957,-2.9392314216132247
Z3052627121,-2.9384597275017565
Z1376862664,-2.93724282867015
Z382584322,-2.932789359744501
Z218484402,-2.92982504701651
Z3595805547,-2.927559277236943
Z1157836615,-2.926795066481829
Z1270692415,-2.926333250986904
Z728940344,-2.926318504794862
Z2429434910,-2.926154516596493
Z31215606,-2.9234588471031673
Z442372460,-2.9234588471031673
Z225946606,-2.9234588471031673
Z1020850488,-2.922925003090702
Z94794938,-2.921669675390433
Z56767515,-2.921669675390433
Z340231714,-2.9173593989003845
Z2832477844,-2.9170917297310304
Z56793232,-2.9170917297310304
Z2088746768,-2.9170917297310304
Z57790739,-2.9153348917308923
Z1439406758,-2.9152968044194036
Z1139201780,-2.9138807138083043
Z1005097330,-2.9137530965866563
Z300909262,-2.9110446405155264
Z2739838483,-2.910849764376204
Z1883260172,-2.907063325138669
Z56786283,-2.904993254715181
Z2464879284,-2.9046928703168398
Z2699140581,-2.902798085662702
Z1458344695,-2.902798085662702
Z2677421348,-2.902798085662702
Z1461996448,-2.902798085662702
Z25191836,-2.902798085662702
Z2217991656,-2.902798085662702
Z1023980160,-2.902798085662702
Z991655522,-2.902798085662702
Z28590994,-2.902798085662702
Z339655320,-2.902798085662702
Z1929000520,-2.902798085662702
Z1525863023,-2.902798085662702
Z90995615,-2.902798085662702
Z1844267918,-2.902798085662702
Z1141996816,-2.902798085662702
Z2231205685,-2.902798085662702
Z223042646,-2.902798085662702
Z1188148968,-2.902798085662702
Z2370532991,-2.902266816423021
Z237816414,-2.899675383762092
Z14487480,-2.899675383762092
Z2042198948,-2.899675383762092
Z2932146039,-2.899675383762092
Z511137386,-2.899675383762092
Z651592178,-2.899675383762092
Z729063886,-2.899675383762092
Z1957537616,-2.899675383762092
Z728986422,-2.8984662944661457
Z1958986506,-2.8961768145946607
Z168971704,-2.8916875074643666
Z49565501,-2.8872625174097957
Z416527884,-2.8872590038943042
Z1168177327,-2.8870651280886
Z295882290,-2.8858372941167465
Z1844441883,-2.8849349395955466
Z119967654,-2.88453985143673
Z56787823,-2.8842663236809685
Z56983679,-2.8842663236809685
Z1082414070,-2.8841398155091857
Z146574276,-2.8836865842127777
Z1103086018,-2.882336262883803
Z1828888500,-2.882336262883803
Z1252565547,-2.882336262883803
Z1765790119,-2.882191004906731
Z301906450,-2.882191004906731
Z2179398670,-2.882191004906731
Z1264477969,-2.881484822304188
Z1157836616,-2.880655559792201
Z1874330785,-2.8771829058554017
Z1483055891,-2.87513060130291
Z1641988107,-2.874714727637181
Z2951052122,-2.874714727637181
Z48856297,-2.8725474693814803
Z3671742519,-2.8721707516939023
Z2635995748,-2.8715820758320465
Z1591396093,-2.8714840113714213
Z57459985,-2.8713461001075236
Z1895126581,-2.8699783549102182
Z3063562513,-2.869427150681466
Z968597384,-2.867909613781844
Z1541861989,-2.867909613781844
Z1542338145,-2.867909613781844
Z1725323303,-2.867515097745177
Z1445492002,-2.867462691273775
Z57242025,-2.867462691273775
Z211779420,-2.867462691273775
Z31393677,-2.867462691273775
Z56784652,-2.867462691273775
Z56767974,-2.867462691273775
Z2494742179,-2.867462691273775
Z146475110,-2.867462691273775
Z46028457,-2.8669129051758446
Z1215445191,-2.8654081849835666
Z1341520762,-2.8649538187897696
Z1869808262,-2.862398037024423
Z1483905231,-2.862189566896767
Z64782762,-2.861003218623919
Z1529906657,-2.8586146350758272
Z1823999454,-2.8573245328618757
Z413175264,-2.8561754318728987
Z2045534075,-2.8561754318728987
Z1363005258,-2.855024366203432
Z1023981734,-2.8547077741606173
Z275859968,-2.854201830961266
Z31052375,-2.854201830961266
Z26922077,-2.854201830961266
Z2829457140,-2.8530681728246297
Z1325286290,-2.8516837718708636
Z1139282895,-2.85123198431181
Z3396537860,-2.8510586231616184
Z106732806,-2.8492261073394074
Z878871502,-2.848237129571504
Z1695963419,-2.848237129571504
Z2350108910,-2.8458628092407023
Z1262405151,-2.8458628092407023
Z2099728507,-2.8458232633862215
Z943224186,-2.8453031962243367
Z1267371291,-2.8448036468814424
Z730814588,-2.843386472700833
Z2936916427,-2.843386472700833
Z2186048649,-2.843386472700833
Z1998400593,-2.843386472700833
Z1676224186,-2.843386472700833
Z49616070,-2.843386472700833
Z645104468,-2.843386472700833
Z1585309993,-2.843386472700833
Z2093590432,-2.843386472700833
Z3814899133,-2.8427401073400924
Z2682999720,-2.841848894072978
Z966709030,-2.8412915546351147
Z979894186,-2.840011653672683
Z1411218815,-2.8398020821685708
Z1329094895,-2.8398020821685708
Z57905047,-2.8398020821685708
Z28173682,-2.8398020821685708
Z1997929416,-2.8398020821685708
Z2637658696,-2.83243211508569
Z968569688,-2.83222750684009
Z52189557,-2.8322177394088657
Z805419944,-2.831901253288325
Z53202994,-2.830162219028065
Z30789488,-2.830162219028065
Z3688955665,-2.829875951043242
Z1129154964,-2.8295784407411357
Z761658534,-2.829182917735738
Z2159539885,-2.8276510156003827
Z2846313995,-2.8271621901036115
Z1686711750,-2.826823588172315
Z1454533694,-2.8266934539869295
Z1593081308,-2.8265563726845593
Z1723428243,-2.8249949123122136
Z1346039548,-2.8242322843014596
Z1664679695,-2.8229246499219345
Z1318974148,-2.8229246499219345
Z653347440,-2.8214807031475813
Z54346530,-2.8214807031475813
Z94793967,-2.8214807031475813
Z359416120,-2.8214807031475813
Z2950439677,-2.8214807031475813
Z1619711794,-2.8214807031475813
Z1625993075,-2.8213624546308456
Z979349446,-2.8187220654735823
Z1384019326,-2.8171736511104077
Z1383556003,-2.809124389354415
Z1139410390,-2.809124389354415
Z87723726,-2.8079518224845232
Z279091810,-2.8076433222132655
Z2936915491,-2.8076433222132655
Z57282900,-2.8076433222132655
Z1501115746,-2.8076433222132655
Z4138567667,-2.8076433222132655
Z56801852,-2.8076433222132655
Z2732440512,-2.8076433222132655
Z226451974,-2.8076433222132655
Z1694156943,-2.8075215602906596
Z448436774,-2.8075215602906596
