,sig_lincs_genes
Mesenchymal,90
Transitional AT2,89
Epithelial,81
AT2,65
Plasma Cells,64
Differentiating Ciliated,59
Endothelial Cells,54
Monocytes,51
Endothelial,50
MUC5B+,47
Lymphatic Endothelial Cells,44
Macrophages,43
Proliferating Epithelial Cells,40
T Cells,38
Proliferating T Cells,33
Immune,28
cDCs,24
Proliferating Macrophages,24
Smooth Muscle Cells,19
NK Cells,19
Mast Cells,16
AT1,16
Myofibroblasts,16
Ciliated,14
SCGB3A2+,12
Basal,10
SCGB3A2+ SCGB1A1+,7
B Cells,7
Fibroblasts,6
Mesothelial Cells,5
PLIN2+ Fibroblasts,3
pDCs,2
KRT5KRT17,1
MUC5AC+ High,0
