"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"CYP4B1",1.79855778972586e-42,-1.85536485090027,0.041,0.362,4.74405588195989e-38,-1.85536485090027,"CYP4B1"
"IGFBP4",6.23757058046297e-35,1.83687823174135,0.798,0.337,1.64528399200872e-30,1.83687823174135,"IGFBP4"
"ACTG1",2.7418346047132e-29,-0.946833667883554,0.993,1,7.23213713685202e-25,-0.946833667883554,"ACTG1"
"GPX3",2.46689776492054e-27,-2.27619547447288,0.549,0.76,6.50693623453092e-23,-2.27619547447288,"GPX3"
"COL14A1",2.40065033125635e-26,1.51322662113483,0.653,0.26,6.33219537875488e-22,1.51322662113483,"COL14A1"
"THY1",5.81811492823513e-25,1.25870717372038,0.657,0.245,1.53464417462058e-20,1.25870717372038,"THY1"
"FIBIN",7.36513970473655e-25,-1.06363866984252,0.229,0.556,1.94270289991836e-20,-1.06363866984252,"FIBIN"
"RPL36A",1.04779102680983e-24,-1.09484970561565,0.47,0.745,2.76375839141628e-20,-1.09484970561565,"RPL36A"
"TIMP1",1.28355852893725e-24,1.11588362304048,0.99,0.959,3.38564233177778e-20,1.11588362304048,"TIMP1"
"CALM1",5.61701717007811e-23,0.860407390911341,0.972,0.944,1.4816006189515e-18,0.860407390911341,"CALM1"
"LTBP1",2.39914636302837e-22,1.02752747060511,0.754,0.439,6.32822836175994e-18,1.02752747060511,"LTBP1"
"RPS21",2.44187120487984e-22,-0.795368147294304,0.957,0.99,6.44092367711155e-18,-0.795368147294304,"RPS21"
"HSP90AA1",6.06306981815077e-22,0.815935098733484,0.977,0.903,1.59925592593363e-17,0.815935098733484,"HSP90AA1"
"FIGF",2.29246909116268e-21,-0.694759702071964,0.098,0.367,6.04684572175981e-17,-0.694759702071964,"FIGF"
"CA3",8.71845540921541e-20,-1.17951361586316,0.038,0.224,2.29966698328875e-15,-1.17951361586316,"CA3"
"RPL37A",1.47188645330223e-19,-0.695478181716253,0.964,0.99,3.88239489787529e-15,-0.695478181716253,"RPL37A"
"RPL37",4.06955755303088e-19,-0.775360296208833,0.984,0.99,1.07342719576296e-14,-0.775360296208833,"RPL37"
"UBB",1.61679192333528e-18,0.689595095868193,0.951,0.898,4.26461205618148e-14,0.689595095868193,"UBB"
"ITIH5",6.69015148148969e-18,0.83789438261445,0.469,0.138,1.76466125627254e-13,0.83789438261445,"ITIH5"
"CFH",7.38528150710634e-18,1.08394582008653,0.823,0.617,1.94801570312944e-13,1.08394582008653,"CFH"
"SEPW1",1.56149712302303e-17,0.66504281577884,0.878,0.776,4.11876096139785e-13,0.66504281577884,"SEPW1"
"VCAN",2.01768964775327e-17,0.888485208371956,0.786,0.469,5.3220599838788e-13,0.888485208371956,"VCAN"
"IL32",1.75720365942425e-16,0.846912062162322,0.506,0.173,4.63497609246335e-12,0.846912062162322,"IL32"
"RPL17",2.85989954225887e-16,-0.878779056626916,0.916,0.99,7.54355702261622e-12,-0.878779056626916,"RPL17"
"LUM",4.39556409918218e-16,0.834925127796463,0.95,0.867,1.15941794244128e-11,0.834925127796463,"LUM"
"COL15A1",4.53526833475426e-16,0.70070359886164,0.435,0.112,1.19626772865813e-11,0.70070359886164,"COL15A1"
"RHOB",5.40600544088379e-16,-0.896233130098175,0.662,0.811,1.42594205514192e-11,-0.896233130098175,"RHOB"
"MGP",5.87295782508118e-16,1.05302731999522,0.969,0.959,1.54911008552166e-11,1.05302731999522,"MGP"
"RPS29",7.47531591617637e-16,-0.72384230420106,0.895,0.964,1.97176407920984e-11,-0.72384230420106,"RPS29"
"B2M",8.81312825816868e-16,0.516255578511069,1,0.995,2.32463884065715e-11,0.516255578511069,"B2M"
"SCGB3A1",1.21757072268623e-15,0.273815879891949,0.749,0.541,3.21158629522947e-11,0.273815879891949,"SCGB3A1"
"EEF2",1.53774040465217e-15,-0.658744216359799,0.945,0.99,4.05609786535103e-11,-0.658744216359799,"EEF2"
"PPIC",1.70670275958507e-15,0.605734205514336,0.696,0.352,4.50176986895753e-11,0.605734205514336,"PPIC"
"CCL2",1.96264375604074e-15,0.854589605829319,0.563,0.23,5.17686543530866e-11,0.854589605829319,"CCL2"
"MME",2.20306884475415e-15,-0.506042036462411,0.054,0.23,5.81103469180801e-11,-0.506042036462411,"MME"
"SFRP2",2.20359862718157e-15,1.78115863566913,0.478,0.163,5.81243209891682e-11,1.78115863566913,"SFRP2"
"MAOA",2.49995459781135e-15,-0.785968715664161,0.176,0.398,6.59413024264699e-11,-0.785968715664161,"MAOA"
"HIF3A",6.91425414180017e-15,-0.44985488486701,0.089,0.291,1.82377281498263e-10,-0.44985488486701,"HIF3A"
