ID,Z_RGES
Z30044950,-3.0907134027581
Z3079948412,-2.9629866476062148
Z372657542,-2.9183921523663803
Z3482423784,-2.9183921523663803
Z1246636338,-2.8567726661813264
Z1948925194,-2.8567726661813264
Z604421076,-2.8253998114949095
Z28121492,-2.8096586987893994
Z442429982,-2.79748372937318
Z595630932,-2.7922486077563127
Z55885634,-2.7774203787573173
Z2709878522,-2.768049165829537
Z220422634,-2.768049165829537
Z15882189,-2.768049165829537
Z136349532,-2.768049165829537
Z509601750,-2.768049165829537
Z1495098307,-2.768049165829537
Z212853218,-2.7322202472670813
Z730562976,-2.720548290765456
Z220422626,-2.7069340398021184
Z1748016234,-2.6944258888025905
Z1620956593,-2.6827345978753425
Z738964224,-2.682502484465924
Z1863849245,-2.678810752753584
Z1170284426,-2.678810752753584
Z1159552568,-2.678810752753584
Z365136584,-2.67809084872047
Z1728494586,-2.6721936709200853
Z26391904,-2.6721936709200853
Z2267354576,-2.6721936709200853
Z1492229474,-2.6716684449307087
Z2710518926,-2.636636507366646
Z1666797043,-2.636203782318569
Z898769678,-2.6330920444655423
Z26245085,-2.6328064026175366
Z3991882546,-2.6307306126185606
Z32835648,-2.6222145170824396
Z26794357,-2.6222145170824396
Z4002429660,-2.6222145170824396
Z638610050,-2.6222145170824396
Z852067886,-2.621544837034778
Z1230787317,-2.618184519268219
Z89264693,-2.60837339374402
Z91984285,-2.60837339374402
Z57786676,-2.600988966706824
Z3876017271,-2.600988966706824
Z3580663672,-2.600988966706824
Z144735454,-2.600988966706824
Z1979007837,-2.600988966706824
Z558427766,-2.600988966706824
Z2957710786,-2.600988966706824
Z363481852,-2.600988966706824
Z2326513564,-2.600988966706824
Z220325850,-2.592492449438207
Z2755767284,-2.5923352742396664
Z1020908752,-2.5918431633907764
Z1255012141,-2.590639227571427
Z1127022924,-2.57512213610444
Z1178275369,-2.5725372840062013
Z1444206885,-2.569616112020408
Z1239662786,-2.569616112020408
Z987898790,-2.569224958304055
Z1422120414,-2.5676437214640004
Z644718724,-2.5676437214640004
Z2069732204,-2.5676437214640004
Z4034642884,-2.5676437214640004
Z57384566,-2.5634873629541124
Z1395376728,-2.5628468594358553
Z1408456869,-2.5628468594358553
Z1607100237,-2.557416966678125
Z1007025750,-2.548181785526441
Z287508010,-2.548181785526441
Z1160865418,-2.5440829022657474
Z651024088,-2.5440829022657474
Z45588848,-2.5440829022657474
Z1641126238,-2.5440829022657474
Z62796644,-2.5440829022657474
Z1373680452,-2.5440829022657474
Z1373682297,-2.542284607726056
Z3069318953,-2.542284607726056
Z2439258482,-2.542284607726056
Z3196543784,-2.542284607726056
Z1213675786,-2.542284607726056
Z300148896,-2.5403359108207586
Z25603664,-2.540309302397474
Z2943865752,-2.537838979144521
Z1864862238,-2.5368999491282453
Z3992159544,-2.530008619817253
Z1874107604,-2.5290197413863726
