,ST125,ST144,ST16908,ST16927,ST17292,ST17333,ST17334,ST17335,ST17336,ST17434,ST17450,ST17910,ST18015,ST18016,ST18017,ST18026,ST18090,ST18395,ST18604,ST18765,ST18766,ST18771,ST18780,ST18791,ST25588,ST25589,ST25597,ST25624,ST25627,ST25630,ST25633,ST25640,ST25641,ST25644,ST25646,ST25649,ST25678,ST25679,ST25687,ST25694,ST25709,ST25712,ST25715,ST25718,ST25719,ST25723,ST25724,ST25733,ST25734,ST25748,ST25750,ST25754,ST25756,ST25769,ST25774,ST25775,ST25776,ST25783,ST25787,ST25788,ST25790,ST25791,ST25792,ST25798,ST25802,ST25834,ST25836,ST25838,ST25840,ST25843,ST25845,ST25851,ST25859,ST25865,ST25871,ST25904,ST25911,ST25915,ST25916,ST25920,ST25929,ST25933,ST25954,ST25956,ST25957,ST25959,ST25961,ST25967,ST25974,ST26007,ST26022,ST26050,ST26052,ST26055,ST26074,ST26091,ST26099,ST26139,ST26140,ST26183,ST26258,ST26263,ST26329,ST26337,ST26603,ST26764,ST26870,ST27079,ST28040,ST28135,ST28141,ST28265,ST28309,ST28390,ST296,ST37,ST605,ST606,ST621,ST622,ST623,ST639,ST647,ST659,ST713,ST717,ST815,ST968,ST973
10007,2.4521894,1.678788,-0.18454999,-0.41455,-0.11675,-1.2697498,0.40796793,2.0504,2.6918538,4.211466,3.39695,2.1957867,5.410308,1.7118977,9.212695,4.159531,0.40258312,2.4856515,1.7492094,2.0118716,4.388025,5.170518,0.06548786,5.2994404,-0.10581875,0.5868497,1.9338324,-0.13915001,0.94785,-0.2119,0.73644996,1.4852867,1.8647082,0.91005826,-0.03957078,-1.160687,-0.43622497,1.14855,-1.259753,-0.015381843,1.142693,0.1657811,-2.0055735,-0.017291585,1.8971,0.5592,-0.0714257,2.65415,1.079892,-0.23205,-0.1592327,-0.21763381,0.11846126,1.7200165,0.03246075,1.5771785,-1.254997,-0.22540794,0.20832822,-0.7338765,-0.06175022,-0.2878201,1.5616622,0.99520105,1.179363,0.33017915,2.9069512,-0.60005003,-0.34296888,0.6488307,3.9351974,1.8572805,-0.15007557,0.33543068,1.7711504,2.2311797,1.6342119,2.50415,2.318471,2.7962499,1.3232262,1.976692,1.31405,-0.3181266,0.38477385,0.35227448,3.1240861,-0.3757019,1.5360004,2.9662633,0.8821675,-0.47275,0.012155309,1.7185423,-3.9229999,3.8070416,1.0503368,0.5671333,-0.22796577,-1.415739,-0.7631706,-0.13233665,-0.16461322,0.395426,0.4802482,0.9530654,4.0087447,2.7542512,-1.9341679,0.40036863,1.43235,2.9842,-0.81851614,-0.47840375,3.4569356,2.45955,0.045224026,-0.004768774,2.33519,1.3008415,-0.3869,-0.9312716,0.047521997,0.7017898,0.41741106,-0.2849,-3.0654001,1.04475,-0.45036256
1001,-0.28778017,-1.2967713,-5.57485,-0.51455003,-1.9966251,-4.6676197,-1.8760105,-5.18705,-1.840081,-1.8609642,-1.68215,-1.9461122,1.1429241,0.11178562,-4.257717,-5.7077723,-1.8250347,-1.6863188,-0.8467703,0.19188708,-2.930254,0.66768974,-4.747998,-0.8859168,-1.5744962,-3.4106545,-0.8070177,-6.51075,-3.2974,-3.17045,-2.6298249,1.238744,-1.9580481,0.7201898,-4.32736,-3.5369778,-1.0944,-1.1225499,-0.93502307,-4.51416,-2.3623004,0.43683076,-0.34320608,1.278004,-2.5886502,-2.658627,-0.20869547,-3.0405002,-4.187729,-3.7522001,1.1396658,1.2880023,1.1711589,-0.45013803,-3.6420436,-0.34098336,-0.15550874,0.058799192,-0.5667183,-2.187695,-0.48100233,-0.35264927,-1.0876942,-1.6059563,-3.273813,-0.52994996,-2.4351268,1.26985,1.4765055,0.26023534,-4.390034,-0.35229197,-0.034548596,0.0377236,-0.6676194,0.23208441,-0.1610325,-0.0649,1.0683701,-0.60220003,-0.6500002,-0.15377662,0.51155,0.61193264,1.6782444,-0.56144476,0.33751157,-0.52327716,-0.26401305,-0.61613816,0.8050313,0.51629996,-3.687755,0.2267725,-2.55225,-0.46477675,-0.83366764,-1.1398487,-0.36761513,-0.8321316,0.7074355,-0.41251847,-3.5888863,-3.9455938,-0.67287916,-7.970752,-0.16289726,-4.0389886,-2.001492,0.19553065,-0.37274998,-6.64025,-0.9481689,-1.0548236,-2.9423597,-1.8464501,0.20320323,0.43458545,-0.6871278,0.6607969,-2.1668,-1.186245,-0.19782001,-0.79961026,-0.08843729,-0.2629,-6.1410503,-2.5924,1.7328738
10013,1.3317243,1.2018689,0.8154,-2.5911999,4.487925,-0.4109666,0.9107413,-2.68225,0.80173314,-0.4260566,-0.6067,-0.92235446,0.9200804,0.23495254,-1.6161674,-4.418482,-0.103664055,-0.030132473,-0.46546155,0.9142654,0.32307634,-0.09566307,-0.9952772,1.0942183,-0.7384098,0.67438734,-0.25379133,-0.3558,-0.10885,-1.5174999,-0.57912505,-0.16104105,-3.1382446,-1.8287082,0.5005411,-0.3886323,-2.78055,0.47139996,-4.088175,-0.737678,0.096734956,0.19260858,-1.3443208,0.77655536,-0.0768,0.4583392,-0.26326883,-1.5318,-0.66063935,0.4583,0.8407752,2.4914217,0.9656015,-0.46061265,-0.23490363,0.01776369,-0.7045773,-0.044715427,-1.1101224,-0.27450895,-0.28127795,0.47812274,0.40021256,1.0143192,0.80921996,-0.72412974,-0.9738831,1.39465,0.45846018,1.1981812,-0.72781664,1.6350508,-0.29567778,-0.048866153,1.3288386,1.723077,0.8768264,0.75259995,0.97757083,0.49054998,0.6591512,-0.023970366,-0.30130002,0.7306004,1.7319763,0.37369218,2.3350852,-0.090919495,0.483568,-0.13425428,1.1840657,0.0161,0.2778651,0.5162871,-4.373,0.47230288,-1.0753696,-1.0826991,-1.2369548,0.1022242,0.5611006,0.017004564,1.1541135,-2.1530902,-0.5601585,-0.16060406,1.1010133,-0.10558308,-1.4890215,0.050837733,0.59265,0.499,0.8017513,-0.866643,-0.0051543415,-2.14155,0.21713789,0.23452367,-0.7465339,2.7759373,2.894,-0.6830121,-0.64465845,-0.049847968,0.78408927,-0.0897,-1.36975,-0.24460001,1.7006866
10038,-1.048374,-0.99861383,0.84650004,0.91735005,-1.270925,2.3836908,-1.0123609,-2.63605,0.21166527,-5.324682,1.3310001,-0.7185907,-1.9924264,-1.070165,-0.23991406,2.1666343,1.3016638,0.710541,-0.5300003,0.38408896,0.42784142,-2.5161593,-1.8879714,0.56019276,0.49077904,0.08069815,-2.624999,-4.19515,-3.1609998,-2.61565,-0.93565005,-3.0499167,-6.570718,-0.72214615,-0.6570632,-2.52753,-1.237125,0.41715002,1.0791004,-0.6951974,-1.4677765,-0.17364877,2.2476661,-0.23432736,-2.72315,-0.44363928,0.34379345,-1.13255,-2.5066006,-0.36394998,0.3873988,-0.09821925,-0.18046057,0.8822162,-2.2978873,0.4775213,-0.3360312,1.9549103,-0.045143053,0.027879171,0.20189746,-0.06571671,-1.1434032,-0.21888904,0.42790648,-1.6157303,-0.20228045,-3.2010498,0.07338063,-0.46890867,3.181798,-0.051261663,0.23190366,0.9620591,-0.67748135,-3.8022094,-0.9357348,-1.9208,-6.4765635,-3.9137,-0.6785488,-5.1274624,-2.2335,0.4989163,-3.094497,-0.28451726,-3.289463,-2.9596195,-4.3544583,0.014330819,0.6957524,0.33780003,0.33046466,0.9922422,1.0483999,0.54743797,0.24291554,-1.0640197,-0.48687714,0.020062346,0.54858863,0.95456654,0.8015122,0.0143882185,0.077724636,-2.1669598,-1.4215267,-1.4817473,-8.575333,0.9673688,1.0889,-2.4110498,-2.1087205,0.68188304,0.72623587,0.39174998,0.6293906,0.85084313,-1.5891817,-5.594773,-0.26384997,-0.7395983,-0.62052083,0.35957086,-0.020583503,0.038900003,-0.102699995,-3.3555,-0.09602702
10046,-0.5656399,0.367086,2.5386,0.71455,0.45332497,2.4761555,-0.29386657,1.8097501,-0.10714535,-0.6497565,5.47505,4.1803155,-0.89942706,0.9517905,0.2553262,-0.40947568,-0.522492,-0.39720494,2.3286982,-0.36239773,-0.38933837,-0.8179599,0.551015,0.007689297,1.4566594,0.2945379,-0.6244352,4.6834,3.1454,3.96315,2.1689749,2.0135908,3.1375854,0.2745254,0.13061143,0.3770894,-1.127275,0.25145,0.9521798,3.6258936,0.3467136,0.48148277,-0.10669103,-0.41919473,4.7105,-0.1416899,-0.009036988,0.41590002,1.2199945,-1.1044,-0.8841436,0.16460109,0.070613615,0.6455834,0.47064584,0.5202456,-0.2136898,-0.017256051,1.0851256,-0.042487234,3.94094,0.75008327,0.00047171116,-1.6317507,-0.4964975,0.32203224,2.7968826,0.3688,1.5059206,-1.2143227,0.3560811,0.030121595,-0.38750505,-0.21900722,0.6064276,-0.8216358,-0.74369186,-0.38454998,2.5276315,-0.51285,-1.0261593,-1.0301425,-0.8842,-0.059677426,-0.83467805,1.0724167,-0.64367986,-0.2054061,-0.53176546,-0.3828103,-0.018682092,0.16855001,0.05291626,-0.29065776,0.8254,-0.65561783,0.53036094,1.3522598,0.8422611,0.57623005,2.0640192,1.822851,0.11704068,0.6067383,0.6302947,5.591072,1.6695974,3.6810482,3.0621912,-0.22787386,0.4247,4.5592003,0.7147069,0.03611046,0.8353491,0.9584,-1.2681618,-1.3149229,0.097162075,-0.770371,0.60899997,-0.15371493,-0.045805153,0.35130847,0.5003816,-0.13735001,6.10675,2.29755,-0.19809279
10049,-0.52088815,0.8653221,0.31435,0.80614996,0.5589,0.23139596,-0.47024575,1.25225,-1.2618581,-0.89573926,-0.08185001,0.18329492,-1.3114104,0.54749286,-3.8257794,-1.1549045,-0.13216811,-0.04149089,0.5576437,-2.0933225,-2.9281313,-1.8623128,-0.09342313,0.07903157,-0.06822275,-2.3234468,0.19573396,-2.1309,-0.87869996,-1.2613,-1.32855,0.54899496,0.9507537,1.3175193,0.15033895,1.1686205,0.1433,0.35274994,1.0780864,0.07222862,-0.38609153,-0.9264028,-1.6681937,-0.08617424,-1.9115499,-2.4857001,0.6291126,-0.40865,0.51621044,-0.8736,-0.7837658,-1.1147734,-1.7852888,-0.5485203,0.819165,0.21388079,1.4728398,-0.21735674,1.432703,0.36041623,0.07251967,1.1664877,-0.39712986,-2.462914,-0.8683802,-0.20924824,0.54773945,-0.74584997,-1.7046088,-2.9513278,-2.504187,-1.1604232,0.44167882,-0.013853431,0.79238874,-1.2146437,0.71374834,-0.28595,0.32092977,0.3499,-1.1262043,1.3992541,1.5727,-0.6876442,-0.3060264,0.26171103,-2.38502,1.8758161,-0.9154782,-0.09327121,0.2498346,-4.2881,-0.96102667,0.22074091,-1.76355,-0.3996445,0.26071572,0.28862667,1.4133942,-0.56316173,0.68985295,0.20353818,1.2141093,-0.96880466,0.26192093,-0.4465535,-0.87085146,-0.5266599,-0.85297215,0.37697625,0.58895,-0.30875,-0.80825794,0.5237908,0.04395643,-0.51415,-0.5941082,-2.7089627,0.058735907,0.1944311,0.0503,1.1755873,-0.0352491,0.6945753,0.49463415,-7.75185,-0.15495002,-0.13105,-0.41087922
10051,-0.8030875,0.16760112,-4.3429,0.36435,0.01564999,-2.955678,-0.5526184,-4.15095,-1.226699,-2.6285405,-1.77115,-7.998148,0.39984316,-1.89508,-3.2081544,-1.6976452,-0.4980123,-1.1159215,-0.93888754,0.4738624,-1.1548957,-3.6557705,-0.8660922,0.40490907,-0.3790693,-3.2484162,-0.58687186,-4.2558002,-5.1151,-5.19415,-6.07215,-2.9461327,-7.5156755,-0.4420545,0.50631714,-0.4221294,-0.46055,1.2626,-3.122509,-5.0192595,-0.9401281,1.256099,-3.0168138,0.16794826,-5.25895,-0.26135,-0.02292429,-1.7119501,-0.48592275,-0.37805,-0.8143073,-0.10459711,-0.22332425,0.3511488,2.412873,1.7952328,0.59954256,0.078439206,-0.45639962,-0.6543071,-0.049203232,-0.5166907,-0.4675229,0.20161043,1.0954924,0.27015737,-1.9200743,-0.29205,0.56171364,-1.3187962,-4.4442244,-0.30307117,0.6345637,-0.13109973,-2.2965405,-0.511974,-0.21327275,-0.66975003,-2.674546,-1.32045,0.4137537,-1.9110293,-0.95375,0.119503245,-1.2002156,-0.38018933,-0.7867077,-1.0545846,-2.0652618,-1.4847021,0.57659686,0.21865,0.412097,-0.42037153,-2.6891499,-0.9096186,0.015225019,0.0918189,-0.6348335,0.7003352,-0.092011765,-0.31792086,-0.2626243,-1.9995501,-1.9869249,-4.9115124,0.25972015,-1.9013512,-10.0,-0.36203408,-0.6649,-4.7212,0.9809366,-0.029014558,-6.424397,-2.8325,-0.73082507,-0.16842431,-1.7326131,-2.4222934,-1.1659,-1.1027224,0.49515462,-0.11029612,-0.0877625,1.1238,-4.35625,-4.5407,0.22127245
10057,1.0965214,0.7468184,-0.72510004,-0.47149998,-0.42027503,-0.12738992,-0.037875667,0.69690007,0.48508576,0.7474429,0.1875,-0.1568596,-0.12612568,1.3879359,-2.2913818,2.5490925,1.0747993,0.7315049,-0.7063597,0.7865557,1.3031795,0.9240434,1.7660275,0.43182075,0.18270996,1.457369,0.7768656,-0.14620002,0.9807,1.617,-0.51605,1.9335644,-0.4896295,0.41120604,-1.2360793,0.015285552,2.2189,0.91424996,0.8182306,-0.54492545,0.14870349,-0.6782886,0.26793197,-0.56639385,1.9621501,0.5546681,1.0034041,0.34305,-0.1298157,0.6595,0.36205178,0.5226974,0.6403775,0.40216857,1.3000978,0.080818966,0.05033747,0.4799592,0.34914488,0.32145834,0.5445663,0.49255022,0.056973092,0.694931,-0.3812067,-0.403673,-0.434384,0.05765,0.9509324,0.35698092,-2.148315,0.6346381,-0.1809935,0.8179431,-0.088784546,0.08444673,0.5013044,1.22315,-1.2300057,0.48905,-0.19672251,-0.82355213,-0.087799996,-0.05480303,-0.13068894,0.17564684,0.20647034,1.2196244,0.5236111,1.3348808,0.6462544,-0.007649999,-0.1288042,0.37974486,0.17754999,0.96495306,0.8711518,1.7044859,0.45789063,-2.6844442e-05,-0.15136613,0.19779633,0.2884372,-0.7560494,-0.31662533,0.4607961,-0.29793948,0.79367006,-0.37515458,0.88008446,0.35535,-1.31615,-0.61434746,-0.19736996,-0.62272024,0.20975,0.41263747,-0.18798934,-0.078465834,1.2351468,1.9872,-0.66678745,0.10185741,-0.11263232,-0.00018969178,-0.22749999,0.34095,-0.4463,0.75392044
10058,-0.55929893,-0.7370346,0.9676,1.73605,-1.5457001,0.5625467,0.71545136,-1.17575,-2.6980104,-1.2056546,2.55455,2.143127,-2.2411573,0.7912322,-3.2335286,1.3161528,-0.95839113,0.23365085,1.5431188,0.9830384,0.4521198,0.23178798,2.0387878,-1.4468309,0.40257487,2.2575753,-1.6242144,0.19945,0.48619998,-0.22420001,0.8575,1.5255997,2.363543,1.1590748,-0.8718863,-0.8698191,-0.91672504,-2.6257,-3.3212695,1.0984976,0.66049594,1.0856528,-1.1901759,1.3452404,1.2594,0.27669522,0.35332668,-0.4251,-1.8492141,0.89320004,1.502219,1.4008163,0.94545233,1.7968614,0.6930767,0.2973304,0.12657708,0.6956366,-0.83151615,-0.2611377,-1.0103,-1.1126317,0.506516,-0.51959836,1.3061295,0.688393,1.2535514,0.16775,1.3907893,1.9398915,0.48437333,2.452526,-0.7876663,0.41332,-0.16657847,-3.860921,-2.2472358,-1.37455,-3.0258336,-0.8294,-0.6226497,-3.7582126,-0.13985002,1.8271961,-2.014205,-1.0396143,-1.7153028,-1.8339472,-1.6319265,1.0088022,1.78192,0.47845,-1.300939,0.7586412,-5.8098,0.920727,-0.5413212,-2.4409604,-1.1476642,0.09442635,-0.10733736,0.33331263,-1.6564481,-0.90016997,-0.7667465,0.7697563,0.6567295,1.9882479,-2.5765278,1.1273708,0.5783,2.28015,-0.64156127,-0.44585276,1.6403073,1.3456,0.3082974,0.82136387,-2.196369,-3.7692697,-1.1497,-0.30271798,0.71461695,-0.60374564,0.9023377,0.6096,0.76125,-0.3383,1.0700743
10059,-1.2557589,-0.07982051,1.68175,-0.48165,-0.563075,0.2968686,0.27027076,-0.07155,-0.9167511,-3.4890504,-4.3759,-1.2599264,-4.6595554,-1.5949616,2.1875887,-0.003596902,0.751689,0.68664,-1.111991,-0.52094066,-0.8182517,-0.24054052,3.872952,-0.69307613,-0.48980996,1.2849346,-1.3128426,-0.27850002,1.1883,0.8311,1.12205,0.017839551,-1.2957189,-0.74473643,0.38934284,-0.42091724,0.016450018,-1.5848,3.327886,-1.4396337,2.0266376,-0.28841034,1.843589,0.5196866,0.09205,-0.06687494,0.39536545,-0.92435,0.027012333,1.15245,-1.4275233,0.24738364,0.45029843,-1.9757081,2.6610374,-0.19350003,-0.6774957,0.37135395,0.9134822,0.5648963,0.07659178,0.56880784,-0.5956136,-1.4972458,-0.93748295,-0.64143836,0.13244238,-0.28805,-0.18296488,-0.50665087,-0.5886267,-0.35798478,-0.14598191,-0.048297837,0.38765636,-4.5457807,-3.1964617,-1.3898,-4.7846994,-5.7013,-1.2696576,-2.0979471,-1.7724,-0.111398295,-1.6642385,-1.8900642,-3.4615686,-2.0769,-2.63485,-0.49646845,-1.0610988,-0.3774,-0.08639559,-1.2945156,5.1091,-0.45664775,-0.24134503,-0.8703537,-1.0759122,-2.2169452,0.06153807,-0.15331967,-1.2539724,-0.21721539,-0.13548431,-0.8818835,-1.1867085,0.56659186,0.07209486,0.25837752,0.61800003,1.13045,2.110283,0.030600477,-0.9763636,-4.6376,0.13047007,0.06086853,-4.589258,-3.5433621,-5.4867,0.92755014,0.35977104,-0.46771935,-0.45442277,1.1829001,1.2355,-0.22045,-0.027349971
