,ST1076,ST144,ST16853,ST16876,ST17005,ST17019,ST17262,ST17292,ST17301,ST17302,ST17332,ST17337,ST17431,ST17448,ST17451,ST17452,ST17453,ST17606,ST17707,ST17814,ST17822,ST17911,ST17912,ST18016,ST18027,ST18683,ST21,ST25,ST25585,ST25632,ST25633,ST25634,ST25646,ST25678,ST25684,ST25688,ST25693,ST25700,ST25720,ST25721,ST25723,ST25727,ST25729,ST25730,ST25731,ST25732,ST25741,ST25746,ST25748,ST25774,ST25775,ST25777,ST25781,ST25783,ST25785,ST25786,ST25787,ST25795,ST25826,ST25835,ST25849,ST25851,ST25863,ST25869,ST25871,ST25877,ST25880,ST25883,ST25886,ST25895,ST25901,ST25907,ST25929,ST25945,ST25947,ST25972,ST25983,ST25984,ST25995,ST26008,ST26015,ST26020,ST26090,ST26095,ST26096,ST26099,ST26139,ST26141,ST26183,ST262,ST26248,ST26257,ST26328,ST26330,ST26331,ST26332,ST26360,ST26363,ST26494,ST26603,ST26604,ST26608,ST26889,ST27081,ST27223,ST27394,ST27414,ST27418,ST27938,ST28,ST28029,ST28033,ST28307,ST28391,ST317,ST338,ST339,ST462,ST4728,ST485,ST598,ST605,ST606,ST607,ST639,ST643,ST659,ST713,ST738,ST766,ST817,ST891,ST952,ST965
10007,-0.745058,-5.865539,-2.145197,0.22123447,0.027001068,0.516245,0.23304959,-2.8656297,0.7000594,-0.5894134,-4.628446,-1.4569414,-1.932488,-1.7047663,-0.03570001,-1.6186005,0.15855525,-3.6578994,-1.5432686,0.35007596,0.35313,2.2588856,-1.5972664,0.11525373,-0.75576925,-0.9464972,-2.3382776,0.36959493,-3.643337,-6.992975,-8.1024,-7.06907,0.84091413,-0.2124,-1.7994204,1.6673571,1.3315611,0.042819366,0.9328202,0.05364342,-2.0366237,-0.70797384,-1.35495,0.3269802,0.37205565,1.3438897,1.8512716,0.7644979,-1.5407977,-0.59470254,-0.51778245,-0.5536845,-1.7787945,-0.37772742,-0.53104997,-0.055345237,-3.0539465,1.1000854,1.3792346,-7.0303497,-0.8170797,0.7617785,-3.194488,-0.23222984,-3.2281847,-5.125319,-4.1258287,-0.050747424,-0.8247587,-2.6133857,-4.558443,-1.4639134,-2.2150373,-0.40346512,0.13037735,0.31800002,0.34158415,-1.9912722,-0.20019999,-1.0841908,-0.8735658,0.5593777,-1.716361,-2.1692555,-6.98465,-1.2045194,-1.4718692,0.3358655,0.5593102,-0.21401498,-1.2785233,1.2672431,-0.2285084,0.59410536,0.49231702,-1.6685348,-1.8587428,-2.7627463,2.6634219,-0.97259486,-0.40632966,-1.0939755,-0.26470003,0.13630493,2.0653,0.008813411,0.5279846,0.028312325,-10.0,-1.4835501,-3.61806,0.07786372,-0.0650906,-4.0510488,-1.1679478,-0.377157,-0.99904037,-0.61119014,-0.70815,0.79440486,-0.93898314,-1.1839759,-0.89726835,-5.174885,0.16005994,-2.4152083,0.4898497,-1.794827,-3.0828643,2.8768754,-0.015336156,-0.7563251,-4.197065,-0.27964112
1001,-0.29422748,1.3906698,1.1155993,1.2085369,0.16628343,0.5291947,-0.48814362,0.34795037,0.10767868,-0.36074334,1.0710256,0.47330785,-0.49325785,1.3946522,2.309,0.7484266,0.8961267,1.7268891,0.37145844,0.41747832,0.57177067,0.29080343,0.8423167,1.5258937,-0.64791095,0.06973431,0.6546593,-0.2133382,-0.40549773,3.9277496,2.9375,2.6189587,0.45130903,0.57955,1.175827,-0.379356,0.37408406,3.420844,-0.36384892,0.2685221,1.5386657,-0.6967717,1.9778001,0.30767104,-0.079581,1.2840793,0.41990668,-1.520603,1.9874601,0.25330484,-0.7956009,0.71619385,0.38312125,-0.14628488,-0.93595,0.6572294,-0.6190514,-0.5786213,0.42478663,2.8074,-0.28468943,0.30361503,-0.68372196,1.0745046,-0.5329627,0.12163591,1.6242049,1.0132644,-0.2651513,1.0923781,1.335282,0.21063751,0.43135262,-0.3883736,1.0293207,0.17999998,1.3364444,0.40712887,0.14314997,-0.24758554,0.113055885,0.8728436,0.09370425,1.6031837,-0.4932,0.18383935,-0.70491,-0.43274695,-0.89884233,0.026596814,-0.61670667,0.04101315,-0.827277,1.113834,-0.056174606,0.0019523203,0.99903136,1.1228452,0.7338444,1.0624964,0.020387992,0.19623284,-0.40915,-0.2703809,-0.30725002,1.5262231,-0.39472038,0.5086484,0.50960004,-0.4011,-0.13744193,-0.06552011,-0.44473487,0.25724897,0.8876116,0.90297645,-0.3364837,2.4317422,0.3191,0.2795182,-0.56189525,0.4821505,-0.052002132,0.19076404,-0.483188,0.6943536,0.033058055,-0.5272733,0.7044531,3.0936627,1.9370692,1.5512717,0.16767517,1.9903697
10013,-1.0748261,-0.85646164,1.9498814,0.65193003,-1.2406447,0.18366484,0.46239161,1.9067469,0.6967333,1.2592317,1.5146422,2.2151408,-1.3919294,1.0630138,-0.54225,0.9213056,0.08199121,-0.3024037,0.00980413,-0.070032045,2.337113,0.5761591,0.23274438,0.25367105,1.0162975,-0.50317425,0.7269792,0.24353185,-1.0091999,-3.3332121,-2.4110498,-4.080287,-0.5348371,-0.34719998,-0.94746125,0.674869,0.8467622,1.7011616,0.26419678,0.34677124,1.7925195,0.85140985,-0.2427,1.3709952,1.729711,1.6533257,1.0883224,1.4783435,1.0459853,1.6060066,-0.100405045,0.05061023,-1.5744405,1.5041976,-0.19935001,0.4465056,0.08757811,0.8724427,0.24597651,-1.49985,-0.043713763,-1.1924818,-0.43479168,0.4680178,-0.21961358,1.0919356,3.7018123,0.3991744,1.2644883,4.188774,2.2538476,-0.48476118,0.015273586,-0.02504614,0.2500232,-0.29399997,-0.5321863,-0.84826493,-1.4310501,0.016195476,0.19363311,-1.1220449,0.5912183,1.7242618,-0.04760003,0.93184924,0.5632195,0.043864816,0.20241418,-0.40579984,-0.01326032,-0.5825362,0.26883268,0.72099185,0.014402136,-1.1575139,1.075479,-0.4373082,0.17688982,0.59168994,1.4596095,0.014557704,-0.13005,-0.8443046,0.36075002,-0.4652378,0.5397093,-0.81995344,-2.5144,-1.49195,-0.23835985,-0.28757018,-0.46707815,-1.4703765,-0.37451917,0.81986105,1.9066548,0.012894291,-0.5355,0.31274348,-0.6045873,-0.92005205,0.12197454,0.21688338,0.38070792,1.2987782,0.5617609,0.18903847,-1.2475655,-2.1527889,-0.9279812,0.27817166,-0.36438477,0.76291317
10038,-0.056284115,-0.32769665,-0.5536008,0.35592622,-0.9036483,-0.4524024,0.32701716,-0.1732,0.22110675,1.20141,0.762216,0.09722513,-0.06553097,0.45043522,-0.76489997,-0.026599497,-0.25022632,-0.17326558,-0.51452726,0.10038544,0.24672297,0.23501423,-1.0137799,-0.65754557,0.17024747,-1.360069,-0.02822588,0.29595947,-0.48027188,0.37808582,0.74675,0.35594904,-0.16305634,-3.1308498,-0.24424478,-0.6599653,-0.0758916,0.10741764,-0.25809115,-0.2873769,-0.39803237,0.0069443583,-0.60300004,0.62595093,0.3546335,-0.5205079,0.23020555,-0.10994283,-0.27843806,-1.2605053,0.38671094,-0.85476875,-0.05965197,0.3197378,-0.73135,0.06733227,-0.17463347,-0.41394764,-0.49835965,-0.67865,-0.42973173,-0.34007904,0.24395868,0.25376683,-0.036618106,-0.003011912,0.43043947,0.660354,-0.86880565,2.9030657,1.7907763,0.14136791,-0.21341297,-0.045532912,-0.608322,-1.2354,0.7452453,1.0238528,-2.4921498,0.029354133,-0.24324627,0.97908485,-0.38217154,0.64179873,1.01685,-0.9324442,-1.6684021,-0.6098169,-0.6963116,-0.96526515,0.39121115,-0.2886217,-0.17927426,-0.80903494,-0.81075346,0.11513628,-0.07153659,-0.770571,0.3273524,-0.35376307,-1.0927331,-0.80703413,-0.118499994,-0.353607,-0.06545,-0.9430157,-1.0361624,0.2816953,-1.06115,-3.93355,-1.3110914,-0.322282,-0.20352107,-0.6326601,-0.56112903,0.7808366,0.26807505,-0.32103175,0.19995,0.14904983,-0.21636394,-0.5580889,-1.0382003,-0.16291523,1.1650295,0.11136867,1.1692045,-0.44842556,0.18613791,-0.33642045,0.33576652,0.3045343,0.28032473,0.69475615
10046,-0.1119203,0.8413861,0.3261797,-0.3204532,0.09921312,-0.15546468,0.3299002,1.604756,-0.899606,-1.4226384,2.5753622,2.6129048,1.1375988,0.33380863,-0.2948,4.0204253,-0.5536305,2.4037526,-0.28143644,-0.12394817,1.7588949,0.94392323,0.5749818,0.6183684,-0.6013126,6.404887,0.6453923,-0.8508065,-0.41644874,4.4415026,4.8436003,4.666558,0.8444451,2.1795502,2.8144262,1.9644971,0.03627315,-0.03272149,0.8080331,-0.40708244,2.3438082,-0.17094642,5.94865,-0.25169528,0.5319808,0.20063546,-0.34148443,1.3424352,0.7816272,-0.1181453,0.7476951,0.28445908,4.4806633,1.6584599,-0.2949,0.17686175,0.7387376,0.31991172,0.41244096,5.46045,-0.41265202,-0.0036501288,0.31725365,0.80411536,0.86700344,3.8924909,2.3086433,4.3196754,3.70608,1.7059915,2.1600454,0.032358825,0.2889045,-0.5517334,-0.086516276,-0.020049997,0.36218324,0.20519757,1.7046001,-0.018316582,5.7675977,-1.4250236,3.9673257,1.1242962,3.3844,3.3722894,-0.054905325,0.0443179,-0.81735206,-0.44294482,-0.40178204,-0.4797468,0.8637145,-0.4579835,-0.99681616,0.198435,-0.280335,6.707473,2.0225236,1.3556178,0.71192425,1.3814456,-0.18834999,0.4770071,-0.074549995,2.4032736,-0.07956858,-0.41396484,8.17375,3.68925,-0.54490215,2.7749429,-0.21625164,4.1428995,1.7268187,-0.098471195,1.1592064,-1.0628078,0.31299996,-0.40134308,-0.6189836,1.1397218,-0.64628005,1.8451962,-0.8015045,0.4095304,-0.30617422,-0.40352404,-0.143704,1.1714741,0.45555255,0.706396,0.96787065,1.2610868
10049,0.39156157,0.371834,0.6986804,0.8138325,0.34391826,-1.0641395,-0.4399656,0.46808633,-0.47806925,-0.31857598,1.6946657,0.30709568,0.5699284,0.014650911,0.95350003,0.8632972,0.06785262,0.865465,-0.102076024,1.3379688,0.29977623,-0.6427201,0.960377,0.52547413,0.028484285,0.6341134,0.47332627,-0.99967223,0.06453702,2.7291028,0.5229,0.35174412,-0.62173235,2.1365,1.1913395,-0.66388166,0.6160818,0.73787796,-0.7272235,-0.7125436,0.4871745,-0.34860656,0.76255,-0.7221471,0.59232897,0.47646075,-0.20672542,-0.30574664,0.3970809,-0.27627355,0.37418523,-0.7045437,-0.12557086,-0.15818575,0.72220004,0.06217225,0.88618875,1.0692397,-0.21252385,0.65040004,0.701208,-0.71640027,0.5527923,1.503316,1.6773486,0.41630292,0.019257754,-0.062005367,-0.4132211,-0.007273296,0.23182654,-0.67520994,0.19800389,0.5041755,-0.008607134,-0.1379,-0.106340095,-0.35944638,-0.121849984,0.34158957,0.2837993,-0.18401952,0.44763252,1.6865151,2.4163501,0.5243061,0.8207811,-0.023995124,0.28887773,-0.17030439,-1.38391,-1.2284086,-0.26174518,0.13229534,-0.8109713,1.1483752,1.3167746,0.9004429,0.46377704,0.071039885,1.4618845,-0.1709661,-1.2468,0.26003292,0.13305,0.22759224,0.06776382,-0.6329916,1.0926499,2.3843498,0.98486286,-0.18848555,-0.043230213,-0.7431853,-0.10073358,-0.47946823,1.4229847,0.17012605,-0.19545001,-0.8185988,-0.06729737,0.22187823,-0.47278455,1.249227,-0.4158812,0.26483005,-1.6554968,-0.024044484,0.6130712,-0.14965993,0.17751044,1.6832743,1.1452869,-0.30625433
10051,-1.659304,3.7901862,-1.7554598,-1.8636795,-0.083750255,0.96672654,-1.5805023,0.21789521,-0.41342303,1.7663895,-0.05667138,1.1038793,0.70273685,1.9275752,-1.6715,0.6362649,-1.8160485,0.9476905,-0.79679084,-1.1115806,-0.5225122,-1.0018406,1.6221825,-2.3958402,0.28070384,-1.6421765,2.0308475,0.06852415,0.15468788,0.33985347,0.83524996,2.453596,-1.7540014,-1.7660999,-0.26509118,-1.1086534,0.2571802,-1.7874684,-1.0770072,0.07156026,0.57418513,-0.11019603,0.46665,0.73118865,-0.64765203,-1.0893778,-0.84996986,-0.514459,0.44524196,0.08922997,0.08002119,0.76075196,-0.4058811,1.4838548,0.11765,0.81841546,0.8654863,0.28244373,-2.6519392,-0.26095003,-0.7845265,-1.1208875,0.80119264,-1.4022384,0.5953488,0.08648172,-0.3027781,-0.831436,-0.06170409,-0.036197558,0.23390827,-0.48732176,0.74151886,-0.062210187,-0.8169633,-0.54595006,1.1687411,1.2113446,-2.81135,0.92805123,-2.8394437,0.74810916,0.44953042,0.97342277,-2.152,1.3597996,0.96276516,-1.508867,-1.0950857,0.6689503,0.22974169,-1.0313095,-1.208672,-0.94983596,0.07935929,1.3969591,0.9050348,0.77017224,-2.175481,1.339715,0.69547015,-0.79601467,-0.31129998,-2.6461015,-0.76470006,-2.9510174,-2.3810523,-0.06240949,1.10295,-6.7889,-1.330663,-0.78955495,-1.900516,0.23045638,-0.9163159,0.48771214,0.5606648,-1.129123,-0.7422,-0.34106153,-0.31622094,-1.7604785,1.4884539,-0.15801543,1.0014949,1.6296622,0.34493163,-0.22459626,-2.308372,-0.7226595,-0.7641771,-0.81055987,-0.27534366,0.93329895
10057,-0.3371759,-4.2047687,0.6710401,-1.3087504,0.4913883,-0.09389244,-0.5471965,-1.5774988,0.48461545,-1.0384669,-3.7122254,-1.5098982,0.3045686,0.51357293,1.00005,2.8462875,-0.20747952,-3.285111,-0.47591692,0.5006759,-0.043710917,1.2862092,-0.38695997,2.3020687,0.07655266,-1.1004337,-0.033407427,-0.42119247,-2.6908233,-4.4161625,0.44985008,-3.1507854,1.111682,-0.35065,-2.4202209,-0.1095958,1.8212821,1.2117573,0.6454986,3.2402687,-1.6640079,0.48336664,-0.51905,0.7321602,0.24817772,1.7654527,0.60000384,0.8428152,-0.36216456,3.2336893,-1.9888577,-0.67229295,-0.5688055,0.95841545,4.4211,-0.030887462,2.4474423,-0.71515065,1.3164934,2.9128,-1.0653965,2.2226794,2.233283,1.4441898,-3.1352859,-1.9988245,-3.108204,-1.2098303,-2.5384474,1.1928492,-3.666783,-0.5240985,-0.48907238,-0.24430187,-0.24844608,0.9112,-0.8700738,-2.465701,-2.1041,0.0926145,-0.20973797,2.202487,-0.61623937,-1.6698713,-4.5478497,0.48345196,-0.04515484,1.7257524,0.6321753,-0.046704203,-0.5739358,0.19428295,2.6359541,0.3851772,0.7097775,-2.6100607,-0.7711097,-0.76745605,0.9978632,-0.29910082,0.21216905,-0.3680275,0.92805,0.6515716,0.84599996,1.2198937,-0.22706757,0.6392014,-4.8626,0.58204997,1.0453296,0.82217443,-0.1526564,-1.4516871,-1.1270204,0.60686576,4.892618,3.336986,0.72314996,0.09403173,0.26883033,-0.9510515,-0.7239339,-4.104069,-0.55774343,0.40051597,0.5355925,-0.29189897,-1.5768605,-2.964098,0.7773668,-0.45143598,-1.4189749,-0.43904224
10058,-0.03570325,-0.87112534,-0.10599406,-0.9505587,1.0218425,0.42887297,1.9174119,1.6086801,0.100617856,-0.41149688,0.55260074,0.19744433,0.25813088,-0.8423565,0.12665,0.22221528,-0.00920808,2.0830307,0.54543495,-0.8222502,0.3411721,0.464556,0.9911531,0.5480462,-0.08476261,2.6522303,0.49124599,-0.66902214,-1.8610562,1.5697756,0.36665002,4.1974783,0.97900563,3.5527499,2.9630628,1.3306073,1.1331799,2.2861316,1.077806,-0.07954085,0.43101794,0.8133782,0.3932,1.2952596,0.74597186,2.9516778,2.6305785,-0.03101936,0.9752129,-0.24743155,0.5870277,1.846372,-0.93062663,1.5032334,-1.54405,1.2073498,-0.7114588,1.1821226,0.44276255,2.3656502,0.23487887,0.9687366,-0.4619605,1.2017207,0.26370516,1.3121634,1.6893907,1.4665798,2.4082756,1.874485,0.8545837,-0.16232726,-0.48734695,-0.038903445,-0.018357933,-1.7269,2.1436424,-0.95097214,0.4009,0.8243407,0.49544013,-0.045234546,0.51505184,0.69756347,1.47405,-0.34133685,2.7946134,2.8391557,0.4488125,1.4540925,-0.00044658035,-0.4222756,4.0048757,-0.40761054,-0.92433614,2.4993253,-0.23079301,1.0642487,0.69928783,2.737831,1.796941,3.5064106,-0.016050003,-0.25778526,-0.80525,-0.7691915,-1.2259881,0.19759634,4.2427998,-3.50085,-0.82555526,-0.44195533,-0.3908816,-0.92117774,0.10028301,-0.70060945,-1.0595808,-0.09711741,-0.8059,-0.115245506,-0.6806811,1.1385717,0.010680407,1.2581308,0.507517,1.2973893,0.28987044,-0.5364475,0.19681798,4.0022736,-0.4070393,-0.08937247,0.39353278,1.5109204
10059,-0.44539505,0.44176525,-0.2970264,-0.17496291,0.4301166,0.61111414,-2.988246,-2.723225,-0.073532045,0.22000763,-1.6526287,-1.4490521,-0.81702316,-4.369358,-0.27115,-1.8003023,1.1022024,-1.5365739,-3.2246313,-3.6921308,-3.9997048,-3.1978679,-3.4865081,-3.9553208,-0.95613474,-1.2521615,-0.10234801,0.29067022,-3.323614,0.23460889,-0.004499987,-0.76135623,1.7681409,-1.6923499,-1.6185508,-4.7781315,-2.09167,-2.114556,-3.9797232,-0.41642076,-3.2790084,-2.593434,-0.79260004,-3.8509052,-1.156254,-2.7388725,-0.07971053,-0.8239256,-1.2309191,-2.7214062,-1.450321,-0.46526372,-4.2359214,-0.35067582,-4.1573,0.3055388,-3.2092524,-2.3272645,-0.94751465,-5.2107,-1.3214018,-0.95608854,-2.2732773,-1.8888881,-3.0710006,-2.5796905,-1.5229833,-2.686545,-1.2994602,-2.3540885,-2.6550212,-1.4049896,-2.8821409,-0.055125177,-4.2943225,-2.1167,-0.3475893,-0.240984,1.25545,-1.2291129,0.0701859,-2.0371127,-2.142274,-0.73862803,-0.47004998,-1.1036687,-1.5627804,-1.7097926,-1.8052114,-0.31604213,-2.066179,0.60320294,-4.1059275,-0.64154446,-1.225015,-0.7058989,-0.1883898,-0.6015864,-1.5486885,-1.3323896,-0.6767398,-0.5065037,-0.73510003,-0.3209944,-1.4662001,-0.53915864,-7.5231752,-0.088718325,-2.8528001,-0.6615,-0.8568416,0.13731778,-0.47621807,-0.9807468,-0.4599852,0.6481197,0.43156487,0.17894213,-0.018000007,0.40401524,-0.1397943,0.006088555,-3.4350078,-1.3637727,0.14643124,-0.20989588,0.56712496,-0.6385791,-2.1432285,0.016563356,-0.30941582,-0.061239988,-4.130046,-3.8008935
