,ST125,ST144,ST16908,ST16927,ST17292,ST17296,ST17333,ST17334,ST17335,ST17336,ST17434,ST17450,ST17814,ST17910,ST18015,ST18016,ST18017,ST18026,ST18090,ST18604,ST18765,ST18766,ST18771,ST18780,ST18791,ST25588,ST25589,ST25597,ST25624,ST25630,ST25633,ST25640,ST25641,ST25644,ST25649,ST25678,ST25679,ST25687,ST25694,ST25709,ST25712,ST25719,ST25723,ST25724,ST25733,ST25734,ST25748,ST25750,ST25754,ST25756,ST25769,ST25774,ST25775,ST25776,ST25783,ST25787,ST25788,ST25790,ST25791,ST25792,ST25798,ST25802,ST25824,ST25831,ST25834,ST25836,ST25837,ST25838,ST25840,ST25843,ST25845,ST25851,ST25859,ST25862,ST25865,ST25871,ST25904,ST25911,ST25915,ST25916,ST25920,ST25929,ST25933,ST25954,ST25956,ST25957,ST25959,ST25961,ST25967,ST25974,ST26007,ST26008,ST26022,ST26052,ST26055,ST26074,ST26091,ST26139,ST26140,ST26183,ST26258,ST26263,ST26329,ST26337,ST26603,ST26764,ST26870,ST28040,ST28135,ST28141,ST28265,ST28309,ST28390,ST296,ST37,ST606,ST621,ST622,ST623,ST647,ST659,ST713,ST717,ST973
10007,2.9866703,-1.6101075,0.38245,1.0632012,-0.828053,-0.4567,0.9357285,0.44881395,-1.1644,2.0571828,0.07022801,3.0190556,-2.50532,-0.51230824,6.604636,1.1590776,8.455168,0.0755108,0.26570755,0.82780004,1.541912,0.722,1.999255,0.5495766,4.4796305,1.9607853,-0.564854,2.0398636,-1.5643001,-4.1796503,-0.54282004,-0.34109032,-0.69695,0.44480824,1.3856217,-2.3710003,-3.0699558,-5.9617825,1.5200725,2.260591,-0.8260462,0.9676621,1.0358056,0.87847996,1.8933885,0.4628805,-0.60140914,-0.046229936,-0.91441804,-0.28380662,1.8681822,1.1275686,2.5884247,-0.7305685,-0.39208883,-2.681798,0.7225773,2.6639678,-2.5620472,1.4081101,1.2219605,-0.8168776,7.276247,6.3354855,-0.18973452,2.9335406,0.93350065,1.0704509,-0.17040405,2.0089064,8.086451,0.91421735,-0.40771574,1.9608252,1.2679331,1.681176,1.4529173,1.8516852,1.9346708,1.0355406,2.7596688,0.46518415,2.3285315,0.16346811,-0.23032683,0.34375477,-1.1316224,0.69548655,-1.03795,1.213749,1.6374086,0.26381257,1.2579006,0.6742468,2.7607415,-1.8869333,-0.24045002,0.8086523,1.5488865,-1.7905259,-0.5617367,0.5866158,1.697801,0.89656657,1.1002985,-2.24885,0.2966417,-0.4812134,0.98280424,-0.6348436,1.80105,0.24738386,-2.025263,1.8833138,2.146927,-1.1498222,1.797375,0.2261408,0.9210717,-0.71751595,-0.77095294,-0.24275775,1.441344,-0.55327916
1001,0.22195737,0.04718168,2.01665,3.7776706,1.7952647,1.64275,0.38089663,-0.50487846,1.86865,0.7389444,2.0306802,0.7760287,-0.27878386,1.9034636,-0.5970297,-0.50906396,0.6437439,-0.36292636,-0.2685179,0.3583,-0.11000817,1.1086,0.33233184,1.4636068,-0.4588354,-0.017270006,1.7019687,0.09243646,1.3993499,3.1971502,2.8240511,-0.15934193,1.7644,-0.50673246,0.20661975,0.850549,-1.0469669,1.88656,0.267276,1.3628076,0.010124385,3.1819987,0.5706307,-1.1130154,-0.15189543,0.23914751,0.07352424,0.6815695,0.45054618,1.1754798,0.7164484,0.16863126,-0.453579,-0.45102406,-0.4964496,2.7974663,-1.3316938,-0.74886364,-0.09729797,1.2375,0.41374964,0.95453936,0.8918711,0.723757,0.84576446,0.43899953,2.048575,-0.31870654,0.9415673,0.24555318,-0.5414184,0.26780164,0.1610856,1.7523096,-0.1870223,-1.2231948,0.9415699,0.44631785,0.28367928,0.35863054,0.34336302,0.15578333,1.6357528,0.9918534,0.38097844,1.3086656,-0.22168407,0.99635184,-0.33725,1.43471,-0.45495254,0.14382952,1.7407188,1.8606282,1.5095251,0.5938858,2.00635,0.75304365,0.32032612,-0.1778825,-0.4108598,0.3818499,1.7087431,-0.84908736,0.21480212,4.3280497,1.4429231,3.5437088,-0.57653075,0.42010522,4.63085,0.30738303,0.81659234,0.006569378,0.75347143,-0.7688525,0.2792005,0.8176019,2.0525699,-0.7623596,-0.81791574,-0.7253854,-0.03986977,1.9052497
10013,2.3354688,1.4083397,-0.6701,-1.7721444,3.2894928,1.5734,0.32491028,-0.069007486,-0.99975,1.1910017,2.822267,-0.61072266,1.2166185,0.64101267,3.4389231,-0.40811995,-0.002905134,-1.692923,1.3812218,-0.53915,0.081995085,-0.2712,0.32125956,0.7377761,7.142397,1.4185486,1.6552559,1.3702188,0.10485001,-0.3639,0.04114426,0.15291464,-0.805,0.1041545,2.156039,-0.3768676,0.82575715,-3.794616,-2.1070638,1.9777073,0.5128605,-0.65207607,0.8275858,0.056344047,-0.1235037,-0.7778814,-0.5106077,0.0069068074,-0.09503706,0.43834412,-0.2602141,1.8672764,2.0509608,-0.31565556,-0.24003187,-0.53851235,0.30353034,-0.044107556,-0.202747,0.015228707,0.57834697,0.31360367,1.6109846,0.6261227,-0.5987638,1.1948881,-0.9026623,0.5707861,-0.5052895,0.7218631,2.2866836,-0.02585511,-0.455474,-0.10549578,0.89626217,1.5953553,4.265462,3.0674806,3.6197937,5.085051,2.4491165,1.3585289,4.389779,0.9852295,0.23962443,0.32505557,2.2245498,3.4514337,1.7702501,3.5266223,0.97779286,-0.34737223,1.1177344,0.51997983,0.93828404,-3.3505325,1.9045501,0.12724444,-0.9801889,0.78259504,-0.61237186,-0.2403883,1.9470181,0.55245376,2.337593,-1.7151501,1.5614352,-2.882338,1.2878339,-0.33662343,3.144,1.2528043,-2.3056736,-0.8432709,0.61069536,0.15961063,3.2087736,3.9520414,4.3365774,-0.12272914,-1.2298207,0.6536184,1.3387063,0.46877658
10038,-1.399251,-0.056945123,0.7743,0.6542064,-1.7398596,-1.99595,0.52422756,-0.5526073,-2.09125,-2.4713664,-3.0589266,-1.706973,-0.48204947,-1.2987632,0.05284436,-0.10110619,0.27554905,0.1540905,0.8766603,0.79725003,-4.604009,-1.0831499,-2.2851849,-1.4689677,-0.95038503,0.00605857,-0.2787233,-1.4598637,-2.23075,-1.5596,-0.83826154,-2.059827,-0.4523,0.80731046,-0.53789914,-0.49082416,-0.34381628,-1.9020162,0.017921597,-1.7388707,-0.40528882,-1.1823009,-1.0879991,0.71168065,-2.0909097,0.27098083,-2.3892772,-1.118631,-1.9924245,-1.6951455,0.1693793,-4.0224257,0.022837378,0.41639388,-3.0878396,0.579274,0.797001,0.6914437,0.25314534,-1.1063373,-0.9129646,-2.0169086,1.2728426,-1.9787276,-1.1598878,-1.9691342,-1.2314868,0.46895456,0.22968501,-2.0286145,1.1219473,-1.474223,-0.15846443,-1.205984,-1.2637396,0.26956522,-1.0790284,-0.6968129,-0.4626816,-0.7919587,-0.19650792,-1.2515128,-1.4593215,-0.47934052,-1.1475203,-2.0177357,-0.67507887,-2.198576,-0.52735,-0.8921477,-0.6300146,-1.0844519,-0.16924793,0.19081536,-1.1585357,-0.38779926,-0.30409998,1.2063162,1.3206297,0.59642625,0.98827493,0.9603403,-0.38989392,1.0689802,-1.2170604,-0.56125,-2.8242188,-0.5412054,-1.2804902,0.25778276,1.0531,-3.8318558,-0.24997155,1.0410707,-0.8921485,0.3312085,-2.2131448,-1.2748324,-0.083626285,-0.23958233,-0.5056565,0.3821532,-0.37361094,-0.39761916
10046,-0.008972667,-0.26967865,1.3002,-1.0980458,1.2038487,-0.5832,0.44893408,0.10953659,-0.11145,-1.7170339,-0.18260092,-2.0867007,-1.046395,1.1598961,3.050222,0.85145473,0.54150695,0.29119366,0.11604115,0.30875,-1.8475225,-1.1015501,-2.1159759,-0.7722601,-0.37917724,2.2806098,-1.3865083,0.38988522,6.04975,2.96785,3.0526917,-0.48030815,1.9693501,0.15622535,-2.339357,0.95507336,-0.53878504,-0.3024443,2.2996233,-0.6180386,-0.0014143735,1.6387839,-0.036486477,0.84846854,0.07373111,0.42095706,-1.9351146,-1.2166133,-1.6806906,-1.8173225,-0.86649007,-1.5766599,1.7513478,-0.7036841,-1.2339199,-0.56163967,0.5464493,0.15253924,0.79927444,0.059617378,-0.349224,-0.7725993,-1.4708126,-2.857808,-0.08588864,-1.394006,-0.17866609,1.6667365,-0.9555801,-0.98976624,-1.5206506,-1.3418825,-0.42221838,-1.1938465,-1.2316701,-0.45678902,0.8992077,1.600048,1.0293121,1.3671285,0.9044839,-0.29104856,1.3932186,0.9885896,-1.083118,0.1232748,2.014467,1.0579506,0.87310004,3.6164474,-0.47837925,-1.4307309,-1.3539855,0.5888324,-0.7126307,3.6658928,-1.05675,0.897999,0.9165497,-0.12337482,1.0859663,0.061129034,0.37967753,1.7539577,-2.257899,0.59604996,0.58990264,0.660856,0.112574756,-1.7328062,3.4257998,-1.3639597,0.07673842,-0.5922663,-0.39525878,1.5183415,4.583544,1.0566018,0.27517548,0.7938732,-0.42543936,1.3870535,-0.9729468,2.3809028
10049,0.4430455,-0.18894723,0.091900006,0.20588717,1.7461722,1.8929,0.6296178,0.08859235,1.9013,-0.05367134,0.70939434,0.6124565,-0.63518256,0.41989753,-1.2933635,0.37623358,-0.078791045,0.34757137,-0.6274582,-0.20899999,-0.3301685,1.50895,0.10435516,1.5425885,1.0808651,-0.50381684,0.5701899,0.4153831,0.24884999,-0.5832,0.7389506,-0.594348,0.3708,0.5943426,0.69810605,2.3441522,1.4087565,0.5146711,0.24854065,1.623258,-0.3185004,-0.5168753,0.6796255,-0.7586622,-2.1929195,-0.09846619,0.24639004,-0.099633545,0.6987845,0.60595584,-0.17267649,0.6260683,-0.068227164,0.32210994,0.4036592,0.06828673,-0.12759078,-0.6997844,-0.21697888,0.3076669,-0.06329708,0.6047997,0.45690328,0.6904557,0.37519747,0.9744452,1.2772168,-0.46910548,0.7828068,0.21549794,-0.88978565,0.29985005,0.23916155,0.2112227,-0.19447695,0.023092061,0.3497542,0.7573017,-0.5097706,0.033463567,0.14265849,0.23269111,-0.237627,0.6282138,0.50536144,0.53164804,0.36268923,-0.07152648,0.042549998,-1.0640999,-1.6022736,-0.22205478,0.83358157,0.32180423,-1.0773977,1.4579488,1.05055,0.17126684,-0.08365671,0.7306698,-0.68472016,0.3749383,0.3901199,-1.418498,-1.1297423,1.1945,0.61489195,0.9534776,-0.49181825,0.9466592,1.90115,0.8014849,1.2142551,-0.34034976,0.8243046,-0.0852561,-0.70451933,0.5505719,0.33222347,0.049531505,-0.25965184,-0.35238868,-0.9083893,0.35518247
10051,-1.2462337,0.72760326,-3.12905,-0.8099041,-0.26954094,-0.92025,-0.92225266,-0.2186158,-1.6222,-0.9573649,-0.91577035,-1.0312676,1.1277224,-4.6927333,2.3221347,1.1708105,-1.983334,0.2703339,0.44861227,0.48220003,-2.0580924,0.39985,-1.027708,-3.9134836,-0.6161751,0.2352635,-0.29356402,-1.4323823,-3.7948499,-4.25805,-4.562637,-2.8406842,-3.7041502,0.8292297,-1.7926099,0.30069706,0.33072865,-6.568405,-1.1689082,-3.713632,1.35252,-4.479442,-0.89445406,0.54280764,0.6377434,0.63524944,-1.9225419,-1.3613651,-1.827179,-1.869081,0.47356886,-0.18442021,2.7836547,1.5964656,-2.0870876,0.029921144,0.76709306,0.7136314,-0.06372769,-0.5205488,-0.68826276,-0.38448018,-0.9230258,-0.90881974,0.24115251,0.22437671,-0.834007,0.08804102,-1.2752646,-1.2851446,-1.2400693,-0.9644707,-0.4520228,-1.5832448,-0.96067977,0.12341621,-0.036535516,0.7060254,0.42911208,0.42788312,-0.010964051,-0.72729135,0.41478762,-0.60112655,-1.0769637,-1.5951769,0.6345453,-0.18704028,-0.8284,-0.09494317,-0.42575133,-1.086941,0.1993255,0.6800018,-0.7369207,-1.0223882,-1.80845,0.30268615,1.3595997,1.7143716,0.81901973,0.59871125,-0.4448123,0.41276464,0.66084564,-1.24305,-1.6315031,-4.405681,0.13537446,-0.9574456,-4.5021,-1.0730662,-0.4851997,-0.47033507,-1.0080066,-0.31185016,-0.076022044,-0.5031378,-0.23479065,0.6454133,-0.53928065,0.40481803,-0.28686303,-1.6570566
10057,0.3647535,0.7047315,-0.1416,0.76682246,2.509209,-1.4921501,1.7774088,0.29764244,-1.2025,0.46364278,-0.61771035,-1.9178383,0.9357617,-0.7638209,-3.2649708,1.0770162,-2.9823356,0.4463668,0.98622954,1.09075,0.027501687,0.22915001,0.67262447,2.0985308,0.67494565,-0.3207004,1.6996956,0.6769107,-0.64595,0.3741,-0.046078354,2.259143,1.39715,0.7897677,0.33851862,0.18159631,0.71536344,-2.9135416,1.1749833,0.57011044,0.3798682,-0.2562431,0.5264507,0.5798224,0.08173471,-0.06680381,0.44464743,0.10899711,0.6717176,0.46149695,0.83599055,2.759348,1.4376886,1.2054322,-0.12216896,-0.8054398,0.17615283,0.18527225,-0.21416277,0.16218635,-0.75636786,-0.6243973,2.9643881,-0.08536005,-0.8096359,-0.20196405,-0.9582905,-0.23315954,-0.3758284,0.59281474,1.5740898,-0.48741317,-0.27321234,0.6758249,0.26552588,-0.88059723,-0.42826012,0.13848573,0.055251822,-0.039205194,0.32368296,-0.25233346,-0.2816873,0.10866261,0.33886683,0.63041383,1.2869198,-0.48075163,0.86310005,0.2754141,0.92751145,-0.5519197,0.12460831,-0.11259988,0.437419,-1.3266327,0.11180001,0.27561942,-0.13578996,1.7168572,-0.6201179,-0.20360754,-0.375359,0.41735405,0.33677822,-1.53345,0.76516646,-0.49316636,1.1785066,0.46869388,1.7147,2.3468566,-0.33415774,0.5431934,0.67333096,1.086725,0.46212134,-0.0013348237,1.335414,0.35654444,-0.040263742,0.8960971,1.0442011,0.55638933
10058,-0.26958513,-0.10539915,-1.39095,0.8616332,-0.10442501,-0.2587,-0.093327075,-0.42710248,-3.68955,0.51052374,-0.5501918,1.2995276,-0.36369118,1.4912417,-0.756045,-1.1114205,-3.464203,2.279399,-0.55272084,-0.011700004,0.036098585,0.35005,-0.0453597,3.2413101,-1.4199727,0.06975389,0.6302645,-0.0043031424,0.46875,-0.70975,0.17248838,0.58806235,2.59725,0.5136864,-0.1895729,0.20307341,0.30374986,-1.381555,-1.2579827,1.5170954,-0.18263744,2.367656,-0.20968172,-1.3791772,-1.3678029,-0.5896636,1.1580542,0.4999713,0.9182239,-0.2721575,-0.2013945,1.1993995,-0.279933,-0.4908327,0.48754293,-0.22216883,-0.54925203,-1.4180123,-0.10606988,-0.24496669,-0.14624111,-0.5728378,-2.7425318,-1.116248,0.40910724,0.7235478,-0.81614137,-1.25317,-0.065237805,-0.32586432,-0.8083198,0.022192582,0.027491208,0.3388189,-0.51104975,-1.5341756,-0.36673474,-0.013812246,-0.32647038,-1.1776876,-0.2691793,-0.5051766,-0.5622553,-0.528278,1.156141,0.6191472,-0.91520274,-0.36925262,-0.78534997,-0.7915387,0.9268424,0.40946746,0.07464195,-0.34591043,-0.45489207,-1.3926013,-1.15745,-1.1268301,-0.60765004,0.06523043,-0.33638757,-0.5504288,0.04417944,-0.381178,0.65728223,1.45825,0.66701585,-0.31520715,0.87186724,1.1984599,2.1973,-0.68018407,-1.3831713,1.0765948,0.7539661,0.5739261,-1.4136093,-1.3268237,0.5835687,0.0056363344,0.08383416,-0.057514977,-0.33548802,0.6022791
10059,-1.7499866,0.16386878,-5.52945,0.103666835,-0.039961487,0.50975,0.6602469,-1.105965,-0.41020003,-1.6278709,-0.60424054,-1.239027,-0.14449777,-1.0764827,-2.5018344,-0.05052197,-2.587776,0.117327064,0.14639069,-0.2195,-1.0873115,-1.76465,-2.6533797,0.9911809,-1.2388191,-0.9889412,-1.706067,-1.5750532,-1.28505,-0.3771,-0.30638868,-0.4960394,-0.88625,1.1703429,-1.9645724,-0.29659963,-1.2409568,2.559062,-3.0798173,-0.47184297,-0.63231754,0.26100406,-1.0578402,0.8760072,-0.4536866,-0.08305283,-0.9898218,0.68494487,-0.12397447,0.2693422,-0.3325755,0.62186265,-1.0541188,-0.18294354,-0.38516784,0.56270564,-0.70113117,0.37241754,0.49807107,-0.50159526,-0.97052276,-2.0970771,0.33486456,-3.6767607,-0.8284427,-0.01784239,0.23789929,0.5370164,-0.21848428,-0.07816538,0.96933204,-1.2544723,-0.010477312,-0.93423826,0.3317263,0.24236691,0.12313111,-0.611045,0.15051135,-0.77501297,-1.683569,-0.6419246,-0.009853572,-0.48467928,0.07511319,-1.294275,0.035487913,-2.7501907,-2.4468,-1.5307744,0.41032374,1.1466928,-0.89640224,-0.18289217,-1.6277261,2.9563994,-5.8209,0.6223905,0.9433297,0.25551492,0.5749751,0.2841157,-1.2718297,1.3351605,-1.9884067,0.67435,-1.7345886,-0.74392426,-0.020436116,-3.5009832,1.7222,0.84880304,0.1707391,-1.0008979,-3.7752955,1.5160754,0.44512314,0.5172556,-0.71707845,0.099009156,0.4228791,-0.70541686,0.75496536,-0.09201777
