,ST17270,ST28135,ST694,ST201,ST26242,ST25610,ST27639,ST664,ST25678,ST26017,ST26531,ST18706,ST25618,ST27369,ST305,ST27861,ST1069,ST27199,ST297,ST18026,ST25969,ST27394,ST25695,ST26505,ST17313,ST27102,ST25689,ST26771,ST456,ST711,ST25581,ST26667,ST17188,ST27595,ST221,ST26543,ST16907,ST26892,ST28171,ST87,ST906,ST25720,ST25889,ST27079,ST18079,ST652,ST26378,ST1068,ST26050,ST25750,ST455,ST25766,ST17292,ST25747,ST27049,ST25644,ST26601,ST26762,ST27948,ST28297,ST26221,ST25882,ST25636,ST28287,ST621,ST371,ST25832,ST25728,ST28083,ST991,ST28286,ST25612,ST18571,ST25788,ST25886,ST26478,ST25880,ST25758,ST315,ST25608,ST25798,ST364,ST26764,ST26774,ST17781,ST25704,ST25733,ST25698,ST26330,ST25873,ST26446,ST25761,ST25858,ST27530,ST25905,ST167,ST27933,ST25767,ST18025,ST27048,ST372,ST25780,ST25682,ST27058,ST28175,ST25637,ST27418,ST27039,ST17826,ST479,ST25680,ST477,ST26194,ST26361,ST25546,ST26795,ST25697,ST25725,ST17959,ST17220,ST25688,ST27486,ST26456,ST25827,ST486,ST27060,ST25748,ST25589,ST25831,ST25674,ST25887,ST25961,ST17124,ST27569,ST25604,ST26740,ST25881,ST25754,ST483,ST18785,ST25957,ST26020,ST25712,ST495,ST27080,ST25565,ST27045,ST18460,ST27346,ST25974,ST25838,ST17319,ST26179,ST25774,ST26146,ST27742,ST434,ST11441,ST604,ST25823,ST17722,ST25913,ST11805,ST25597,ST292,ST485,ST25867,ST25777,ST25772,ST26873,ST25828,ST25727,ST26607,ST25628,ST25851,ST26608,ST25850,ST18807,ST25716,ST312,ST25731,ST136,ST26599,ST26889,ST25834,ST25934,ST26606,ST26136,ST25883,ST603,ST28032,ST25769,ST25839,ST14030,ST25639,ST25611,ST387,ST26765,ST619,ST25836,ST26751,ST25722,ST25624,ST25670,ST26007,ST25865,ST416
10007,0.1239,-0.74380004,1.1393499,5.2707,0.13284999,-0.57125,0.25634998,5.39185,-1.81885,0.87909997,-0.38485,3.525,0.40539998,-0.1706,0.96414995,4.3112497,-0.1204,-0.18484999,-2.4688,5.93965,-0.47185,-0.99175,1.6803501,1.1997,0.55185,0.082100004,0.07125002,4.92625,0.5656,-1.5948,-1.41225,0.77555,-0.83695,-0.20764999,0.15575,1.6452,1.90995,0.31785,-1.9072,0.41085,0.3616,0.539,-0.83159995,0.487,0.893,5.0226,-0.24409999,-0.68205,0.8433,-0.19940001,2.1698499,4.42735,-2.63,0.6057,-0.56815,0.7407,-1.6723001,2.24475,-0.64995,-0.28055,0.21894999,-0.14965,4.34,-0.27665,3.2842,-1.5921,-0.28715,-0.043349996,1.01105,-1.4944501,-0.68435,5.3817,0.83365,1.34905,1.4224,-0.755,-3.16255,-0.6407,0.2894,2.57915,-0.53425,0.71274996,1.1783037,-0.68675,1.0167999,1.4239,1.42185,4.7552004,0.2248,-0.19135,0.22115001,0.3808,0.89419997,0.26415,0.50425,1.84215,-0.46739998,-0.66045,5.2431,-1.1085,-0.50075,-1.80995,-2.3123,-0.722,-0.08745,0.424,-0.27424997,-0.43615,-0.1213,4.3004503,-2.3739,-0.104399994,-1.29905,0.012149997,0.6138,0.20055,-0.52545,0.68520004,-1.11015,0.58905,0.88725,0.1496,-0.5076,2.5422,0.0344,-1.65205,-0.92684996,-3.2073498,4.8465,-3.0214,-0.69095004,2.5344,0.00045000017,-0.11525,-0.5059,-4.9387503,-1.7636001,-0.53305,0.15540001,0.68155,-0.05775,0.0574,0.137,0.75495,1.28915,-0.16925,0.3716,1.3869,0.09035,-0.86044997,0.040799975,2.4968,1.71965,-2.61805,-0.12474999,-0.38230002,-0.65625,0.029299999,0.050049998,6.5638,0.57879996,1.33095,-0.32455,3.64065,0.2387,-0.37475002,2.05055,-1.108,-2.3123,1.89435,0.8133,0.112100005,0.33295,1.4755,5.54795,2.1693,3.25155,1.28695,0.54995,4.0773497,0.19225,-1.4692,-1.6592,0.0369,-0.77465,3.7806,-0.7126,1.9626,1.8802,0.10824999,-0.26225,0.72284997,-0.2453,0.29145,0.090550005,1.80705,-1.0395501,-0.47745,0.73165,1.71385,-2.34955,3.5572,4.2845497,0.22395,2.4681,1.5283,-1.1137
1001,-0.30645,-0.292,2.36375,1.9985,2.4245,-0.5583,-0.20715001,2.9962502,6.3445,-0.90065,-0.3155,4.5017,-0.54135,-0.2393,0.0327,0.01935,0.34274998,-0.9302,-0.75545,0.5807,0.27285,-0.5071,-0.41099998,-0.9253,0.14355001,2.0238,3.12865,0.009750009,-1.3266001,3.1206,2.3545501,5.0201,2.0463002,0.2399,-0.95425,0.57089996,-0.46165,2.40045,-0.10385001,2.0874,3.1858501,-0.4815,-0.54095,-0.6026,1.9874,0.1511,0.00940001,2.3253999,5.0119,-0.42265,2.12175,-0.048750002,4.4508,-0.1538,-0.25235,-0.2184,-0.4842,2.6662998,0.67649996,5.4089003,2.30425,0.19264999,-0.19029999,2.4859002,2.84955,2.53195,0.02005,2.30405,3.7609,3.7494001,-0.5299,-0.46504998,-0.43085,2.4885502,-0.28095,5.20275,2.59305,4.9284,-0.5194,4.133,-0.105399996,0.095400006,0.45382303,-0.086950004,-0.636,3.2468998,-0.95105004,1.9326,2.4390001,0.11874999,-0.29140002,2.8685,2.6149502,2.6487,1.30755,2.56625,2.1303,2.4135,-0.3041,2.21425,-0.88075006,-0.33715,0.3473,-0.73644996,-0.42475,2.10445,-1.1198499,4.4368,4.8616,0.48515,6.7768497,-0.6074,-0.65865004,-0.6265,0.18380001,0.02894999,-0.8095,2.692,-0.59470004,-0.7386,5.29855,5.7367,0.1716,-0.33155,0.1324,-1.1552501,-0.72749996,2.9121,0.018550001,-0.2073,-0.263,1.3211501,0.2209,3.0131,-0.40905,3.66665,-0.3965,-0.67200005,-0.4127,2.3820999,2.4633498,1.99985,-0.83755,-0.1861,0.77595,0.77215,0.9471,1.00775,2.7028499,3.71385,2.08845,-0.9242,3.286,0.0327,4.5706997,2.7917,5.4747496,-0.63405,-0.26095,-0.1899,-0.9772,-0.037699997,2.1227999,2.638,1.2631999,6.1115,1.0473,0.17495002,5.67565,-0.46525002,-0.30335,1.9297001,2.4870498,-0.49695,-0.62944996,1.9366,2.71425,-0.11325,0.63975,0.096999995,2.8329,2.82465,2.1589,5.1202497,-0.445,0.1298,2.18985,0.46954998,0.19235,5.18545,5.70415,0.36429998,-0.4596,2.18015,5.9117002,0.1813,-0.60195,2.322,-0.39385,-0.126,-0.18605001,0.48720002,0.57645,-0.2741,0.0167,2.1692,-0.10464999
10013,-0.92915,-0.67754996,-1.8273001,1.7128,0.0076999962,-0.22455,-0.64635,2.17725,-0.27795,-4.2822,-3.5574,-2.57035,-0.28125,0.69255,-1.1301,0.65540004,-0.9863,-0.0806,0.7212,-1.1342499,0.4056,2.09235,-0.52575,0.49615002,-0.0347,-0.4587,0.022349998,-4.5576496,-1.0318,0.2568,0.32935002,0.4196,0.8054,2.09795,-0.5971,-0.34315,-2.4809499,-0.10505,-0.21700001,-0.89255,0.020850003,0.6294,1.27905,2.01545,-0.0034999996,0.62175,0.104200006,-0.24424998,1.7335,1.6069,0.6781,1.3639001,2.43745,0.1875,0.23014998,-0.17774999,0.37435,-3.5802999,-0.94145,2.3878999,-0.51195,-1.01265,-1.8632,0.23635,2.84945,1.8644,0.66085,2.58515,-0.53905,0.30784988,-2.52825,-0.5471,-1.1348,0.018599998,0.13605002,-0.115949996,0.90975,1.5309,0.4623,-0.33115,2.93155,-0.8772,-4.2448215,-0.7263,-1.1807001,2.3624,-1.3325,0.99345,2.4064999,-0.09370001,0.3094,2.10955,1.1984999,-0.842,2.0881,1.6192499,0.0738,0.9259,-4.9623003,2.0499501,-0.68175006,-0.68185,1.4549,2.23555,-0.16685,-1.8796,0.32945,-0.36005002,-1.87755,0.6135,0.94635,-0.00575,0.021600008,0.6843,-0.85220003,-0.53695,-0.14485,-0.29365,3.20795,-0.46109998,-0.40225,0.27875,0.85609996,1.0532,-0.7777,0.65625,1.0045,-0.5352,-1.6486499,1.18385,-0.12979999,2.7167,0.72195,2.01145,-0.041350007,-1.0702,1.0259,1.2828,-0.1268,0.41975,0.94395,0.1755,1.73595,-0.40445,-0.4766,-0.79765004,-0.22664998,-2.30425,-0.10699999,3.1799,2.92935,0.32635,-0.021449983,2.11145,2.4268,-0.2791,-0.95024997,0.4994,-1.87765,2.2786498,-0.3316,2.9493,0.55785,1.67595,-0.79730004,-0.9144,1.8891499,0.8899,-0.22465,0.56589997,1.312,1.15725,-0.4108,-1.0573,1.5315499,2.3766499,1.3088,-1.9888499,-0.35500002,1.1007,0.79975,-0.59045,0.95390004,-0.23005,1.3375,1.7504,1.02725,-1.65745,-0.99160004,2.6213498,0.100600004,-2.19895,2.5404,-1.1819,-0.40105,-1.0185,0.0029999986,-1.7732999,2.3383498,1.5284001,-2.71095,2.6941,2.5594,-0.25575,2.5084,2.8948002,-0.28395
10038,0.045299977,-1.0827,-1.1028501,-9.7946,-4.3724,0.95835,-1.4054999,-10.0,0.1124,-2.74925,-3.22525,4.4302998,1.1105001,-0.017250001,-0.00090000033,0.6076,-1.064,0.9081,-2.45225,-4.8732,-4.84555,0.42554998,-5.1221,2.5493,0.0074499995,0.4273,0.48575,-1.63185,3.07335,0.12865,0.60745,-0.8775,0.67695004,0.91415,-0.8966,-0.80205,-1.4222499,0.3358,0.2763,0.34965,-1.3447499,0.63405,-3.2803502,0.6315,0.10965,-10.0,0.08860001,-0.18304999,0.8924,-3.8277001,2.8698,-9.97765,0.23025,0.55295,0.01585,0.31325,0.78824997,3.5774,-0.1779,0.417,-0.27045,-0.6895,-5.5799,-0.95735,-0.35495,0.24575001,0.637,1.42905,-0.93585,-7.00765,4.68885,-0.33345,-4.8115,1.7112,-4.2655497,0.69875,-2.78915,1.53385,1.0311,-3.9036,1.08565,-0.4287,-9.234133,0.9882,-4.7581,3.87065,1.60625,-8.23855,0.328,0.51915,0.032899998,1.27585,2.9129,0.029599994,-0.10789999,-0.1487,-0.2593,0.16454999,-1.35835,-0.749,-0.2466,-0.5964,-1.4264,0.6603,0.65139997,-0.046349995,0.70825,0.010899991,-2.5776,1.9819,-1.0941,0.12394999,-0.00039999932,0.5887,-4.94955,-0.72429997,-0.120600015,-0.4035,2.01,0.92075,0.98885,0.2205,-0.0634,1.8736501,0.14769998,-0.35935,0.534,-4.14315,-5.51875,-0.5723,-0.7479,-0.6563,-0.32909998,0.66295,-0.34515,-2.03305,-3.69375,0.7372,0.5668,0.40725,0.7572,1.52745,-0.07699999,0.7163,-1.81385,-0.68545,-0.102,-1.7258,0.72275,0.98345,0.2083,0.7561,-1.4447501,-4.6243,0.058050007,-4.63075,0.1557,-4.69825,0.4102,0.93575,0.16915,-0.003549993,0.6412,0.435,-5.10515,-0.4941,0.41465002,-2.0475001,-5.3722,0.62775,1.0437,-1.1314499,0.84325,0.1429,0.58564997,1.65135,0.51725,-0.23570001,0.2963,-5.92195,0.67395,-1.2616,-0.45995003,0.4096,0.016950011,0.6051,-0.6299,-0.6118,-4.6674004,1.58065,-0.3179,1.0002,0.629,0.53615,0.221,0.44845,-0.15840001,-3.8638,2.5021,-1.91015,-0.014400005,0.822,-10.0,-0.2558,-3.98,0.082849994,-1.26805
10046,-1.43935,4.41495,-0.86185,0.89145,-0.46760002,5.2807,-0.6951,3.52005,-1.34435,-0.70669997,-0.23355001,0.038450003,-0.19460002,0.4062,-0.4194,0.23570001,-1.3033,-0.0643,4.35285,-1.5339501,-0.38315,0.4577,-0.2742,-0.2348,5.1485,5.27455,-0.21185002,4.6744,-0.096300006,10.0,4.97685,-0.5441,4.5747,0.3747,0.9495,-0.8933,0.63985,-0.2476,-0.41,4.1802998,0.6754,-0.011500001,5.0955,0.34019998,4.9357,-0.5205,0.53330004,-0.74395,0.33495003,0.2726,0.31814998,3.6781,-1.2436,0.27650002,0.58345,-0.022849992,1.2515,-1.1298499,-1.141,10.0,-0.4668,0.5945,0.95264995,0.2673,0.66480005,0.43685,0.4735,-0.14365,0.23095,1.8996999,-0.27925,0.75345004,-0.98020005,-1.0186499,4.9675,-1.0439,-0.42619997,10.0,0.63055,-0.2211,5.1984,-0.428,0.17068669,4.62555,0.3451,-0.32279998,-0.36304998,0.29065,0.1789,-0.053950004,0.43670002,0.25775,0.40780002,0.74864995,0.26865,4.92455,-0.60225004,0.48860002,-0.6743,-0.5908,-1.0350499,4.595,-0.6024,0.6239,-0.976,-1.8465,-1.51995,-0.27385002,4.34715,-0.012899995,-1.62695,0.41155,-1.0529001,0.5201,-0.32529998,-0.53525,4.99315,-1.26795,0.9345,-0.05915001,0.4973,4.8007,-0.21509999,5.07965,4.69725,5.4917,1.4526501,2.96835,-1.63835,-1.2283,0.13794999,0.77915,0.0995,-1.0224,-0.75374997,4.74505,4.34715,1.34905,-0.422,5.3487,-0.19884998,-0.6109,1.26745,-0.21465,5.968,-1.2109499,-0.71080005,0.26700002,-0.29264998,4.8905,0.25300002,0.14864999,-0.16825,-0.2788,0.2961,-0.83629996,-1.72105,0.27719998,3.9867,-1.6321,-1.0293,-0.86385,-0.0055000037,0.23844999,-0.26714998,4.89805,1.9295499,0.020400003,6.4759502,0.0215,1.9335,0.2468,4.4389,-0.4212,0.43935,5.57555,-0.122600004,0.11414999,0.96715,10.0,-0.41529998,0.62585,1.6415,0.59315,1.68405,1.04505,0.4669,4.48975,5.17035,0.0073500015,-0.70805,10.0,5.2679,-0.44545,-0.38244998,0.4669,-2.21665,0.23949999,-1.3269999,-1.54025,-0.63425,1.7554001,-0.5512,0.3947,-0.8223,-0.3369,-1.07315
10049,-0.25994998,2.59975,-0.6048,0.59515,0.031199992,-0.30135,0.35075,2.1087,2.6942,3.135,2.931,-3.3581,-0.1484,-0.3637,0.55995,-3.39475,-3.01125,-0.16594999,1.1784,2.7656999,-0.5564,-0.44840002,-0.96634996,-0.93149996,0.07075,-0.26455,0.124850005,2.5184,-1.43915,-1.72225,-2.1473,0.25465,-0.8384,-0.56340003,1.7959001,0.3042,-0.12859997,0.0933,0.36069998,-1.0457001,0.41390002,-0.43559998,1.8945999,-1.694,-0.7505,0.65375,0.2522,-1.6659,-0.40249997,-1.16465,-2.2198,1.2069,0.92515004,-0.21944998,-1.6954,-0.0306,-3.9376001,-3.1384,1.00325,-1.2287,1.885,0.77030003,2.3590999,-0.08475,-1.4586,-1.0698,-0.3008,-0.72185004,0.43035,4.4472504,-1.41435,-0.46659997,0.14230001,-0.36275,0.528,-3.9119,0.92485,-0.7882,-0.6616,-2.2483,-1.3522999,0.82500005,3.2769809,-1.0198,0.23840001,0.80725,-0.1957,1.9937,-0.16865,-0.016199991,-0.5139,-0.6745,-2.33925,0.54045,-0.53225,-0.07615,0.010400001,-0.73575,2.6434999,0.099199995,-1.2211001,2.47055,0.22305,-1.00505,-0.4499,-0.09875001,-0.5688,-1.5127001,-1.0338501,-1.6065999,2.7743,-0.0968,1.3384,-3.51525,0.9833,0.592,-3.98515,0.29845,-2.38745,0.057499997,0.40305,-2.8918998,1.1031001,-0.44685,-0.2868,-2.09435,-0.89350003,3.592,-0.6889,3.46995,1.3326,-0.286,0.13655,-0.20404999,0.32495,1.5746,1.9375,-1.11175,-0.74794996,-1.973,-0.82785,-1.3602,2.8939,0.07350001,0.37469998,-0.45435,0.7758,2.93285,-0.43879998,-0.23269999,-1.40635,-2.93885,1.2086501,0.9855,-2.549,-0.1896,-0.17555001,0.6301,3.4185,-1.09915,-2.40495,-0.85109997,-2.17675,0.11489999,0.53065,1.1438501,0.612,2.6685,3.7167501,-0.1834,0.10805,0.014150023,-0.41735,-0.06835002,0.05125,-0.23014998,-3.1294,0.39455003,0.84319997,0.78569996,-1.8053501,0.31265,-0.99125004,-0.91585004,-1.2256,-0.14795,0.20450002,0.8105,0.97145,-2.839,-0.51135004,-0.16375,-0.56845,0.2351,-0.12505001,0.22055,1.5809,-1.9553499,-0.12925,2.3571,2.8549,-2.07145,2.3088,-0.2766,-0.60465,-2.0568,0.9941499
10051,0.7925,-0.5654,-4.05055,-5.7514,-0.018799998,0.5432,-0.9588,-7.3879995,2.1964,-0.2979,-1.5791,2.49965,0.8895,0.06565,0.036949992,-0.23805,0.053100005,-0.45675,-4.6194,-2.7443,1.0127499,-0.2263,-6.54635,-2.4179,-0.99245,0.84865,-0.46045,-7.6541004,-0.25465,1.1682999,0.4488,0.43559998,0.09805,-0.41375,-0.007849999,-0.69624996,-5.3503,0.53115,-0.20455,0.302,0.10835,0.6783,-2.8657498,-1.91625,-0.29175,-4.9923,-1.3349,0.66034997,0.1228,-0.58865,-3.2336998,-6.56645,-0.22259998,-0.3234,0.1769,-2.3403502,-0.5943,0.28795,0.023449987,0.3166,-0.19305,-0.32380003,-9.35355,0.8684,1.03795,-0.70925,0.51965,0.75165,-0.336,-4.0523,0.99895,-0.95855,-0.032150015,-0.34415,-2.32505,0.15005,-3.6959,0.03940001,-0.2236,-0.51645,0.4488,-0.36540002,-2.5806804,-1.1001999,0.020449996,0.1279,-1.14295,-4.82465,-0.15520002,-0.80745,-0.06824999,0.43934998,-3.20935,0.03395,0.028300017,0.8684,1.11815,1.06655,-2.1712,0.9857,1.11815,0.77775,2.85485,0.6041,1.3909,-1.7443,0.0904,-0.00045000017,-1.3151499,-2.03755,3.5701,1.07555,0.43334997,-0.16585,-0.00045000017,1.2477,0.69375,0.5432,1.1043501,-0.3463,-1.38895,0.10045,0.47635,-0.012999982,0.74605,0.2553,0.6041,-5.55105,-0.52309996,3.28445,-3.1912498,-0.452,-0.0076999962,-0.0108,-0.4871,0.65485,-2.86935,0.69420004,0.51115,0.0413,0.64735,0.37094998,0.5004,-0.13085,-0.90775,-0.5388,-0.2476,-2.10395,0.31274998,0.80885,0.76625,-0.83019996,0.72735,-0.31895,0.023449987,0.55465,0.4537,0.09009999,0.8934,-1.98465,1.2615,1.3589499,0.33855,-0.3288,0.4297,1.0617499,0.13205001,0.3556,-5.39045,0.27359998,0.07365,-1.7741,0.8895,-1.28065,-0.57449996,-0.39565,0.7837,-0.060350016,-3.8927999,0.5961,1.1377,0.009550005,0.36864996,0.3541,-1.12685,0.76215,-0.41739994,-0.6204,-2.5511,-0.24555,-0.14899999,-0.9317,0.25925,-0.87694997,0.12529999,-1.51825,0.90005,-1.82825,-0.50124997,1.5392001,-3.9954,-0.39824998,-9.249599,0.28695,-1.7727001,0.07365,1.0804499
10057,-1.376,-1.14045,-1.10185,2.3519,2.76675,3.1835,-0.4864,0.442,2.2117,2.453,0.39850003,8.38555,-0.59459996,-0.32415003,3.2938,-0.052399993,-1.0876,-0.73225,0.5003,0.40584996,-0.43774998,-0.17210001,-0.3074,0.86635005,-0.124249995,3.5406501,0.010200009,0.90389997,0.55399996,0.43325,0.38395,3.1664999,-1.2053499,-0.4263,-1.7637,-1.2612,5.11565,-0.5201,-0.042,3.5072498,4.2874,-0.096049994,2.38105,3.91295,0.2005,0.92485,3.56315,0.0809,-0.37205,0.79029995,0.93410003,4.9914503,-0.26205,-0.17110002,-0.59669995,1.04635,1.1458001,-0.15545,-0.63505,-1.32595,-0.0154,-0.2413,1.24685,0.016299998,2.596,0.12344998,-0.011999998,-0.2703,-1.5994501,-0.42569998,-0.7447,5.1641,-1.83725,0.5638,-0.038749993,3.27795,5.0,-0.01640004,0.45819998,5.85355,0.23745,-0.9554,2.915598,-0.36085,-0.0154,4.71555,0.2004,-0.33975,-0.15080002,3.6034498,0.2645,0.28355,4.1254997,-0.60025,0.2809,-1.4158,2.9706,0.06855,1.0812,-0.43395,0.92620003,3.3728,1.3719,-0.6542,-0.49949998,-1.55485,-0.66385,-0.90135,0.74605,2.7706,0.86829996,-0.5892,4.9488997,-0.52135,-1.2172,5.31045,0.1663,-0.15625,4.22955,-0.14285,0.35250002,-0.35885,0.8375,-0.2208,4.1642003,0.2338,-0.30005,1.6308,2.09335,1.96975,-0.08165,0.062050045,-0.92894995,0.2649,-0.20725,0.5241,2.7158,0.2061,-0.06570001,-0.14645,3.2461,3.7519999,-0.19025,-0.013050001,1.03625,-1.20345,0.20985,0.41329998,1.03905,1.3898499,-0.25705,0.14385,0.42064998,2.40855,-1.85415,-0.0678,-0.50875,-1.43255,0.29405,6.1401,-0.71035004,0.6469,-0.032750003,0.87605,-1.113,-0.11495,1.8428,3.1003,4.663,3.1319,4.5061502,-0.6045,3.4333,-0.29874998,0.69775,-0.1426,0.6067,1.21585,-0.053800046,0.96155,-0.01915,-1.6301,-0.80635,-0.95790005,-0.29185,0.8127,-1.20355,-0.72825,-1.16085,0.8464,3.68465,3.80895,-0.055900007,-0.40515,7.1008,-0.5143,0.2902,0.011700004,-0.09780002,0.8622,1.9433999,4.485,5.3448,-0.369,0.7691,-0.54695,0.08934999
10058,0.21035,0.2838,0.32599998,0.91825,0.19340001,0.15450001,-0.79985,0.68655,-1.11765,-0.58605,-0.5710499,0.13455,-0.89909995,0.046199992,0.06605,0.2275,-0.93764997,-0.9311,1.1317,-3.4692,0.72365,0.4319,0.88809997,-0.52384996,-0.44315,0.5412,-0.2752,5.1798,-0.06370002,-0.8287,-1.6616,0.2544,1.14645,0.6332,0.06555,-0.13434999,-3.9566498,-0.2168,0.05725,-0.46559998,0.57280004,0.10749999,1.46935,-0.6875,0.1029,0.85969996,-0.47975,0.19494998,0.016499996,1.8678,1.98225,1.80455,-2.50405,0.23179999,0.091299996,-0.909,1.9113,1.3108001,3.4966002,2.4601,-1.24505,0.15225,-0.85375,0.5137,-1.5532999,0.7479,0.2891,-1.1071999,-0.92384994,-0.70645,1.22225,-1.4401,-0.7788,-0.41375,-0.34414998,0.23155001,1.4713,0.26895,1.05125,0.7108,1.3506,0.14160001,0.72796255,-0.5707,-0.644,-0.4731,-0.62155,1.396,-0.071049996,0.28335,0.2353,-1.3812499,0.2755,0.03584999,-1.5850501,0.1532,-0.55985,0.8571,-1.79355,-0.88374996,-0.4548,-1.2335501,-1.42635,0.63444996,0.302,0.96555,0.79215,1.05635,-1.9965999,0.62805,-2.05475,0.0038000047,-1.27855,-0.2222,-1.18115,0.57795,1.7493,-0.2676,0.51145,0.057249993,-0.42330003,-0.21859999,-2.4085999,0.40105,-0.20955,0.4319,1.20625,1.2506,-0.11625001,-0.57885003,1.11835,-0.82655,-0.62895,0.40469998,-0.60745,1.737,-0.0052499995,1.3248,0.10685,-0.9219,0.6459,2.3162,-0.046599984,-0.2358,-0.46375,0.64145005,-1.11995,-2.6578999,0.82414997,-0.50775003,0.9982,-0.4269,-2.30895,0.26929998,-0.76015,-0.0079,0.43005002,-0.08500001,-1.47345,-0.9384,-0.1067,-0.9118,-0.24835001,-1.5344,-0.60515,-1.3282,-0.018949986,-1.66065,-1.8438499,-0.1763,0.25875,-2.3211498,-1.18515,0.21125,0.06995,1.0792,3.63695,-0.64195,0.0018499941,-0.34305,-0.00850001,1.0938001,1.3605499,1.01795,0.9059,-1.6481999,0.25785,1.16335,0.0625,0.0501,1.4777501,-0.58645004,0.10759997,-0.95780003,-0.72195,0.4664,0.17055,5.3818502,-0.36495,1.0848,-1.0254,2.5219,0.24315,0.015249997,-2.0584002,0.29850003,-1.46915
10059,1.2499,-6.3498,-0.3152,-6.7294,0.59819996,0.75025,0.22575,-3.6346,-0.11305,2.8683,-4.25925,1.1408,-0.26090002,-4.30735,-0.24340001,0.2464,0.83975,0.06665,-4.5683002,-5.3668,0.41355002,0.7791,-3.42935,-1.1377,0.20405,0.23664999,-0.22620001,-6.9841003,0.8644,0.16280001,-5.04075,0.1288,-5.29695,-5.4742002,-0.09664999,-0.383,-2.57075,0.17805001,0.21375,0.19045,0.48605,0.17345001,-4.56785,0.17495,-5.2934,-1.5204,-0.10044998,-4.976,-10.0,-0.16314998,-5.41315,-7.211,-0.07675001,-4.9542,-4.4315,-0.19875,0.40150002,-0.0755,1.61615,-0.08164999,-0.28994998,-0.33409998,-5.01505,-5.22925,-1.1115,-4.7123,-1.22955,-4.8579,0.48174998,-2.389,-4.97665,-1.91495,0.13805,0.072050005,-4.41655,-0.006700009,-0.101550005,0.37145,0.81315005,-1.83705,-5.8101,0.4582,-3.8253505,-4.2743,0.3594,-5.65655,-5.3606,-2.4899,-5.06045,0.15465,-0.1779,-0.79429996,-5.7641,0.03645,-1.14785,-0.3803,-4.6079,-0.53925,0.1831,-0.1288,-4.7709,0.5045,-5.29695,0.4263,-0.66255003,-0.5783,0.023200002,-4.629,-0.5449,-1.0158,-5.00945,0.23855,0.6444,-1.2890999,-0.308,-4.6627502,-0.1767,-0.39555,-5.98975,0.8877,-0.09115,-0.005799994,-4.83715,-0.72665,0.6746,0.8385,0.18200001,1.93385,-4.67365,-4.976,-1.3395,-0.98665,-0.022200003,0.4717,-5.23875,1.85815,1.36795,-0.386,-0.21634999,0.60144997,-0.19794999,0.3594,-2.21045,-0.37375,0.763,1.17355,-0.30484998,-0.9308,-4.5886,-1.05425,-1.3161,-10.0,-0.76285,2.7346,0.55545,-0.038999997,0.80035,0.36155,-4.72725,0.6649,0.117750004,-0.38905,-4.58315,-0.9631,0.0484,0.66385,-0.87715,0.39485002,-3.6746502,-0.3966,-1.2119,-0.13005,0.73864996,-0.7396,-2.4482498,-5.24605,-5.6614,-0.17035,-2.10355,-5.67665,-0.5766,0.961,0.3497,-4.9056,-0.28645003,-1.14745,-5.57095,-0.22805001,1.7825501,-4.629,-4.7123,0.961,-5.02955,0.36275,0.6163,-0.024399996,-4.6627502,2.00615,0.6778,-10.0,1.09665,-1.7249501,-2.22235,-4.6065,0.56049997,-0.06975,0.034799993
