,ST1077,ST125,ST144,ST16908,ST16927,ST17292,ST17296,ST17333,ST17335,ST17336,ST17434,ST17450,ST17910,ST18015,ST18016,ST18017,ST18026,ST18090,ST18395,ST18604,ST18765,ST18766,ST18771,ST18777,ST18778,ST18779,ST18780,ST18791,ST25588,ST25589,ST25596,ST25597,ST25617,ST25624,ST25630,ST25633,ST25640,ST25641,ST25644,ST25646,ST25649,ST25678,ST25680,ST25684,ST25687,ST25693,ST25694,ST25709,ST25712,ST25715,ST25718,ST25719,ST25723,ST25724,ST25729,ST25730,ST25733,ST25750,ST25754,ST25756,ST25769,ST25774,ST25775,ST25776,ST25777,ST25783,ST25787,ST25788,ST25790,ST25791,ST25792,ST25798,ST25802,ST25823,ST25824,ST25831,ST25834,ST25836,ST25837,ST25838,ST25840,ST25843,ST25845,ST25851,ST25859,ST25862,ST25863,ST25865,ST25870,ST25901,ST25904,ST25911,ST25915,ST25916,ST25920,ST25929,ST25933,ST25945,ST25954,ST25956,ST25957,ST25959,ST25961,ST25967,ST25969,ST25974,ST26007,ST26015,ST26022,ST26050,ST26052,ST26055,ST26074,ST26091,ST26099,ST26139,ST26140,ST26248,ST26258,ST26263,ST26266,ST26329,ST26337,ST26360,ST26363,ST26494,ST26603,ST26604,ST26608,ST26764,ST26870,ST27079,ST27539,ST28040,ST28135,ST28140,ST28141,ST28265,ST28309,ST28390,ST295,ST296,ST37,ST606,ST621,ST622,ST623,ST639,ST647,ST659,ST713,ST717,ST766,ST968,ST973
10007,-0.17767078,0.22003075,-0.32639757,-5.0732,0.8652481,-3.4782414,-1.0422993,-0.9242529,-4.7216997,0.5052906,-1.3568949,3.3454807,-0.09059179,0.421585,0.8226973,6.972382,4.2955694,-0.40732855,0.7026907,0.28043064,0.9308812,2.3065414,1.2469001,-0.09548886,0.74655116,0.3620192,0.5020131,1.8792043,0.8201864,-0.3523356,0.57171816,0.2800138,0.4496701,-3.83325,-2.5915222,-3.425855,-0.04381775,-2.9536538,-0.80848503,-1.1514661,-1.3121532,0.9771032,-0.48318082,1.8037935,-3.7855392,0.94586915,-1.6918449,-0.67007434,0.3687464,2.070612,-0.49230248,-1.5782053,-0.58004993,1.1276773,1.2714818,-2.4197598,0.10732787,0.41973782,-0.24432474,0.18195179,1.8592324,-1.5065174,-0.7231232,-1.081079,0.78519976,-0.064919084,0.54607093,0.38434786,2.1437025,-0.01615075,-0.28269476,0.07085088,0.6190431,7.2863503,3.9540434,3.149126,0.6875052,0.56168914,0.24732701,0.02029401,-0.109854415,2.6711166,4.3909035,0.36068517,-0.45036286,0.6336697,-1.0458,0.22936316,0.29513788,-2.8377914,0.34895408,-0.5580591,-0.75304943,1.6450107,-2.0682943,0.40294892,1.008237,0.43988615,-0.5083589,0.07024583,-1.0313195,-1.9474041,-0.23473969,-2.8679564,-0.5669645,-1.3367834,1.7163799,-0.8188834,-0.37032565,1.2204883,0.56752264,1.1382968,-1.852059,1.6255298,1.0268147,0.28090033,0.14712122,-0.7771034,0.68425137,1.3380256,0.7553024,-0.66218245,-0.10437085,-0.36842185,-0.56157446,-1.3875198,0.17701566,-0.009381063,0.4865624,-2.329053,-0.11652541,1.404623,-0.82619834,-1.9962525,-0.17795129,-0.0028371364,-1.5391033,0.41515648,-0.842023,-1.3653673,1.0608234,3.085902,-1.042009,0.7000172,-1.0054356,1.1872041,0.10595548,0.07530537,-1.1197953,0.48412412,-0.925801,-0.5362159,0.44007015,0.44521132,-0.82362664
1001,-0.26656345,0.19738561,0.8890311,2.3797998,-0.12952626,-0.03691259,0.51905763,0.36146536,1.7946999,-0.6504928,-0.016343925,0.41961345,1.8832021,0.8857757,1.6224761,1.1299403,1.3919407,-0.05284436,0.56877446,0.12993869,-0.26266262,-0.23758139,0.9152997,0.25155956,1.103295,0.74983764,0.64252406,0.4601061,0.36513883,0.28697798,-0.9361097,1.0307918,0.32698053,3.7315,1.3643364,0.46142933,0.9060861,1.9035243,1.6995785,0.14019209,0.5681166,0.6980673,0.23865455,-0.011332095,0.52744246,-0.4431154,-0.454743,0.9035665,-0.49059576,3.641254,-0.20591933,1.3237236,0.016192108,-0.3357544,-0.5917844,0.12892956,0.18814132,-0.579544,0.26300317,0.23822337,-0.18900493,0.56051755,1.2092925,1.2660614,0.5148433,0.5456751,-0.69460124,0.19727287,2.1759987,0.7003029,0.03260514,0.28345534,0.7485219,0.86687255,0.40963104,0.4524521,0.24888074,-0.13794604,1.2786815,-0.010873303,-0.33501983,0.9069234,1.0940225,-0.7456417,0.04513842,-0.095662095,0.15952593,0.21801758,0.5620627,3.2778182,-0.37033582,1.4973761,0.38539344,-0.13353476,0.10703945,-0.16958134,0.8977715,-0.3230027,-0.23227042,-0.08785415,-0.26154384,0.7555562,0.7292392,-0.26201373,1.3190355,1.0720948,-0.37192208,1.0981392,-0.11384845,0.16966987,0.83090305,-0.08852461,0.6077734,0.8124002,0.89069486,0.16103655,-0.12551515,1.0150435,-1.1024408,-0.3013374,0.41146362,0.6335046,0.6050743,0.38258982,0.49025083,-0.04904771,0.77280575,1.078728,0.43739924,-0.6725611,0.25855157,0.5060045,0.07619211,0.74717116,-0.14691071,0.9309357,0.47292,2.4060388,0.74924386,0.24886343,-0.5017185,-0.7477284,0.7698339,0.49403736,0.0955816,1.3977528,0.48925498,1.6934153,0.71895635,-0.0029814094,1.4440162,-0.04701583,0.9108486,1.8908277,1.3089007
10013,-0.4791872,1.6965164,1.4004557,2.56425,-0.1093564,2.948881,-0.008838803,0.074235916,4.62395,0.85480636,1.6933072,0.99560964,0.32329702,2.5290837,0.567245,2.123016,-0.541734,-0.42097658,0.11603899,-0.13387619,-0.41025507,-0.54173124,0.83188397,0.29634005,0.93738735,0.5889624,1.156558,0.9532348,-0.8330782,0.6092781,1.1334699,-0.10080472,1.7512345,3.40555,2.5852704,4.0710554,-0.98754466,0.48262066,-0.07230383,1.705904,-0.13851903,-0.53241915,0.021843005,-1.0712816,0.54270864,0.13917725,0.061422467,1.3643663,1.2660143,1.1443084,0.12494182,1.3537779,1.1924014,1.1392037,-0.74457115,-1.3217925,0.26761413,-0.36828893,0.62669724,0.68063086,1.2592351,2.6380033,0.90926725,1.0655506,0.9951471,-1.0039549,-0.3299241,-0.73522496,0.22947425,0.18984962,0.9804785,0.7367525,0.426488,3.39502,1.2856588,1.9838809,1.3682668,-0.47528875,0.46952182,0.8478537,0.15821844,1.6577699,2.6999912,0.32710606,-0.8788426,1.1135364,-0.13703266,0.015373796,1.2783053,3.685099,1.8532504,1.2159958,-0.35801286,1.0236542,1.7719425,0.2722958,0.5089417,-0.6604693,0.19311996,-0.4009183,-0.057079047,1.7230399,0.761255,0.50409067,-0.29595548,0.5496077,0.64836925,0.83289707,0.031225473,-1.2812673,-0.716393,-0.6122033,-1.951204,1.6545388,-0.6324936,-0.5548152,-0.084277235,-0.92348784,-0.54155,-0.7425457,0.4559971,1.4644564,-0.6524687,0.49647838,-0.22499537,-0.25772822,1.1171209,0.44107533,-0.23442976,1.5497264,0.4796802,1.1780963,0.32280892,2.164937,0.43530667,-0.20932527,1.1570473,0.536641,1.3274556,0.015654624,0.08209956,-1.2209729,-0.46941847,0.13191429,-0.018985525,2.0406787,2.9030597,0.40182644,0.57739484,-0.0042605326,-0.12331429,-0.2985401,0.59169513,2.0149324,1.0055356
10038,-1.7586843,-2.6361067,-0.94239104,-0.11649999,1.5048044,-3.2855048,-4.2686577,1.4998056,-1.4755,-0.2518664,-4.3970804,0.6825074,-2.1395826,-1.8632909,-2.140825,4.2360735,2.7121463,-0.20958257,0.3665303,0.81478906,1.3774443,-0.3623658,-3.3075693,0.47229022,-0.39125198,-5.9291286,-5.086781,-3.0186968,-0.0045111477,-1.3737172,1.9888773,-0.96375036,-1.9438639,-2.9292,-1.4249666,-0.9379539,-0.37095857,-4.0726767,-1.4777899,-0.16451006,-0.05939978,-1.685297,-2.8618183,-2.318459,-0.23894978,-0.8939782,0.97747767,-4.1337547,-1.7813296,9.890917,0.33452398,-3.1982498,-0.50483733,0.2810719,-0.88455933,-3.25752,-0.58900195,0.72196156,0.2722171,0.09737481,0.36255705,-4.597229,-2.8490946,0.037883837,-2.4855046,0.36008626,-0.20265949,-0.57583636,-1.549774,-0.34798527,-1.4584703,-0.55641425,-1.511558,1.4053036,0.32529935,-4.4906816,-1.8402996,-0.54721713,-2.8696554,-2.8013535,-0.99612665,-3.3484166,-0.14123142,-1.7066735,0.6142232,-0.31409606,-0.4410499,-1.1372899,-0.17185116,-1.1911712,-5.075953,-3.63831,-4.0519176,-6.2957606,-3.9979095,-1.4388804,-4.6940417,1.2242522,-3.2134087,0.6001399,-1.4887254,-4.3362403,-3.051238,-4.2155247,0.035949662,-4.4231462,-2.001581,-0.45385924,-0.08421706,-1.3597406,-2.00209,-1.3642735,0.6299387,-1.4835175,0.01328218,-0.2990363,-0.3393275,-0.67592835,1.4333234,0.32005805,0.7131284,-0.7748946,0.026885401,-1.439816,0.013226718,-0.4865385,-1.3203704,-1.5519093,-0.12072295,-3.0778494,-2.483204,-0.033254877,-1.9629154,-4.4440575,-0.2979226,-0.008580113,-0.0056304336,-3.872573,-3.0910978,0.24052575,0.36084053,-0.049929075,-0.13739479,-0.6126289,-3.9323199,-5.6997967,-5.800562,-0.7546396,0.061960608,0.093474776,-0.06995435,-0.92284065,0.4831881,-1.9736514,0.74297833
10046,-0.2333037,0.012709513,1.273461,3.85835,-0.5140585,1.153425,-0.03487116,1.0075676,2.26495,-0.3351853,0.36231098,0.32781357,1.5572004,1.6545022,0.23580897,0.7814835,1.7106609,0.11246434,0.6588727,-0.57696104,-0.3711655,-0.37747222,1.0316453,-0.27167618,-0.86837757,0.28499806,1.0738865,3.5657313,2.0526855,-0.10270113,-0.75438595,-0.11560367,0.85957533,4.8661003,5.6326156,3.5756528,0.20385471,4.761177,0.3576352,2.0919857,0.8494593,0.6066184,0.73654366,0.008038506,1.6288776,0.37195605,-0.0047466904,0.52791137,1.5434003,5.2628117,0.68783236,3.3446143,-0.21398199,3.030842,-0.71658397,0.4383614,-0.9566366,-0.17265892,0.7815552,0.7921308,0.0010017976,0.52727574,-0.31068748,-0.37686583,-0.6181273,-0.12553576,-0.26294535,0.16679825,0.016249113,-0.69652665,-0.45475256,0.42632598,1.4883741,-0.94722587,0.437581,-0.41972587,0.8216761,0.17965952,0.39756185,4.7302704,0.16525804,1.0268737,0.15664504,-0.0477021,-0.41833302,0.102974355,-0.82092226,-0.075535074,-0.9319092,0.28315184,1.5004075,-0.16058443,-0.6563476,0.017834418,-0.26273647,1.3614165,0.276739,-0.19421034,0.7313355,-0.37178624,0.39075255,0.7892562,0.3009549,-0.729613,-0.30700782,1.453917,-0.06447068,0.7325245,0.8323084,-0.21073535,0.37363407,-0.16406395,-0.38869667,0.2781918,0.27263948,0.5791327,0.26154536,-0.23257747,-1.0879989,-0.3836444,-0.60261464,-0.08551641,-0.54671603,0.5900775,0.11847976,3.8276515,0.07979694,-0.3903622,0.18241107,5.634939,0.79067004,-0.47144204,0.22712603,3.3817005,-0.12943354,0.17730162,-0.15601628,2.8345423,0.11924644,-0.3196634,0.11533288,-0.24202082,-0.1756244,0.258952,0.15505844,-0.53413737,-0.124415256,0.96539235,2.792766,-0.392222,-0.28869635,2.5027337,-0.28905255,1.792918,3.9948003
10049,0.80168104,0.7172262,-0.25153685,0.68974996,-0.53940195,0.88433385,0.43547648,1.4277899,1.9898499,-0.3052985,1.0625844,0.21873611,0.56049323,0.32420635,-0.48456722,-2.5074782,0.056496978,0.4305153,0.22617045,-0.03643447,-0.7437192,-0.21988542,1.1332121,-0.03935325,-0.19766237,2.0233164,0.6578635,0.46964014,0.7229197,0.8801229,-0.8067096,0.63837206,0.27777252,3.36705,0.89597976,1.8578316,0.009062566,1.1524204,0.5615233,1.8017106,0.041779175,1.375118,-0.07771841,2.117984,2.0034106,0.3621208,-0.46332473,0.93855417,-0.32512134,1.8138294,-0.3075368,1.0290966,0.10585092,-1.6061312,-1.1086267,0.8587657,-0.55499697,-0.39966983,-0.16128436,1.0248557,-0.11417016,1.381249,1.0460695,1.0014281,-0.5521635,-0.10996094,-0.6682073,-0.070038006,-0.83822364,-0.55476624,0.3804447,0.06708521,-0.115511596,1.4945482,0.4561022,0.5214091,0.7044698,0.37859377,0.7472946,0.22759515,0.103126004,1.4613724,-0.49320135,0.5367205,-0.23897171,-0.0146668255,0.3937735,0.24541947,0.22972707,1.2144912,0.97389877,-0.17874987,-0.13826466,2.0815983,0.2584669,0.57626855,0.94452584,-0.11303833,1.9356781,-0.43911082,0.15127611,1.0183859,0.21160331,0.54511476,-0.91247714,0.13623735,-0.00936313,-0.6533308,1.0256557,0.917246,0.758324,0.07125649,0.51521564,0.28840655,0.22981098,0.02286014,-0.22295871,0.8918127,-0.57992303,-0.48533684,-0.16546401,0.5036815,0.078804046,0.1637636,1.0574853,0.79030323,-0.46809703,0.4527497,0.3141206,1.0727885,0.44588983,0.35768855,-0.42698917,0.99996734,-0.33190864,0.06283145,0.6054003,1.2735692,0.013154529,0.25924918,-0.17511903,-0.184932,0.31949002,-0.22180891,0.67732424,1.5232798,1.2911849,2.9655428,-0.19534735,0.20444548,-0.1788449,-0.20692077,0.5358048,1.3197248,-0.6597651
10051,-0.6204856,-1.8474153,1.677234,-3.1368,0.50349194,-1.5177372,-1.8886828,-3.5563045,-3.7031498,-1.213709,-2.2719564,-1.6247549,-3.6544626,0.87186074,-0.63721824,-1.0205646,-0.5951447,-0.89889127,0.47235784,0.89360726,-0.10633539,-1.0143814,-3.507574,1.1557976,0.058919042,-2.3728516,-1.5048726,-2.4551125,-0.27508956,-2.2881455,0.20257391,-0.25279114,-1.1876502,-4.332,-4.7094126,-4.9538746,-1.3668838,-7.1628895,-1.5895349,-0.6603086,-0.6561701,-0.67241716,-0.39976865,-4.6454105,-2.20039,-1.4811643,-2.659308,-1.2189076,0.876058,-9.981594,-0.12186128,-4.000527,-0.808291,0.6463397,-0.10124158,-1.2292026,-1.2860041,-0.19589701,0.14590287,0.3009601,0.26123574,1.8641686,1.2095224,1.1644465,-2.0231154,-1.0845137,0.4429543,-0.6652501,0.20003036,0.34119532,-0.5817789,-0.7364949,0.24198523,-4.7125793,-2.0570989,-2.491292,-1.5084836,-0.042710125,-4.664156,-1.8885427,-1.9343524,-3.6729383,-2.7909896,-0.9343097,0.75360096,-0.55477196,-0.29518536,-0.4574571,-2.1482217,-7.2724257,-1.39953,-2.74914,-1.5078275,-2.6691904,-2.0539815,-0.7331222,-1.9221228,1.6907668,-2.9606557,0.28788683,-1.8723474,-1.0679638,-2.225287,-3.5176425,-0.7135768,-2.738069,-0.6546848,-1.5447272,-0.5488922,0.42932516,-0.31380874,-1.5732334,-0.66226906,-2.5321457,0.4143604,-9.331107e-05,0.6734402,-3.7148178,0.11599813,-0.3003553,0.5127836,-0.22945417,-0.23413017,-0.05119385,-0.030725569,0.8088375,-0.47679728,-0.113550834,-0.5578759,-4.4482937,-2.0770411,-0.70062464,-0.96297485,-7.0388227,0.57701623,1.0137173,-0.9333315,-3.6238763,-0.3614649,-1.6840563,-0.17790264,-1.203613,-1.8247691,-0.3216247,-3.1502728,-2.1967273,-3.49867,0.38967934,0.5407613,-0.15159649,0.52264184,0.58337855,-0.03930471,-4.1064386,0.20147324
10057,0.34923196,0.3231326,1.225293,-0.84534997,0.30077136,0.010448486,-0.8979621,0.044656217,-1.88245,0.5843311,-0.09402251,0.39009273,-0.4792328,1.6416322,1.420891,-0.78156996,1.012224,-0.368272,-0.27617744,-0.005643189,-0.06998551,0.20418324,0.47167364,0.9350264,0.025775395,0.024794608,0.9455304,0.61075765,-0.72170293,-0.2702961,0.50092417,0.6615553,1.4836296,-2.5946999,-0.858395,-2.8945522,1.5484976,-1.7874061,-0.35755587,-1.9258146,-1.153061,0.24543999,1.4194286,0.9882731,-1.0635425,-0.67286396,-0.3746052,0.05654716,-0.63121223,-2.2247167,1.120761,-2.1480389,-0.41629353,-0.31195554,-0.8856225,0.7210897,0.3540413,1.8232684,0.79552287,0.7977227,-1.3771563,1.2196212,1.1098974,-0.7559841,-0.43799087,1.8023722,-0.46264675,-0.87133276,0.31655657,1.0426217,0.0046144277,0.53525704,0.3023698,0.59455687,1.368319,1.2312654,0.23442504,-0.8137711,-0.29343417,0.73054755,2.3193948,-0.44729644,0.058737323,1.5249462,0.26088327,0.3651144,-0.09731655,1.2291098,0.9767343,-0.057891652,1.5475881,1.1310476,1.5275013,1.5519372,1.3702841,1.4466243,1.3042473,-0.39843935,0.2954515,0.71307355,1.2168753,-0.024729148,1.7220585,-0.19925487,0.4796687,1.3027143,0.6346257,-0.4835226,-0.5532952,-0.29867613,-0.17917258,1.7559415,-0.46699604,1.372463,-1.2034526,-0.68759537,-1.3615296,0.06188695,-0.21727832,1.7692617,2.4568264,-0.4005441,-1.1492307,0.24002701,0.27867347,0.8207703,1.9944205,-0.34071097,-0.66751266,-2.4225168,0.6456554,0.39250672,0.37203765,-1.193501,-0.21845387,1.4063584,-0.50380707,-2.0596302,1.5058105,0.1474342,-0.2920992,-0.071791,1.3192047,0.6934358,0.53452647,0.4820233,0.76735693,0.22880992,0.48770177,1.4205873,-0.48224136,0.18469253,-0.16989803,-0.20400345,1.0615203
10058,-0.38816684,0.12775387,-0.4948633,0.28895,0.39440766,-1.0275486,-0.50211465,-4.8381734,-6.0472,1.0150603,0.47844347,5.0701475,-1.344682,-4.199953,3.2665956,-5.689833,-1.3983569,-3.1329927,0.022536188,7.005634,-2.1320992,-0.28106076,0.22727458,-0.24631815,1.1486148,0.78525496,3.866035,-1.0246246,-0.39871666,0.9948734,-2.567359,0.33496413,-0.047053978,-1.0461,-0.68809783,-1.5180306,0.89821076,-4.4868836,0.9636414,-1.466173,-1.103177,-2.813202,-1.745122,-6.1115446,-4.713125,-0.33860928,0.18030688,-0.72334844,-0.023287266,-6.5919976,-0.46599936,-2.46426,-0.4757715,0.21130754,1.4803889,-1.3235,1.9961177,-1.793471,0.5902853,0.17514715,0.7108453,3.390178,-0.0025029927,-0.5497974,0.7653221,0.48879516,3.7826185,-1.8828771,0.43298778,0.40418366,0.08551071,-0.0065102093,0.8891914,1.0784435,-0.11994815,0.36241704,0.208479,-0.77058303,0.15277763,-0.41689342,-0.7216076,-1.0214111,-1.3585284,0.43453884,0.31183198,-0.03398502,-1.524212,0.47034037,0.9405878,1.4507532,0.23322292,-1.8505578,-0.2378996,0.9370531,-0.86016536,1.4155726,-0.31855822,0.5045609,-1.9781568,-0.028663158,-0.7504424,-1.7346228,0.31582034,-0.029881924,-0.18427528,0.043921232,-0.5007808,-0.36447847,-0.52893734,-0.8324698,1.6610156,-1.0897927,-4.1270084,-0.45695695,-0.622468,0.4985125,0.71486896,-0.86863965,-0.9487237,-0.5328526,0.5895955,0.08642763,-0.2747203,0.31522116,0.48755056,-0.2622528,-0.23907378,-0.00942868,-0.054595675,0.2130788,-0.3829167,1.103761,0.7354561,-3.6687994,0.24278599,-0.24296507,-0.03919889,-2.493877,0.9444142,-2.0300958,-0.18285416,6.050089,0.050034672,2.0172994,-4.5503855,-1.383648,1.7740273,-0.97062856,-2.6038988,0.220243,-0.45004773,0.82140416,1.7206355,-0.78698784,1.1676794
10059,-0.19659308,-1.8157766,0.287883,-0.4935,0.24452892,-0.97195673,-2.4118328,0.75932205,-0.08925,-1.6489936,-2.4015102,0.5507064,0.4471587,-6.3381953,0.05572987,-2.6907604,-1.492629,-4.1320324,0.079683915,-0.44595015,0.99931407,-0.6570346,-2.5912766,0.09558752,0.65824986,1.7205522,1.701885,-0.5024344,0.3189463,0.58968335,0.44683748,-0.62051016,-0.7599878,0.72905004,0.45346552,1.4474568,0.39120635,-2.004658,-0.4470683,-0.054890767,0.577515,-1.5984695,0.50474876,-1.0099636,1.9262686,-0.4765393,-2.6766796,-0.06790745,-1.1085564,0.08237183,-0.36222884,-0.33842337,-2.026503,0.21510042,0.3505416,1.3023714,-0.9048575,0.17483844,-1.1972568,-0.16342685,-1.1867626,0.25084776,-0.1336213,0.7575246,-0.46637926,1.4737377,0.49632886,-0.21259701,0.59788734,0.23630509,-0.7719203,-0.91678077,-2.2153354,-0.52628815,-0.6868543,-1.8894069,-2.22568,0.32323608,-1.2630521,-2.7765193,-1.2626675,-1.6652615,0.07876354,-0.4557557,-0.19187398,-0.27112716,1.8414946,0.055006698,-0.2467407,2.1142154,-5.519354,-4.51546,-3.4513526,-4.629422,-3.1519089,-0.6952036,-4.019812,-0.2584516,-2.481595,0.033979263,-1.2355492,-2.00875,-3.0941408,-7.138318,-0.06319742,-3.498823,-0.5361966,0.1956322,-3.865004,-0.4694835,-0.11687354,-1.3433983,0.20260948,-1.4966908,0.2035072,-1.5292017,-0.92243,0.8897307,-0.060902536,0.28176028,-0.5498814,-1.3745501,0.09737998,0.98951054,1.1622398,-0.028715223,0.95971453,0.22005856,0.58942944,-1.4818634,-3.1198668,-0.10521534,0.33216202,-0.19713014,-0.16677353,-0.52251434,0.6376257,-1.629675,1.4822243,1.8258442,0.22693267,1.3797791,0.45229918,-0.7490604,-3.2933078,-5.043826,-3.3819914,-1.0163403,0.009813681,0.5696675,0.1213935,0.54033965,-0.41800135,0.02522868,1.1234245
