,ST1051,ST1076,ST144,ST16853,ST16876,ST16998,ST17005,ST17019,ST17262,ST17292,ST17332,ST17337,ST17431,ST17448,ST17451,ST17452,ST17453,ST17606,ST17689,ST17707,ST17822,ST17848,ST17911,ST17912,ST17914,ST18016,ST18027,ST18396,ST18683,ST18684,ST18687,ST21,ST25,ST25604,ST25617,ST25632,ST25633,ST25634,ST25646,ST25684,ST25688,ST25693,ST25700,ST25717,ST25720,ST25721,ST25723,ST25727,ST25729,ST25730,ST25731,ST25732,ST25741,ST25746,ST25748,ST25774,ST25775,ST25777,ST25781,ST25783,ST25785,ST25786,ST25787,ST25795,ST25798,ST25826,ST25835,ST25849,ST25851,ST25863,ST25866,ST25869,ST25870,ST25871,ST25877,ST25880,ST25883,ST25885,ST25886,ST25895,ST25901,ST25907,ST25914,ST25929,ST25943,ST25945,ST25952,ST25962,ST25983,ST26008,ST26015,ST26020,ST26090,ST26095,ST26096,ST26099,ST26139,ST26140,ST26141,ST262,ST26248,ST26257,ST26259,ST26263,ST26266,ST26328,ST26331,ST26332,ST26360,ST26362,ST26363,ST26372,ST26494,ST26603,ST26604,ST26608,ST26764,ST27077,ST27081,ST27337,ST27414,ST27418,ST27938,ST28029,ST28031,ST28135,ST28391,ST295,ST317,ST338,ST339,ST404,ST439,ST462,ST485,ST598,ST605,ST606,ST607,ST639,ST643,ST659,ST713,ST738,ST766,ST767,ST817,ST952,ST965
10007,2.84205,1.9881728,-0.11503816,1.0531185,2.0184689,-0.22529814,0.008989386,0.4450216,0.061156213,1.3023329,1.6093259,0.4507442,0.98073655,-0.09622217,-0.24908842,0.24467573,1.1143315,1.9664677,1.069463,3.5016584,3.0384538,-3.15834,2.3242567,2.4225156,-1.9131188,2.623807,2.3815386,-0.19045,-0.27232465,-1.1694059,-0.13053972,3.3377728,1.2925012,-1.5622811,1.7871926,2.6136594,-4.67915,-2.3946934,2.9882884,-0.9799,0.68437505,0.30344105,-1.9260961,-0.5089079,-0.3095129,-0.636053,2.8422785,0.5945928,-0.18360204,2.2610254,1.0580662,3.171629,1.2997475,2.2785387,0.29175,0.3301275,2.4455268,1.1166342,0.97721046,-0.24039908,1.5385649,0.06948754,0.0024397224,1.3495836,-3.456275,2.1752915,6.64429,4.4806876,7.109303,-0.66289395,0.361858,-1.2375691,4.133825,1.6316452,-4.292134,-3.6617713,-1.3933464,0.23667751,-0.5707052,-1.6877419,-2.39775,2.130459,0.51499474,0.59319997,0.95046484,-0.7861596,-0.8325751,-0.04750499,-0.18973804,0.13036805,-0.92316926,4.2495823,2.2257304,0.47718525,-0.52012384,1.7283919,0.5705719,1.6095327,2.9638596,0.030943722,-0.04515466,1.6028508,-0.40547788,0.67593884,0.47165948,1.0057129,2.6046534,1.0624197,0.9980585,-0.5092193,-0.020807266,2.6698146,0.71597815,5.203963,2.0785956,1.8341639,-1.476337,-0.5511642,1.0400534,0.43405938,2.1013956,0.82338303,-5.342912,6.5607014,2.386064,-1.152007,1.4022644,-0.14159884,-1.1654125,-0.68038416,1.4487795,4.0300603,0.93946314,2.7132943,-0.23478417,0.79808086,2.1165943,-0.18552253,2.2419758,0.24155973,1.4975166,-0.9223684,-0.16005825,1.4028211,5.167326,0.80411005,-0.31335753,0.97499645,0.8032853
1001,-0.65795,-0.20324296,1.4926476,0.44477332,1.3852162,0.62107426,-0.9205605,-0.9559845,1.5302724,0.7247008,1.3242947,0.8107854,-0.048350245,0.8794038,0.2544936,-0.40156803,-0.44010338,-0.15469569,3.014944,1.9171627,0.8432856,1.3216197,3.281463,2.7490704,2.2921588,-0.55448216,-0.22816585,-1.28655,1.567957,1.3866014,-0.19929451,0.22880872,-0.369318,2.9428866,2.1713614,0.56579053,1.3631,2.7376137,0.8655641,-0.026627481,0.675661,0.20228076,0.20679083,-0.5723189,1.0989953,0.5698166,0.58146507,0.61299837,0.46434876,0.25335804,0.40124983,0.40459198,-0.5733465,1.2099887,2.1880999,-0.42480204,-0.81851864,0.095126644,0.92262703,0.6581663,-0.45774412,-0.22697473,-0.28038377,2.7530189,4.4611998,0.3577934,1.772378,-0.17780334,2.92302,0.022095166,-0.5359596,1.3546236,0.8816251,1.1563058,-0.6208401,3.0210533,1.2096357,-0.27583244,3.5255146,0.4557884,0.43527555,-0.26192364,-0.42928973,0.08957929,-0.22810481,0.2038093,-0.31206003,-1.2514641,-0.58826196,-0.38765377,1.4302089,-0.6756021,-0.04848388,2.4567287,2.1340098,0.7850548,-0.77079517,-1.3844428,0.10626796,-0.18814397,0.12774742,-0.09306675,-0.11956868,-0.40142095,0.5213455,0.070358664,-0.57401776,-0.3584832,-0.07417315,-0.80720824,0.31271416,0.28295028,0.062484056,0.18469557,0.7026465,0.8187107,2.2174063,3.296832,-0.9878094,-0.4451607,1.166083,-0.84445196,1.5204545,2.8770688,1.7165794,1.4010587,-1.014349,0.24588996,-0.8981955,0.24648839,2.583178,2.2566028,-0.65516645,0.09784664,-0.31266662,-0.72385883,0.13075021,2.0317755,-0.29582375,3.6930428,-0.2495653,0.24944493,1.2733756,0.090337805,0.19657268,1.5182064,0.2168225,0.2710768,0.6076597
10013,0.83835006,1.2882344,-0.6212058,0.15512097,1.6325934,0.28956696,0.8172853,-0.18163997,-0.74212945,2.4077628,0.48832062,1.0176857,0.4504922,0.80902076,0.28407562,0.07980275,0.13971128,0.6887713,-0.36977875,1.2343863,1.2233713,0.13025132,1.2663511,-0.07570034,0.83453923,-0.76928335,1.5888959,-0.13735,-0.86168474,0.337176,0.7711709,0.34321898,0.5138834,-0.29611915,0.76686597,-1.4591421,-0.1217,0.1612731,0.32391894,0.9867781,-0.98409325,0.03365554,-0.48427826,0.899397,0.2980825,-0.06776238,1.2912366,0.34505612,0.22131237,0.341915,0.050989777,1.4750139,1.198486,0.7385502,1.1851037,-0.22836854,2.1300497,0.5179235,0.16622439,0.19944607,-0.4415573,0.4251239,1.1935003,1.3057773,1.725425,-0.0010823607,0.59469336,1.0795206,0.60823715,-0.24952596,0.46288502,1.9496188,-0.54861075,-0.5858875,-1.717414,-1.7641432,-1.8800135,0.6893196,-2.0996823,0.122534215,-1.066025,0.29919654,0.25319707,0.036905795,0.12721421,-0.1633467,0.52449167,-0.6930239,0.64897394,0.12652963,0.84170854,0.45015922,0.57840514,0.00033696182,0.18228117,1.1298658,0.16819078,-1.0849311,-0.28931516,-0.82143414,0.34929064,-0.26278096,0.03623659,-0.7579873,-0.49473888,0.559869,1.532337,0.12587981,-0.4645535,0.0077621937,-0.24827465,0.61660784,-0.5864022,2.191565,0.29594997,0.30475983,-0.69149053,0.53506184,0.041676894,-0.108588874,-0.87288964,-0.6954479,-1.5245562,-1.3141547,-0.63918144,-0.08917162,1.4139745,0.026079401,-1.1984677,0.23534928,-0.69149685,0.8040979,1.894736,0.28681612,0.4502969,0.38485602,1.3305693,2.7152572,0.75014496,0.48567134,0.7605336,0.26949498,0.48995,0.8835851,-0.32396355,0.033508174,-0.29454374,1.5277232,0.090283066
10038,-1.63715,-1.5425801,-1.9167769,0.86025405,0.62972337,0.109443866,0.08166554,0.79468846,0.37460744,-1.7108046,0.05611462,0.44551626,-1.6023272,0.45575362,-0.49195382,0.27076128,-0.19855073,1.3504672,-1.0267364,-0.99106896,-1.4813838,-2.5293527,-0.49648562,-1.6882523,-4.494563,-2.1736372,1.1614085,0.374,-2.8939211,-0.3253599,1.0756099,-2.2197905,0.46651387,-0.03538266,-0.5544059,-1.7349732,-4.9317503,-2.1171315,-1.5291361,-2.6961462,-1.2400366,-0.20159386,-0.15773833,-0.18022127,0.16916808,0.07377672,-1.6344439,-0.19936424,0.7198613,0.8248988,0.29749805,0.96590364,0.14596349,0.89133525,1.66955,-0.26790088,-1.8139197,-2.885274,-2.2916627,0.04166299,-0.5736417,-1.2978915,0.48364174,0.16679244,-4.409475,-1.4578922,0.9383714,1.2537056,-0.7156434,-0.51010615,0.4135748,-0.3542652,2.2857494,-1.6978357,-2.8257039,-2.2555628,-6.144309,-0.14056674,-6.016336,-0.08010605,-2.7023501,-0.98311424,-0.45847183,-1.469805,0.001572907,-0.5962509,-0.15567935,7.891655e-05,1.0010467,0.0056157485,0.5943856,2.594963,-0.5876621,-1.8109521,-1.8296154,0.7569051,0.79835534,0.43160772,0.26830706,-1.4651415,1.1868567,-0.051558673,-0.51200604,-1.2054768,0.9788196,-0.12237415,-3.6199496,-0.5691247,-1.3002502,0.56248903,-1.1730775,-1.6251795,0.087322325,1.432421,-3.5740805,0.21666437,-4.463189,-1.2619897,0.41686022,-0.24009866,0.110620365,-0.060878515,-5.4312105,4.5002193,-6.6809187,-1.2803112,-0.82214785,1.0798614,-0.3057618,-1.0362417,-5.0505652,-3.8377836,0.985513,0.22257265,1.7405801,-0.6834254,-1.629445,-0.30704057,-1.8433031,0.49408662,-1.9553301,-1.0245419,-2.486096,-1.0327832,2.1475666,0.010725558,-0.4622019,-2.1937146,-0.87610793
10046,-1.97745,2.7232347,2.379737,0.2633259,0.09319851,0.1381499,0.683803,0.39508733,6.3773017,-0.9190622,1.3685982,3.131437,0.23105392,2.2512972,1.0096242,-0.14355157,0.5860679,-0.52205867,3.7524424,-1.0246315,0.52290773,1.8240926,0.4782474,-1.0646532,1.4938838,-1.1313561,-0.9404271,5.4508,0.81084156,-0.26832253,0.62524813,-0.99061203,0.3295419,0.39966747,3.0267377,4.3517017,3.2482,3.1074636,-1.035146,-1.2516391,0.48134035,-1.1738632,0.50399494,0.47478917,1.4584271,-0.21763009,-0.1324,4.1777153,0.2817636,0.24382287,-0.30068594,0.30344567,0.23321028,3.604712,0.462969,-0.20326124,-2.2739735,-0.3261632,2.566582,-0.11086646,-1.6899834,-0.7520419,0.20186378,1.7370886,0.521,-0.627478,2.7981238,-0.75337523,0.4973414,2.0705547,0.89965564,2.159123,0.32759574,0.33547541,1.3823873,1.0180304,0.26775122,-0.15372516,0.5750726,3.5435958,1.5204421,-0.7698478,0.58566236,2.0562,4.399213,6.104143,-0.2440375,-0.49295282,0.23322865,0.5268537,0.29263842,-1.7091725,0.5175295,-0.52731156,1.4185188,-0.34428644,0.6229408,2.659373,0.2778417,-0.13831773,0.07320532,1.8712171,-0.3715456,-0.62621474,3.2589478,-0.060101286,-0.048920427,-0.712489,-0.40741414,0.6056886,-1.7238407,1.8313042,-1.6801622,-0.10330273,-0.65159106,0.23775508,1.426155,1.5667273,-1.5673327,0.7327916,0.29514596,2.0110247,2.1547909,-2.2953405,0.21596526,-1.4023466,0.037037805,0.82742476,-0.10789266,-0.5188316,-1.2222666,1.0835832,2.7897189,-0.114062384,-0.5200639,0.89281636,1.4678723,-1.2438351,-0.26790655,1.2871717,-1.5268056,-0.14288747,0.2743019,1.0972788,-0.19393516,-0.99188125,-0.9680662,1.774993,0.250287
10049,-0.47755,0.86350423,0.867651,-3.6720665,-1.2120879,-0.15669085,-0.43554285,-0.89831924,-0.29704204,-0.5701351,0.71646327,-0.0031259283,0.4434977,-0.9562211,0.7161771,-1.3175441,-0.6552253,-3.3646054,-0.29155603,-0.30187967,-0.13505495,0.6813513,0.32046157,0.9213115,0.6666943,-0.49136543,-0.41119123,-0.0030499995,-1.6715238,0.69015616,0.15414982,1.1367466,-0.88430005,0.9286083,-0.84406644,0.947947,0.60345,1.4239728,-1.4233975,1.7008681,-0.41957355,-0.111688584,0.4321158,-1.8280226,-0.3677649,0.17739159,-1.56385,-0.19491291,0.3252796,-1.5269369,-0.013788328,0.57887155,-1.8548201,-1.6771625,-1.88355,-0.86530375,-4.558489,-0.07073358,-0.09723647,-0.74380696,-1.1332026,-0.25777295,-0.45096284,0.3060428,0.07274997,-0.91734916,-0.58235794,-0.8246932,-0.58121353,0.2283059,-0.11639962,-1.3565485,2.405064,-0.43838558,-0.16333173,-2.9772086,-0.9262235,-0.48794302,0.69513434,-4.4341493,-0.63773143,0.038868383,-2.7570999,-0.024025694,0.0073156953,-0.9527038,0.69739395,-1.5547831,-0.31054705,-0.29276794,-0.47379142,-1.3166103,-1.2425132,0.36808354,0.4541374,-0.3062382,-0.6839794,-0.6652509,0.7986064,0.9226278,-0.53890747,-0.4721529,-0.27800363,0.34085494,-1.1620544,-0.08921972,-0.9825069,-0.77792037,1.1140671,-0.24060203,0.2910955,0.5588635,-1.7695014,0.40392828,-0.047451064,-1.2023761,1.1413175,0.2003836,-1.441392,0.5034524,-0.43182367,-0.30638683,-0.42715684,-0.44562295,1.5665258,0.4421717,0.2135036,-1.6711293,0.1535183,-3.0733252,0.3163584,0.10500729,-1.150494,-0.6242226,-1.5704664,-0.004117936,0.15186986,0.01565753,0.568889,-1.324907,1.3735728,-2.0238345,-0.24922979,-0.8921326,0.92276025,-2.042407,0.55153054,0.28713807,1.0082239
10051,-0.8973,-0.07063541,-1.2072734,-0.12839398,0.45260096,-0.041363657,0.48519868,1.5612892,0.43041784,1.3989029,0.3380229,-0.8236175,0.39888054,-0.15506992,-2.7329721,-0.5729581,0.118113935,-0.10625222,-0.8730033,-0.48030972,-0.7566446,0.36914638,-0.24838349,-0.47425735,0.5063406,-1.2852569,-0.6601093,0.7588,-1.4921432,-1.1710403,0.461986,-0.15731534,0.18920788,1.0167463,-0.9230367,-2.2678933,-0.71495,-2.557702,-0.8631317,-0.5671025,-0.7255293,-0.4680022,-1.0076725,-0.19737974,-2.0424871,0.09848338,-1.2846848,-0.19020316,-0.58423376,-0.3746203,0.063586794,0.20695284,0.07236683,-1.3330483,-1.25305,-0.81796336,0.120665066,1.0568329,-0.7895029,-0.8763454,-0.92671174,0.35475007,-0.7913297,0.18979453,-1.84735,-0.8788798,-1.6696463,-1.9986317,-0.24621265,0.14284171,0.46903002,-0.7821805,-1.2458594,-0.36165756,-2.7393641,-2.6452053,-4.639192,-0.558408,-4.596097,-2.5392098,-2.4129,-0.25918877,0.23118897,-0.63099277,-0.5990733,-0.22953303,-0.8152205,1.0702085,1.2968287,0.60760355,-0.30935317,0.8810083,-0.29967213,-1.5555197,-2.1548836,0.1307159,0.055850618,0.36180115,-0.645061,1.4610074,0.4495894,0.9962849,0.2429268,-1.094811,-0.28443113,-0.6038555,-0.4897186,0.8424108,-0.1789344,0.9427568,-0.7487335,0.1693258,-1.4734381,0.4245615,-1.0526505,0.68971413,1.2617756,-1.456252,0.54888487,-0.07770928,-0.31233764,0.15134875,-1.1037347,0.23464346,-2.8814108,-0.33948058,-0.5985817,1.223628,-0.32508507,-0.20906624,-3.01597,-2.4904451,-0.8239361,-0.2469809,-1.0327581,-0.09681201,-2.05279,-0.6915385,-0.9225347,1.4173009,-1.1558245,-1.1074567,-0.016444873,0.10501222,-0.8440103,-1.6724857,-0.62159836,0.02064117,-1.841491
10057,0.80385,3.430582,1.308838,-0.0253424,0.52963763,0.063700825,-0.5223714,-0.12914827,-0.8013965,1.6134033,-0.28687257,1.1816365,1.1171898,0.83907264,-0.6310953,0.27401984,1.2334626,-0.069364965,-0.17559227,1.6932557,2.5285106,-1.6778157,1.3196359,2.7632766,1.5523049,0.8566021,0.15026568,-0.60515,-0.4413292,3.4976792,-0.30208233,3.0566556,-0.29706913,-0.9139184,0.8650669,0.8329078,0.02759999,1.2703843,0.66375184,1.0439469,-0.20710802,-0.08578807,3.3207378,0.015962012,0.45748043,0.5458698,2.1805565,-0.3353359,0.44997284,-0.09448439,0.7457326,1.0043211,0.15813082,2.0266585,-0.37705004,0.24839821,-1.3561014,0.8562262,1.0079395,-0.4906441,0.39326492,2.596124,3.349363,0.1525161,3.85845,1.6991948,0.34799773,1.2472478,2.3792038,1.3455303,0.9909021,1.8232397,1.0901369,-0.42211512,-1.3723705,-2.2486873,0.38309228,0.87266886,-1.1381073,-1.2443683,-1.8464215,-0.13585308,0.076827385,0.56055,-0.3325616,2.7035275,-0.5690422,3.6227288,-0.33090615,2.1210377,0.7193806,-0.3440584,1.7868016,-0.11493854,0.7136115,0.7604623,0.94186866,-0.7397858,0.52656007,0.6634487,1.0143746,2.2555351,0.20216078,-0.18861392,0.18204519,0.4963143,-0.05812686,3.1166592,1.0942577,0.028955705,1.3144234,0.279903,0.32900044,0.6885559,1.5544832,0.70022255,-0.5474781,1.7599373,1.574961,3.029517,-0.98472595,0.70828754,-1.1238111,-1.3881092,-3.3675199,0.8912255,3.200619,0.48923424,1.8401945,0.28992817,2.829797,0.45715612,3.9428291,0.11054914,-0.11041489,1.6659718,1.9846824,0.7602222,0.3507836,-0.11948016,2.590432,-0.2873774,2.0326247,0.017355263,1.1036314,3.4423716,1.3436968,0.046705764,0.4853466
10058,0.42215002,0.66981125,-0.22764908,0.4457503,0.5463195,0.525087,1.742372,0.66009134,-0.14740345,0.5934356,1.0535189,0.32447064,-0.96109617,0.89415634,0.16726613,0.17369321,0.46927997,1.045205,1.9692011,0.48825532,0.19554292,0.3380031,1.2599511,3.5603342,1.6945938,0.6349048,1.0597616,0.5253,-0.3219185,-1.4700701,0.44854575,1.9798563,0.8883907,-0.1528757,0.7154173,0.4821474,3.4148002,0.48249814,1.7086084,1.9900091,0.44472072,-0.9567149,-0.52680993,1.2694,0.6399638,0.365197,0.5069932,-1.0048348,-0.92010075,0.6492618,0.18310142,0.98259693,0.7776475,0.92222875,3.1362581,0.21189117,2.370474,0.6688698,-1.0640869,0.47128975,2.6317804,0.7745279,1.1549188,1.5474236,2.414025,0.015209988,1.2169915,1.4649146,0.4433923,0.038280606,0.74746925,0.6439388,4.693,-0.43082634,3.5310063,1.4183968,0.4707805,-0.5238591,0.9332119,0.6952356,0.84385073,-0.10968405,-0.4165323,-1.0621278,3.696529,-0.42316613,0.24529277,-0.24315766,0.46503663,0.40041757,0.6486528,1.3839916,0.26689652,0.4680487,0.9662625,1.6007912,-0.44469866,-0.7948257,0.41464692,1.523222,-0.34374648,0.03577765,-0.2894507,0.37104687,-0.17064176,0.13016868,0.0032970216,0.08409345,-0.32230556,1.3302209,-0.6893117,2.0536995,2.2580595,4.4057493,1.4630721,1.3198822,-0.36260563,-0.17815012,0.4645179,-0.084034845,-0.0049357265,0.29790986,2.5242815,3.2795982,-4.048114,0.6303259,1.2362179,0.3262763,0.2879035,1.2121308,1.7287056,2.046863,1.5812864,0.84665954,1.1428307,-0.86978936,0.9169158,2.0541158,1.6175622,0.1503133,3.4158263,-1.1986246,-1.5774331,1.481999,4.8287754,0.26510203,-1.0627381,-0.26612312,0.57632303
10059,0.08865,-1.5377003,-0.30318403,0.08756344,-1.6053231,-3.8282335,-0.023592755,-0.5214855,0.49837187,0.17146564,-5.539395,-1.601409,-0.66601324,-0.7054684,-3.3020563,0.05374992,0.70321107,-3.9548726,0.24458966,-2.6548219,-4.6913824,-1.7480581,-0.29353583,1.6946993,0.29426876,-1.2436252,-1.6446836,1.4553001,1.769727,1.0648122,0.1369021,3.3150034,-2.975269,1.4801178,-0.12406835,-1.1276563,0.90755004,-2.0065699,0.2301946,-0.3008579,-0.045842394,0.2095331,-1.9860061,0.2723824,-1.5590813,0.04121414,-1.2134074,-0.111525655,-1.761269,-1.7898524,-1.7976553,-2.6580482,-0.37319085,-4.745371,-0.29700947,-0.03844908,-1.1573375,-2.8557537,-1.0096416,0.67619354,0.14935061,0.62516636,-0.8775362,-0.7981342,-0.5075,-0.3236196,-0.3537979,-3.0913985,-4.945227,-0.40492374,-0.5613112,0.0355559,-1.041126,0.012092739,-2.8507013,-4.5171986,-3.4550264,0.6894661,-1.0399022,-0.8140671,-1.9548258,-6.4147897,-0.72666264,-1.3085076,0.26135078,-0.09443119,0.14760283,0.7199092,-0.4359228,0.23475161,0.5363138,0.30315068,-1.9344774,-2.3994334,0.31533948,-2.9218082,-0.29214403,-3.259824,-1.7320709,-0.3143102,-0.12629879,0.21535441,-0.89707667,-0.19558972,0.12857096,1.0807418,-0.9189466,-3.0151656,0.65935254,0.9033042,0.6565134,-0.4942957,-0.70032084,-1.4976666,-0.14356676,-1.5454904,1.7080414,-0.20037195,-0.18788257,-3.6417365,-0.3036012,0.93177855,-3.8172514,-2.8995733,1.157208,0.00047659874,-2.4507275,-0.27561572,-0.28418258,0.027645767,2.5692048,-1.7726886,-3.4968994,0.33905402,-1.0608017,-0.077212855,-0.6366226,2.4511335,-1.0402074,-3.1742494,2.1965613,1.1585759,-3.8524399,-0.934491,-1.2040391,-2.8969042,-0.2802845,-1.1938083,-0.3750313
