,ST16924,ST17220,ST17263,ST17530,ST17584,ST17589,ST17700,ST17722,ST17802,ST17956,ST18022,ST18776,ST25585,ST25587,ST25588,ST25604,ST25612,ST25613,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25724,ST25727,ST25733,ST25735,ST25738,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25870,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25920,ST25938,ST25945,ST25947,ST25968,ST25998,ST26024,ST26044,ST26070,ST26090,ST26111,ST26112,ST26210,ST26237,ST26242,ST26267,ST26349,ST26374,ST26376,ST26528,ST26628,ST26673,ST26678,ST26737,ST26745,ST26764,ST27000,ST27049,ST27058,ST27087,ST27088,ST27219,ST27223,ST27280,ST27284,ST27399,ST27403,ST27522,ST27526,ST27540,ST27602,ST28012,ST28016,ST300,ST364,ST377,ST403,ST502,ST609,ST61,ST610,ST621,ST642,ST647,ST652,ST689,ST823,ST967
10007,-0.80574036,-0.10888828,0.3424667,0.9360708,1.760518,0.03449693,2.1481779,1.3990314,-1.2899156,2.3724093,0.498456,4.360064,-0.07900596,-1.474,2.5451665,3.7786074,3.57573,1.3601797,0.7196617,0.6547118,0.8222605,3.6026306,0.54861987,1.2303867,3.5556176,0.9213817,0.59282386,1.1417805,2.1791797,2.3902957,0.15634999,2.8640668,-0.7968777,-1.3399248,-1.479451,0.52445,-0.7180896,0.32903215,-0.19900043,3.0873888,1.793464,5.1492386,-0.5827017,0.5822549,0.35172266,1.6271651,2.3358402,0.3977114,1.8793105,1.2285627,-0.46181524,3.9877596,-0.02205944,3.7179468,1.2914734,1.8413371,3.7818325,2.4268827,-0.3956223,-1.8127649,-1.1995339,1.589941,3.5870974,2.7919683,2.2136626,-1.2281659,0.6924436,2.2123058,-0.16110587,-0.72810096,-1.6927056,-1.1708174,2.8870754,1.5926175,-0.18264894,0.17566764,0.2435819,4.1667523,-1.5214111,0.41359752,0.1713708,0.123375796,-0.27726176,-0.8041772,2.527131,2.368924,-0.28776115,2.1705673,2.979552,3.7122416,1.5727978,1.4805022,2.3960757,0.3569377,-0.018478032,-0.50818056,4.871703,0.33972,1.3319285,2.3978915,2.9090586,4.469655,1.4955077,0.62839025,3.475169,0.16138013,0.18319413,-0.27793133,0.7991174,-0.2873516,3.3240645
1001,0.6334704,-0.9529262,2.9495518,0.6872274,-0.11893508,-0.35054266,-0.8717251,-0.74962425,0.47001338,0.58762825,5.337718,0.2545475,-0.7140176,10.0,0.96101797,2.345398,1.7280484,5.283004,-0.10812014,3.5385027,5.751667,1.0500337,4.9099565,1.155621,2.539713,-0.32095605,-0.34877285,-0.013491355,2.2484677,0.35813648,3.7074502,0.21904941,0.2766326,0.20352207,0.24057858,0.70905,0.30826306,-0.38081792,-0.10632626,-0.022575155,0.978302,0.6785003,-0.64927983,0.22463554,0.23654062,-0.002417177,3.0153084,-0.73336643,-0.23264737,1.04931,1.0637395,0.22426535,0.24707673,0.9881514,0.52597725,-0.4058028,-0.34642258,-1.0280917,2.3796623,0.8719727,0.81083477,-0.011132762,0.98177326,8.472044,5.030338,0.5379617,0.34931362,-0.23223495,2.594769,-0.31241572,2.3041148,2.1389797,-0.13488856,-0.6844492,-0.20967539,-1.3851967,3.2791028,4.024486,1.9295086,-0.7513296,-0.3339032,-0.67762923,-1.45563,0.7565361,-0.03705658,0.22321163,-0.26702607,-1.0925039,0.62893426,-1.8596919,-0.8644953,-0.16280921,3.772678,0.5356452,-0.5535215,-0.6003256,-1.0655813,-0.57874256,-0.5525288,-0.24548243,3.41779,0.073229596,2.902114,-0.7550647,-0.8934171,0.08974685,-0.7314675,5.045424,-0.8616805,-0.2225017,0.22197697
10013,0.1944835,-0.6761812,0.23896183,0.8764411,0.22281757,-0.229636,-0.83922935,0.29851875,-0.35633767,-2.0723405,9.133428,-0.3570755,-0.94850373,10.0,-0.07859565,-1.8078711,2.6891832,3.8269758,-0.42925704,8.963128,7.8043647,1.7680823,6.833148,-1.2056153,1.5314194,-0.07070565,1.7352513,0.37507242,3.4465451,1.4153608,0.3357,0.7424263,1.3575873,0.14014691,0.21545818,3.0865,1.0052457,-0.3226113,-0.46924138,0.35159114,1.4767303,-0.7764134,-0.43097788,1.9215617,0.8538323,0.46385297,0.4149434,-2.4595087,2.4413373,1.2363372,-0.65639395,-1.0609665,-0.14425652,0.8080279,-1.9723088,1.1112363,0.8256773,-0.61134964,-0.3783066,1.1559731,1.7078247,1.094788,1.5302033,7.98658,8.6450815,-0.41130915,-0.5496921,1.9860355,1.9074271,0.28247792,-0.62517726,-1.3201311,-0.050692987,-0.261963,-0.79286957,-0.85444933,7.062358,-0.7778652,4.5548477,0.58126616,-0.11967006,-0.049242914,0.07423261,1.0905504,1.1370456,0.23947763,0.6616341,1.0461804,-2.4375768,-3.5630326,-0.11772734,0.7774939,0.48802617,-1.472015,-0.10013205,-0.37447047,-3.2063541,-0.17404763,1.9790897,0.6958725,2.0733595,0.6054571,-4.8593163,-1.0766531,0.19185653,-2.6512618,0.15837416,9.669369,1.1776465,-0.50838536,1.1292136
10038,1.0031686,1.8556687,0.5228949,-2.870359,-0.2213377,-0.12044997,-0.33786696,0.56604344,1.3538007,-2.362855,-5.4497166,-1.8957121,0.39296395,0.36089993,-4.0915465,-0.31502584,-1.1446776,1.0491415,-0.041277025,-6.0185018,-6.220533,-2.2949078,-9.179161,0.23142809,-3.352957,-2.3578415,-0.9579388,-3.367635,0.5795525,1.6361635,-0.4045,-4.2595453,-2.3561256,-2.2858348,-2.5260823,-2.1863,0.6469908,-3.1955082,-1.7014366,-0.55780053,-2.8942485,0.04252903,0.44047543,0.14096047,-0.3141087,-0.99298805,-0.7275808,-0.9677316,-5.2220297,-1.8201534,-3.773738,-3.3569305,0.28477103,-4.022272,0.27172545,0.3462304,-0.43636695,-3.0498867,0.3543389,-1.3512093,-4.163743,-1.762419,-3.1998508,-6.869953,-8.79522,1.4060435,0.16279197,0.13797069,-2.7138345,0.53525704,-2.382311,-2.938972,-0.4463525,-0.797514,1.3379574,0.08613165,-3.8468766,0.21126463,-5.766426,0.06073066,-0.18965967,-0.6548768,0.6731305,0.4633629,0.77296716,0.73007536,0.46822745,0.6739229,-0.9737786,-4.273457,-0.48468494,-0.26340497,0.089273036,-0.4750709,0.20469183,1.0083284,-2.8362737,0.36345264,-1.7301465,1.5110232,0.82612205,-3.9665356,-0.7196992,1.5117613,-3.255787,-2.799171,-0.26916623,-3.3319442,0.686841,-2.6139162,-0.49701753
10046,-0.74211913,-0.60734326,-0.44069815,0.3195929,-0.8323069,-0.21832044,-0.8449594,0.08782685,-0.30233237,-0.89123553,-0.009602174,-0.9167359,3.165238,1.5016,0.27179807,-0.002581194,0.8265704,0.6086662,-0.40974802,1.1033528,-0.011695579,0.062281802,0.5543519,-0.6536565,0.68486273,4.864285,1.0829848,0.28316054,-0.40862536,1.101621,1.3499999,-0.6662319,0.2974099,-0.30583212,0.11458154,-1.1536,0.6483049,0.018907193,0.6067854,0.0,1.0934379,2.8340108,0.14189196,0.26541352,-1.0851303,0.19553746,3.6703281,-0.42672867,0.98524797,-0.12874241,0.14394577,-1.1614895,0.46204397,-1.0831308,-0.30071592,-0.029539503,-0.61111486,-0.787567,0.69537956,-0.6205266,-1.0264397,2.1706128,0.9440072,3.4313695,2.3336825,-0.42205387,-0.76159084,-0.6501976,0.7446014,-0.27106956,-0.26649475,-0.38561714,-1.0029846,0.35011426,-0.017446056,-0.12615466,1.7449675,-0.41868067,0.8952936,-0.038314715,-0.4238798,-0.44927904,-0.52241933,-0.10571477,-1.1089821,-1.0203533,0.5517573,0.00082883984,2.1029534,4.205685,0.18680437,0.18739855,-0.14926066,-0.57096654,-0.23327678,0.47454485,1.7808163,3.0754414,-0.56750935,-0.067803144,-0.6636056,-0.5992423,-0.7722665,-0.2985956,-0.31318378,-0.33710855,-0.16622458,1.0259999,0.20417045,-0.2659578,-0.3831539
10049,1.0019239,-0.33833566,-0.79387194,5.557947,-0.79504156,-0.8220053,-0.37214833,-4.203065,1.3382823,1.1022391,2.0380833,1.9386988,0.7179052,8.6995,1.6471932,-3.9985616,-0.389737,2.6122484,-0.12104439,-0.05376464,1.0924598,1.5234549,2.6951401,0.63019294,5.4774466,2.614238,-0.0526482,-0.49092957,-2.4858904,-1.1741831,0.42435002,2.9727097,1.142926,1.6070457,0.61436063,3.7517,0.19627069,0.1668425,0.3660554,-0.28750905,2.424735,-2.3772154,0.37095195,0.3357212,-1.110175,-0.13704437,1.5899531,-0.7766577,1.0139439,2.0381343,-1.8123901,0.36968127,-0.8036331,1.5006675,0.25282228,-1.5329506,0.7324956,2.1398432,0.0067933574,0.24710572,0.705871,-0.72887,1.0159314,7.3131347,6.924417,2.2335954,-1.275918,-3.355376,3.3498936,-0.4232468,6.661485,7.0215383,-2.5690513,-0.4844979,-1.0349691,-0.8712193,1.2881157,0.73713756,1.8865721,-0.4049884,-0.39169106,-0.9112205,-0.13170472,0.03466893,-6.7737503,-3.3909683,-0.08636319,-1.2121751,4.1839924,2.284311,-3.8646665,-0.055909365,-1.109534,-0.8988844,-0.6768463,0.15396751,2.763955,-1.0707769,-1.7447996,-1.74849,1.6283057,1.9199802,2.0395088,-0.7465459,1.5270795,5.9062076,0.25027975,2.1699922,-1.1042821,0.8107784,0.012942895
10051,0.8644689,0.19036853,0.11286852,-3.3430266,0.09240668,-0.19232175,-1.40383,-0.0019238144,1.2280313,-3.1340544,-7.678722,-3.8186193,0.081257515,-5.42605,-5.758031,0.0603797,-3.1775851,-2.5866165,0.3814897,-6.4606743,-6.535221,-6.7163377,-7.6394033,-1.2604994,-4.1161337,-1.8098378,0.084475845,0.06423376,-0.4679611,-3.1191506,0.11895,-4.023954,-4.379067,-4.330611,-6.0367255,-0.0061999997,1.9302804,-5.0268493,-2.631133,-2.2135296,-2.8279135,-2.6551714,-0.35277537,-0.13172305,-0.14476168,-0.30040932,-5.012417,-4.322099,-8.488679,-7.8381824,-7.7616,-2.6198132,0.6608902,-4.212423,-0.655222,-0.14863425,-4.2372584,-1.9578797,0.094703384,-1.0803869,-0.38956803,-3.6175091,-2.7020972,-1.5123049,-2.473009,0.7819227,-0.50329745,-4.610975,-5.239451,0.7101804,-2.995059,-3.7368877,-0.9596745,-0.4884861,0.7645656,0.26053846,-4.845193,-8.061905,-3.84337,0.68137735,-0.37843806,-0.18118891,0.7407372,0.1745528,-1.6930045,-3.0614448,1.1184952,0.1591331,2.7073817,1.7127204,-0.074318126,-0.51647395,-0.049554266,-0.8287513,0.18570065,0.9382353,1.7434976,0.21026854,-2.5946512,-0.21225892,-5.983055,-4.124157,-6.023138,-0.121186584,-4.002205,-5.2864733,-0.0110808015,-3.7422256,0.048178993,-0.41777256,0.37571338
10057,-0.19764988,-0.4833267,-0.4378283,0.22302088,0.2596682,-0.9170722,-0.77815676,-0.009388804,0.372186,0.3319702,1.887815,1.4020194,-1.0277762,-3.1603498,3.1835022,-0.73118126,-1.3730414,-4.4196053,1.4732413,4.393702,-1.0627705,0.7141906,3.8391063,0.22623119,1.0168633,3.636074,2.899629,0.52635527,1.4265448,-0.891786,0.51265,0.8525828,0.38905486,-0.65109086,-1.0759444,0.51905,0.19117361,-1.1154945,-0.990467,1.3554984,3.9010558,7.1637683,-1.7190969,-0.5991973,0.4180405,0.9321472,1.7253375,-2.126564,0.19128269,0.9201869,-0.7125777,3.3338778,0.86505616,6.903388,0.31635162,1.4111115,-0.113585554,6.2440743,-0.47377872,0.57068276,1.8352164,1.2816689,6.09071,-4.478286,-4.872735,0.07445955,0.019407302,1.1931955,0.8989246,-0.794888,2.4273355,2.097817,1.237574,0.36328962,0.56669974,0.14660192,2.0545938,3.2916276,2.588175,1.2930362,-0.6629603,-0.12727404,-0.5425929,-0.41617382,-0.9223737,0.3973862,3.1940708,0.97542167,-4.4320264,0.38026977,0.6364885,0.3629493,0.68846965,0.30774206,3.2837644,-0.4351707,-4.5593395,0.097998366,0.63110685,0.32041687,-3.3948696,1.3027138,-1.2155708,0.66572714,1.6796503,1.1655844,0.15919745,2.124851,1.42665,-0.5884379,4.822557
10058,0.065837935,1.7860734,0.18201618,-2.652649,-0.7927574,-0.102439165,4.089492,-0.38541532,-0.77415776,0.6878039,5.123562,-0.19398434,-0.079006135,2.20205,-1.1994251,-2.9928894,1.5529568,8.602053,0.23155381,4.171216,2.6235833,2.084752,4.3434134,0.24029374,-1.8604662,-0.748787,-0.75331146,-1.0087494,-0.35632825,4.3703527,-0.61660004,5.5778184,2.6616068,2.7428246,3.7497878,-1.2988,-2.4603825,2.8909638,2.4332004,0.4353512,1.4273198,0.1670604,-0.15718584,-0.43581924,-0.7701637,-0.81599796,2.2207425,0.3612093,0.2995049,0.32659715,1.1689171,-1.2376914,-2.2144876,-0.36287516,0.7929144,0.35562357,2.7812328,-1.0305555,-0.44172645,-0.19950625,-0.43102506,1.1647503,-1.053606,-1.166895,0.23326528,-1.096135,-0.36298314,2.3594747,-0.19742483,-0.26459402,-0.95872986,-0.11740806,-0.21519563,-0.4894225,-0.40391034,0.9866562,6.8419285,3.4181337,2.7153513,-0.32112253,0.78520834,-0.021088362,0.84390646,0.8102932,0.4583743,0.9938308,-0.6126714,-0.9788437,3.9737983,-0.123436995,-0.6657192,-0.6613197,-1.1838673,2.020704,0.5032133,-0.90134096,2.0854301,-1.0154712,2.6219134,-0.30601072,0.033459287,4.231799,7.5001206,0.40688312,-1.5651767,3.5901084,-1.3706037,2.9922962,-0.43705282,0.373196,-1.9203329
10059,0.35193783,0.5034171,0.15646675,-1.2936492,0.33524644,-0.070421875,0.3021105,0.76287544,1.3075011,-0.11652091,-4.027053,-0.08612676,-0.1077987,-6.7136,-1.971217,0.52325326,-0.77894646,-4.3043256,0.1283143,-3.3203387,-2.8915172,-0.05227305,-3.9949045,-0.050468326,-0.7820882,-1.2008476,0.8968493,0.96012753,-0.22896872,-1.6388823,-0.65185,-0.93658525,-0.53766376,0.40915662,-1.4827083,0.2268,-1.3270402,0.08070083,-3.3471544,-0.7601593,-1.1910336,-0.5002833,0.069756985,-1.7680805,-1.2004828,-0.6484761,-0.47544658,0.8247675,-2.6317444,-2.9760308,-2.397832,-0.058288053,-1.7785794,-0.6594749,-0.3975449,-0.13807312,-0.21600235,-0.3779836,0.34008723,-0.8528727,-1.3439386,-0.5434128,-1.1108768,-3.1757073,-3.4703777,0.51962894,0.6340812,0.35739997,-0.946811,0.6588036,2.6153889,2.097442,-0.3179589,-0.0028836876,0.9364537,0.27857155,-5.200762,-3.4084353,-3.4754884,0.6659602,-0.53778017,-3.448077,0.9271456,-0.6104933,-0.46264553,0.24991357,0.031320915,-1.4185143,-2.6663098,-1.7923242,0.38762426,-0.7131066,-0.6681819,0.3939885,0.09297323,0.046242185,-1.5802283,0.5816074,-1.5612949,0.016385227,0.20964551,-1.355726,0.1844732,1.3888192,-0.5589582,1.8369421,-0.8124483,-2.5065238,-0.5586232,0.5637491,-1.3811612
