,ST16924,ST17220,ST17530,ST17589,ST17626,ST17700,ST17802,ST17956,ST18022,ST18776,ST25585,ST25588,ST25604,ST25612,ST25613,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25724,ST25727,ST25733,ST25735,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25870,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25920,ST25938,ST25945,ST25947,ST25956,ST25968,ST25998,ST26024,ST26044,ST26090,ST26111,ST26112,ST26210,ST26237,ST26242,ST26349,ST26374,ST26376,ST26526,ST26528,ST26628,ST26673,ST26678,ST26745,ST26764,ST26988,ST26992,ST27049,ST27058,ST27219,ST27223,ST27280,ST27284,ST27403,ST27494,ST27522,ST27526,ST27540,ST27602,ST28016,ST364,ST377,ST403,ST609,ST61,ST610,ST621,ST647,ST652,ST689,ST823,ST967
10007,-3.620153,-0.11061406,0.70794845,0.18030345,0.35643458,-1.367402,-3.934392,-2.344418,-0.60500276,0.596615,1.4138286,4.3679323,0.5494665,3.1729267,-5.6579504,0.29265386,0.34520704,0.7423604,2.4947655,0.050441146,0.6646428,1.189959,2.1601887,-0.18839814,0.70673776,2.3270183,1.1760719,1.4593455,-0.6876902,0.26624298,-0.28344417,-0.2279654,-1.8298283,0.34003824,0.29924208,0.33479798,0.17981943,5.3834567,0.51520985,2.1715837,2.7390742,3.5965707,3.8585958,0.2979316,-1.5208309,-4.542118,-3.8039196,3.2068856,-0.67431915,-1.2064241,2.1544175,-2.145186,2.2327476,0.37040478,0.52085996,0.03567607,-0.6595252,0.5643191,1.6719955,-1.6750313,-1.0446709,-2.4981313,0.36802703,0.04497534,0.64695096,-6.877632,-7.0087614,0.17301902,0.18496367,1.1155634,-0.012208849,0.8001938,3.1806073,-7.9350085,0.3372418,-1.9545968,-0.024977788,0.79409647,-0.555088,-0.4749899,-0.7640655,0.15165,3.8460002,0.14426863,1.200312,2.8226373,1.679669,-1.4821104,-0.44767642,-0.019434422,-1.3842907,1.6514711,-0.45216364,0.21414791,1.4025888,3.8218107,0.3612086,-1.1468,1.5593436,-3.0321767,1.7787486
1001,3.3794491,1.5136361,0.08306661,-0.5674648,-0.59610546,0.07698159,0.33915734,0.509344,0.11396122,0.1695125,-0.28233773,-0.75497514,0.18878725,-0.6763115,7.5895,0.93977034,5.265354,2.282495,0.04707986,2.7139747,0.4418382,0.9264469,-0.4056931,-0.45528716,-0.23299211,-0.40782365,0.08500302,1.8996028,0.93533075,1.4703336,0.2106854,0.7500213,-0.43639553,1.1606228,-0.53302383,-0.60298264,-0.8606859,1.1524148,-0.34648,0.15957326,-0.61768985,-0.21820667,3.0331862,2.2742279,2.5678065,1.3573799,2.6725063,0.08557785,-0.0059557073,-0.8086976,0.4079099,-0.9857484,-0.43112993,1.9872233,-0.5195741,0.5548884,0.65507317,-0.49348336,-0.5141888,1.6293017,1.5214996,1.0459366,0.09970015,0.11819869,-0.2521438,3.203948,2.685897,-0.3839457,-1.050112,-0.57531327,-0.2320565,-0.35114768,1.935491,4.7258215,-0.44833797,0.765344,-0.273841,-0.5716769,0.9943433,1.1561507,-0.15807149,-0.14945,2.6595001,-0.17411545,1.5235535,-0.4068021,0.46732658,0.8577435,0.8096632,-0.43302298,1.864324,0.17265658,-0.25719532,-1.3077936,0.61881304,0.7786252,-0.5589522,5.69315,-0.9768742,0.7191127,-0.75048774
10013,-0.56055605,-1.8292491,0.36547208,-0.1612948,-0.24064244,-1.5985689,0.058792263,-1.5127937,3.4170308,1.4152812,-1.0730367,1.0104532,4.08022,3.9663274,1.6336501,-0.39675605,5.0393004,-1.0296478,0.48804903,2.8003297,-0.5094063,3.7364805,0.6563246,-0.53052783,2.532862,-0.52934974,1.2155674,0.703647,1.9682502,2.3692575,2.2249353,3.1799011,2.9675717,4.2485843,-0.7917637,0.11161891,2.3278804,0.8900159,1.3894646,1.0122974,2.0432248,0.3075368,5.381472,-0.6350919,1.5953054,4.4170065,3.1512604,3.7887425,4.2628846,3.0299451,-1.84566,0.21050303,-1.4707279,0.78291476,4.5935574,-1.7746332,0.57957524,0.030432282,1.4781634,0.0044059306,-0.7279671,0.09190139,0.02524729,0.5111544,-0.48910862,0.8896972,0.34218863,-0.014826581,-0.34852523,0.26011,-1.0942713,0.96555674,0.06509769,2.9192908,-0.63004607,-0.09657282,-0.78847295,-0.4195279,0.12811673,-0.6954229,0.13472177,0.0066,-0.4105,0.036074623,-0.444043,0.22257003,0.056780763,0.054215476,-0.26460838,-0.290447,0.90526867,-0.46926665,0.5040803,-0.4005156,-0.89013565,5.1510634,-1.2138736,4.98585,0.04438126,1.7966945,2.8944802
10038,-1.7299803,0.075277805,-1.434845,0.16840069,0.85733306,1.7545534,-0.47218078,-2.6018078,-10.0,-1.923531,0.97783685,-4.1288376,-3.9850426,-6.3498983,-1.13595,-0.48426932,-9.216863,-2.8701959,-0.105425,-10.0,-0.36099845,-1.2087703,-0.61533237,-2.5905252,-0.20427227,-0.08788077,-0.11592567,0.32066637,-1.9052676,-0.34167528,-1.0908083,-7.223758,-0.9858453,-3.188673,0.9627542,-0.1761033,-1.1953385,-1.0821917,-0.3727653,0.5996462,0.087960064,-1.3835185,-0.75843376,-1.768255,-8.944844,-6.2562633,-8.14261,-5.789027,-2.2357984,-3.3205,-1.0821993,-0.84355277,-0.08281402,0.3143694,-4.4158735,-2.0338857,-1.073597,0.26566443,-1.8941678,-1.5631311,-1.2221991,-0.19637723,0.53445107,-0.28671688,0.7698687,-5.890833,-6.4557347,-0.08728105,-0.052415177,-0.5310481,0.71469617,0.59309465,1.7693901,-9.44306,0.13743405,1.1008883,-0.45102876,0.2818174,0.13380474,-0.97686106,0.012326494,0.19305,2.034,0.38737714,-1.5996118,-0.09081249,-0.2357284,-0.7233465,-0.27178428,0.27810097,3.7283819,0.77174413,0.2313759,0.2892179,1.5192623,-5.0852036,1.35508,-8.38385,0.5784161,-1.612872,-1.9562277
10046,0.57889414,-0.45195684,0.8915644,-0.9140557,-0.2489697,-0.71163327,0.23561269,1.3029807,6.1454563,0.07988475,-0.04785366,-0.506262,-0.25833422,-0.04269182,3.24535,-0.7550019,7.1260004,1.4660633,-0.53340507,4.659024,-0.098819695,0.6251468,0.64468646,0.09909004,-1.0063924,-0.088501565,1.3899264,-0.06311868,-1.2453108,-2.3478205,-0.9495888,-1.1651589,-0.030627517,0.06547287,2.667558,2.0686197,-2.0535765,0.7171917,-0.3718448,0.16347393,-0.98507524,-0.21017647,1.8634251,1.8188155,1.6871823,3.3636124,2.7890432,-1.2754585,-0.02273801,-0.54675305,-0.37746453,0.22507012,-0.64501876,0.25068125,-0.06897339,0.73911464,-1.117655,0.17927307,-0.22303757,2.056929,1.7630143,1.231202,-0.14180276,0.0066889226,0.00057174265,2.651881,2.9955554,-0.020465836,-0.26544523,-0.84826076,-0.77674633,0.2929298,0.6934318,8.733186,-0.09783217,-0.93402445,0.27036163,-0.23771034,0.2952575,-0.57010144,-0.110809594,-0.2796,2.4139,1.7951689,-0.74345094,0.9566514,0.5919433,-0.5177775,0.15590164,0.5839249,-0.5833271,1.4948136,0.35143596,0.5561646,1.8857055,0.43453005,-0.5742701,8.44965,0.34641305,0.22144897,-0.5467665
10049,1.1891186,-1.3226895,2.7655034,-0.18848063,0.29648897,-2.8106627,2.3211534,1.231354,2.008629,2.2689712,-0.099410616,0.28413823,2.7493403,0.15929624,2.0384,-0.3629768,-0.6390631,-0.5226569,-0.07123709,1.2197511,1.6541294,2.7984605,-0.20240937,-0.2424635,-0.05462344,-1.028136,0.76026636,-1.1907883,0.44748583,0.0105570555,-0.35637295,0.9215448,1.0542309,-0.916883,-0.26092207,-0.6810592,-0.21937606,-0.9399617,0.6907915,0.09058391,-0.86985445,1.176357,0.41706565,-0.24595466,-0.093058944,-0.49877995,0.8035222,0.9595809,0.8254343,0.48574442,0.18728262,-0.52903146,-0.15607964,-0.085612044,1.2009408,-0.23655245,-0.43338704,-1.0284878,0.711704,-2.895587,-2.0358753,1.690207,-0.34478948,-0.68504596,-0.023091733,0.98646367,1.35377,1.0136478,0.21352203,-0.20962274,-0.22094549,0.5112153,-2.6386263,0.066384315,-0.9910786,-0.4036164,-0.9260987,0.42061993,-0.7417269,0.21006323,-0.22676988,-0.73545,0.9453,-0.12323451,0.69971085,0.67175424,-1.2130255,0.4298981,-0.2849736,-0.71587855,-5.5575485,-0.20760435,-0.582722,-1.1772233,0.5923461,0.83020115,-1.1910691,-1.06955,-0.26000142,0.7858655,1.4555497
10051,-0.85311794,-2.1361241,-0.8627279,-0.09432638,0.43975097,-2.0595992,-0.032763705,-0.96900785,-10.0,-0.7828833,0.37486053,-4.627249,-3.8454194,-8.030489,-5.69935,0.5319587,-9.736206,-9.154714,-2.6814756,-10.0,-2.360995,-1.4428763,0.4445302,-2.3221302,0.31901067,0.36641276,-0.28610325,0.37183648,-2.5267324,-0.96307683,-2.1067092,-0.8662806,-0.50974107,-4.0775867,-0.06541296,0.28512418,0.0041238517,-5.3540792,-0.44517866,-0.01943168,-0.115287244,-0.6716419,-4.3416076,-2.4051926,-9.242374,-9.334045,-8.380387,-6.2100253,-3.0889199,-5.2506967,-2.4862733,-0.46841362,-0.6267506,0.71454006,-4.395507,-0.12688011,-0.28890404,0.14521429,0.21271737,-0.7123379,0.15157944,0.00894687,0.87157464,0.039577685,0.47658178,-3.9277277,-4.450858,0.6616031,0.575011,0.2303003,-0.30479544,0.67416,-7.668151,-6.7766256,-0.011404663,0.17483956,0.1852715,0.12781464,0.011056744,-0.23374695,0.64579797,0.3496,3.8484,0.28220564,0.09182158,-0.26856458,-0.039626252,-1.0744648,0.123247445,0.4206554,-2.177649,-0.32818705,0.23426537,0.33638483,-0.14215074,-4.77155,-2.035316,-10.0,1.10462,-1.880789,-0.056451686
10057,-1.3722646,1.6942211,3.4761233,0.4540988,2.8933284,-0.2827146,0.70752406,-1.8372188,2.3843517,3.9886956,0.33576703,-0.89465475,-0.5255613,-1.2927499,-0.05115,0.7009089,3.9152489,-0.08452588,0.92506564,1.7687902,1.5036944,4.1187086,2.2996876,0.13399646,-0.11173836,0.516026,0.37154734,0.021301046,0.24739698,-0.34820893,0.36142015,5.04548,0.30113542,-0.12410481,0.26047936,-0.7094008,-0.9306784,0.5288215,-1.2764053,0.62085986,-0.7100355,-1.2117825,1.0195932,0.25729677,3.2961564,3.6387422,-0.7171434,-0.6695805,0.10456543,-0.7897849,-0.2809778,0.8515525,-0.18424201,-0.57216746,-0.644597,0.8439735,0.0025710762,0.076525,0.1622178,-1.6433058,-1.0359085,1.3687127,-0.0030121803,0.09527962,-0.63089406,2.658103,2.7160635,-0.8326947,-0.095377535,-1.0564855,1.731703,-0.46766385,0.86481154,2.6224945,-1.7872806,-0.17358361,-0.84761727,-0.0044727325,-1.2299005,-0.5126371,0.2064488,0.1312,-4.7852,0.5711349,3.2108803,0.2721791,-0.12810329,0.8374241,0.993766,0.21821311,1.9581301,0.7508316,-0.7012106,0.8253597,0.4847321,-0.48239034,2.3729444,4.9443,0.5565071,-0.37799639,0.5549488
10058,-2.6354403,-1.3788981,0.19214915,0.22782612,-0.6369154,-0.97048116,-3.7847297,-0.82116866,-2.2769158,0.5513411,-1.7360265,-0.9847613,-0.8937448,-1.6021671,-0.1385,1.4226625,-3.5728502,-4.65582,0.6774481,-0.7492326,0.29244018,0.48352063,1.594425,1.0666431,-0.19732921,-1.0896624,0.47089404,0.06476523,3.1527395,2.3728633,2.0252774,2.0372903,-0.27745262,1.2429597,0.45496833,-0.008324146,0.9705867,-2.0298834,0.13968888,0.06348787,0.46015602,-0.41895604,-2.932926,-3.068933,-0.058411364,-2.7657566,-3.0106277,-1.8928773,-1.3315313,-1.7044014,-0.38218948,0.3534948,0.69810694,0.3149584,0.21568951,-0.09665109,1.3204477,-0.99702805,1.1896672,-2.6717947,-2.5170674,-3.832483,0.012052491,-0.6641271,0.5276916,-3.939437,-2.8470125,0.57216734,0.02679573,0.5615362,0.29176217,0.46405056,-2.6631758,-2.3651466,-1.533874,0.2739501,0.20825373,0.45376268,-0.32144833,-0.4179569,0.67517376,0.1807,-7.80925,-0.015751876,-0.09497681,0.08769388,0.3903787,-0.3147282,-0.40475497,-0.96333486,0.2714241,-3.8348022,-0.526644,0.7166282,-3.701056,-3.1261284,0.06198328,-0.39795,0.28348127,-4.532967,-1.2500885
10059,-3.840629,0.39641076,-1.5702672,-0.33861172,-0.48442706,0.5343161,-6.0697975,1.6523312,-5.553031,-2.0950997,-0.07420275,-3.9575884,-2.260068,-2.8845353,-3.7481,0.10179946,-6.615073,-7.5256276,-1.5964742,-2.9433408,-0.70264536,-1.9382868,-1.2398486,-2.958603,-0.14486715,0.3247497,-0.21277164,0.40350747,1.2104275,1.3227088,-2.6095142,-0.3556223,-0.24304709,-3.0071769,0.32317373,-1.8606473,-2.0666614,0.11336711,0.36909267,0.76209146,-0.22298801,-0.33456197,-3.4825404,-0.8827628,3.5978549,0.28648067,0.5798581,-1.4112012,-0.87192285,-4.0201445,-1.0576868,-0.13677691,0.5548047,-0.5353394,-1.9246883,1.425744,-0.40607303,0.93882936,-1.3856397,-0.6950835,0.04732503,-4.141012,0.7217516,-0.053386513,-0.12496532,4.017129,3.1630082,0.66897607,-0.51732785,-0.06508885,0.61996156,-0.18536174,-7.0731792,-8.473717,0.22356142,0.312084,-0.022062708,0.38955808,0.756683,0.2573292,0.505494,0.1214,-5.08915,0.23587763,-0.08965513,0.21915703,0.46837777,-0.010972336,-0.16667502,0.029935867,-0.705184,-5.4000177,0.06568994,0.15819956,-7.3671904,-1.8125788,0.37867987,-9.61185,0.11147388,-3.438221,-0.18510187
