,ST16924,ST17220,ST17263,ST17530,ST17584,ST17626,ST17700,ST17722,ST17802,ST17956,ST18022,ST18776,ST25585,ST25588,ST25604,ST25612,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25724,ST25727,ST25733,ST25735,ST25738,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25938,ST25945,ST25947,ST25956,ST25968,ST25998,ST26024,ST26044,ST26070,ST26090,ST26111,ST26112,ST26210,ST26237,ST26242,ST26349,ST26374,ST26376,ST26528,ST26673,ST26678,ST26737,ST26745,ST26764,ST26992,ST27049,ST27088,ST27219,ST27223,ST27243,ST27284,ST27341,ST27403,ST27522,ST27526,ST27540,ST27602,ST364,ST377,ST502,ST609,ST61,ST610,ST621,ST642,ST647,ST652,ST689,ST823,ST967
10007,-3.0027087,0.07833019,0.5828978,0.5139966,1.7194147,0.049167946,-0.60181606,-0.89849687,-4.236188,-1.8247808,-7.3657,1.7083281,1.3990417,4.665096,0.5857478,5.195667,1.3041,-1.3922514,-1.3885415,2.9523687,-1.4717752,0.65674543,1.6534725,0.59398395,-0.07715416,1.071229,1.9488195,1.2715458,1.0417,0.64499456,-0.5208031,-0.4071141,-1.2755909,0.9217533,-1.9989411,1.1816072,0.3300746,0.8907979,-0.7107266,9.399123,0.8572264,1.9850264,4.0792346,5.092259,1.4062276,0.46309268,-2.8186688,-3.5000186,3.6655774,-0.3806173,1.4975234,-0.85065925,2.4306803,0.51793355,-1.2065738,1.2326224,-0.90794384,-0.63747334,0.22355872,0.73310435,-0.77715003,0.2208414,-3.2120113,0.82140195,0.72846496,-0.07775252,-0.5725486,0.2369,0.039814785,-0.63743925,0.04138924,-2.50145,5.106077,-2.803776,0.10910688,-0.248532,-0.22275996,-0.18192825,-0.15140036,0.0079,1.3515673,-0.7309669,6.37891,2.8500178,2.5592084,1.8891275,-0.6365756,-0.1944,-0.81305516,-1.1982212,0.79866457,0.93133575,1.4451139,4.1586843,0.042797893,0.7439976,-2.0474,1.573102,-1.50735,0.9367708
1001,-0.18772657,-0.056659997,-0.23429208,0.026954181,-0.16809681,0.15806344,0.9102248,0.0528405,-0.08350564,0.47861636,-2.90275,-0.5646023,-0.38916868,-0.3448717,-1.383795,-0.43061477,-0.3948482,0.9210587,1.2324301,1.5556037,0.80228174,1.060767,0.69910955,-1.8010185,-1.912401,-0.5503927,0.105143085,-2.1898677,0.10675,0.58963597,1.3551002,0.7642412,0.93461716,-0.9479246,-1.1825395,1.625568,-0.33510107,0.22576264,-0.03866312,-2.8854456,-2.2271323,0.315766,-0.013250828,-0.07482697,-0.016812598,-0.77996147,-2.012966,-2.552008,0.11473751,-0.51573974,-0.6692667,-2.1473258,-0.5874967,0.26175028,0.800712,-1.0584073,0.28152174,0.2443289,-0.15515393,0.6160989,-1.3525,-2.1238973,-0.42348576,-0.15259807,0.13093343,0.25719473,-0.3225478,-0.93263745,-2.0901897,0.8110666,0.07978362,2.68995,-0.3335827,1.1657163,-1.0540003,0.3773899,-0.69762146,0.5019797,0.0692288,1.0106499,-0.009418204,0.29389465,-2.6213255,0.6384272,-0.25543094,-0.32870933,-0.20581087,0.4643,-0.24393207,-0.5417688,0.37921244,-0.9014667,-1.3593389,-1.6151124,-1.7215917,0.51288086,0.6572,-0.054193288,0.2282,-1.5690871
10013,1.3310924,-1.3494164,-0.41544068,0.7045631,-0.069378614,-0.036223598,0.00057639927,-0.59165144,-0.4229536,-0.53273344,1.4342,2.346558,-1.2503598,1.2271056,1.6862164,5.566863,0.8083447,3.65484,0.37850726,0.7771791,-0.067931704,-1.53814,3.6100063,0.6585799,2.6603956,-0.43910435,0.93675995,1.697089,1.0349,-0.9464966,4.5588727,1.2358068,4.6790833,3.3157935,1.7000015,4.318104,0.59377027,1.0429517,1.0583017,3.090299,2.246182,1.6854553,1.7147051,3.0561478,-1.1597518,0.64683485,4.8156667,3.1489608,4.5355635,2.6669896,-1.0300194,-0.1853362,-1.3987786,0.74701554,3.6868382,-0.7219281,1.4976541,0.655656,-0.055968583,1.0679104,0.28654993,-0.9422114,-0.4512915,-1.1798899,-0.95929766,-0.1804548,1.9105283,1.4428225,0.28555238,-1.2904489,0.4528005,3.47535,1.4580072,1.5362521,0.06272699,0.22090977,0.47046176,0.26087826,0.24485298,0.21914999,0.34965864,0.81269073,2.1049247,-0.1497458,0.91063905,0.35504094,-0.27436057,-0.42014998,2.5855114,-0.05369672,-0.0769881,-1.1765934,-0.5204906,3.479667,-0.03004855,-0.910488,3.1384501,-0.18033196,0.14235,2.5072336
10038,-0.47488058,-0.13716862,0.85382366,-2.6108537,0.2672937,0.6582841,1.0571722,-0.13075136,-0.9693185,-2.617316,-8.74325,-3.4923794,0.75848925,-2.6254292,-4.383326,-4.3815174,-0.2239055,-8.1592045,-5.2964854,-3.6319017,-9.760835,-0.8428809,-3.8939428,-0.27954453,-2.1462762,0.23556262,-1.041547,0.242083,-0.11604999,-1.8549633,-2.9910252,-1.8344263,-2.4660635,-5.938533,-0.9981854,-2.0453022,-0.17599902,0.09413009,-1.0488639,-0.5246769,-0.7123014,-0.6353662,-1.2495353,-1.684189,-0.56632215,-5.9882627,-3.0993676,-4.43263,-3.9121761,-4.2277193,-1.4303026,-0.37282896,-0.82342875,0.6507016,-3.683724,-0.6721319,-0.009341802,0.1366981,-0.0044775084,-1.4665298,0.1707,1.4176204,-0.22276765,-0.187136,0.5645566,1.6875956,-2.5759926,-2.5244045,-0.9451834,0.12016143,-0.22569813,-7.8865,0.35830945,-8.329249,0.8992961,0.74273473,0.6827002,0.802004,0.12068018,0.59999996,0.59446347,-0.22127604,0.4043439,-1.047516,-0.4944394,-0.14666088,-0.38764396,0.4956,2.7309241,-0.6059099,-2.0470314,0.535163,0.0884598,-4.9973664,-2.3357315,-0.781895,-7.9146,-0.059782166,-0.27915,-0.886863
10046,0.658472,-0.24373734,-0.23517025,-1.1238952,-0.23482399,-0.51850104,-0.46943766,1.3420336,1.4947639,0.9481845,6.7744503,-0.88130075,2.2029116,1.2911698,1.7701218,0.6922023,-1.2874341,7.4285407,3.982472,0.8625128,3.4853559,0.13618425,-1.0792124,-0.4032128,0.627779,-0.29174542,-0.29355466,0.54758114,0.5806,-1.1499655,-0.6584996,-0.3020471,-0.32691693,0.3991602,0.21425611,0.92728966,-1.2366309,0.06715212,-0.24279445,0.77263284,0.40972775,-0.066596895,-0.14162639,0.12854946,0.5644153,0.7706037,1.2075856,0.5769343,0.067036,0.36023897,0.06129821,-0.750602,0.7214239,2.495089,-1.305825,3.0033088,-0.3052681,-0.17525071,-0.24931175,-0.8528429,0.8654,1.7805682,0.49505344,0.3369905,-0.6210209,-0.22883996,2.4389699,2.6022534,-0.017130643,4.122328,0.40541106,6.2799,1.2117293,5.2966824,-0.33387756,-0.41049236,-0.5876537,-0.015365541,-0.3432701,0.46754998,-0.5749776,-0.584857,1.4726835,1.1229742,-0.39605463,-0.7539742,-0.43761185,0.56445,0.09369168,1.2949984,-0.9101821,0.44430757,0.05550748,0.36699098,0.7639495,-0.41660398,5.9389496,-0.83575284,1.1165,0.39910713
10049,-0.65980494,-0.6363238,-0.5087391,-0.95446104,-0.6440352,-4.0099483,-0.27367005,-5.9952273,0.8999048,1.058734,2.9953,-0.028719664,-0.32583255,0.46417508,1.4943379,1.2944521,-0.50007164,0.8666562,-1.4953158,0.7544276,1.818733,0.16236268,3.071805,-2.7483802,2.1111417,-0.62550795,-1.7628633,0.9606311,-0.72415,-0.04843712,1.3086643,1.4731162,1.1589681,2.3960557,-1.272686,-0.12866566,-1.9338677,-0.022102103,-3.9219897,-0.06537038,1.470999,-2.0655112,-0.47082537,0.31870782,-0.6995019,0.9774457,1.5653286,1.900455,0.029718533,-0.2939498,0.5585258,0.09247598,-0.7481125,-2.3263748,1.771847,-1.5439472,-2.4936805,-0.85591173,0.4657171,-0.74449635,-0.70725,-1.0032783,-0.10859525,-2.4073536,-0.07214272,0.11609755,2.1660724,2.7486725,-1.3779317,-0.63247836,0.71018785,2.32425,-2.0912771,0.19414738,-3.0545914,0.35641235,0.12983225,-0.63217795,-0.316636,-0.28530002,-0.22959131,0.70492136,-1.0291057,-1.049104,-1.3606158,0.19536889,0.6005144,-1.15875,-2.879741,0.9727349,-0.81277996,-0.5246583,-2.1132464,-0.044553995,3.472604,-3.163455,1.5876,0.5134268,-2.8485498,-3.0989234
10051,-1.1831146,-2.0234094,-0.34905195,-2.5070949,-1.6526759,0.33244058,-1.65985,-0.7066091,-1.1236539,-0.78842276,-7.9392,-2.507739,-1.0429726,-4.3824186,-4.0880966,-4.8502045,0.04357203,-7.6135206,-9.342546,-5.6786666,-8.439012,-3.0606794,-2.944161,0.029807165,-2.1576312,-0.9242792,-0.4046671,-1.7977014,-0.0055500045,-0.096271366,-2.6818337,-1.8904519,-5.069422,0.81782687,0.2120499,-3.0562901,-0.28386122,-1.4282484,0.31179708,-3.6933806,-1.9378247,-0.493325,-0.4191113,-1.276876,-0.12256181,-5.1060195,-3.9126787,-4.1911798,-2.2362127,-2.5672317,-3.208167,-0.21742433,-1.9377146,0.13816655,-3.9155238,0.07683771,-0.77281195,0.27922276,-0.21675643,-2.0118425,-0.24669999,-0.15948284,0.08503553,-0.031020187,0.5408512,0.1735309,-3.018529,-3.551425,0.5312143,-0.7901211,0.016189039,-7.3493,-7.2602444,-5.163551,0.11530828,0.3745154,0.17504369,-0.77459455,-0.5152509,-2.2352998,0.18046528,-0.32744393,3.792276,0.13717815,-0.12798679,0.64327174,-1.0713382,0.68205,-2.786729,-0.53846174,-0.24095714,-0.11016372,-0.29336938,-3.4454536,-3.6943622,-1.3948984,-8.14775,0.2649107,-0.80385,-0.028488811
10057,-0.10485992,3.8312836,-0.64193004,1.9774743,-0.071516395,-1.5778457,0.58398396,0.46398127,1.6459239,-0.26190892,2.9687,3.2252476,-0.23175089,-0.32559657,1.0706888,-0.4452146,0.44529003,5.282234,1.4828783,4.136994,1.914604,-0.70890725,2.3154113,0.79192007,-0.19991696,0.68473744,0.043415695,1.2261325,-0.21275,0.41884604,0.4660667,-0.01875189,-0.34789428,4.782964,-0.104323536,0.3180962,-0.02783686,-0.5486164,0.24908987,1.971045,-0.08614147,0.17179649,-0.15413742,-1.0896723,-0.07820924,1.6048124,3.8719847,0.5670166,-0.2894721,1.2951628,0.21631473,-0.24810727,-0.40613467,0.0934495,-0.21194336,0.9202819,0.4287492,-0.35228825,-0.70877147,0.68325573,3.3435497,-2.03321,0.084444076,0.82795334,0.58333665,-0.5752402,4.369714,3.8592422,-0.7652703,0.85184634,-0.14516714,2.5851002,2.768649,3.8343563,0.08985711,-0.67091656,-1.2259144,-0.3703126,-0.8394534,0.52175,-0.21266133,-0.00122343,-3.4050255,-0.18923126,-0.79816884,-0.7931558,-0.26304075,0.9958,1.8041359,0.6110092,0.37309977,2.2012565,0.83334976,-0.4021141,3.7596612,0.49250624,3.62145,-0.5833388,-0.65545005,0.31815273
10058,-0.21225974,0.15976216,-0.6945498,-1.7183118,-0.42909425,-0.32583165,2.0771394,1.0466439,-0.13578504,0.6240428,2.8667,-0.8890682,0.0016669035,0.87165755,1.6810317,0.73078984,1.3186805,0.15983444,0.0595966,0.085454024,-1.5860746,0.71967834,0.2234703,1.233114,0.5975369,-0.24617922,-0.13099127,1.2525011,-0.38275,1.2079592,3.159624,1.069958,1.6936073,2.873654,0.46887094,2.5616236,0.5282599,0.23038167,2.3759227,1.429018,2.0222893,0.26254717,2.0797663,-0.14197196,0.6546205,1.6736379,2.9850273,2.2108305,-1.8811002,-1.8059423,-0.93515855,1.4394386,1.177358,-0.4788695,0.043876827,-0.813135,0.25136057,-0.0823733,0.07294504,0.375571,-1.09635,-0.41303813,-0.35815924,-0.8960129,0.8642076,-0.36681655,-1.276597,1.0235649,0.10984922,0.33319828,0.48067603,0.9962,1.5605333,0.15588973,-0.41132003,0.1519684,-0.43739474,-0.31735215,0.9850079,-0.1214,1.2256818,1.8724036,-1.838141,0.04760818,0.56118655,-0.14882062,0.93641424,-0.66225004,2.5444808,0.4358754,0.5677646,2.7081158,0.15284619,-0.3893598,-0.0061412454,-0.43562138,1.57005,-0.36510125,-1.3619,-1.4624102
10059,-0.24046448,-3.2795048,0.41361612,-0.46040148,-0.56345105,0.087338924,-0.51730156,-0.52691114,-0.19858873,0.6941059,-3.3797998,0.60000736,-0.9244118,-1.4674232,-1.5254457,-3.9781065,-0.9676024,-1.0682553,-0.92863744,0.13380213,0.30956942,-1.0227273,-1.0918367,-1.0818696,-1.6296028,-0.20748153,-0.6888392,-0.1995516,-0.72150004,0.60498655,-0.22590986,-0.68675184,0.46394563,1.6467974,-1.5320123,-0.27671728,0.3573567,0.17632513,-0.8686283,-0.57829285,-0.83626807,-1.1903619,-0.8862257,-1.6309966,-0.021301955,1.9800766,-0.3285609,0.0013978556,-0.18505876,0.14128594,-1.4135332,0.19564308,-1.6277808,0.64444715,-2.128973,-0.4682887,-0.13398887,0.15420859,-0.80074286,-1.7944627,0.7561,-1.194756,0.55469507,0.33007595,0.039277285,0.86096764,2.5344405,1.7617395,-0.82068634,-0.3179978,0.1742329,-3.2648,-5.076747,0.413993,-0.017662585,0.14064048,0.0027181655,0.23263991,0.35651988,0.045350004,0.13640475,-0.026233613,-0.5907543,-2.0397882,-0.36781403,-0.19195935,0.28541732,-0.29215002,-1.9079554,-0.9072804,0.47016996,0.1820756,0.5511762,-1.0210648,2.5841997,0.21324286,-3.4654,0.069609106,0.03604999,-1.0997
