,ST16924,ST17220,ST17263,ST17530,ST17584,ST17700,ST17802,ST17956,ST18022,ST18776,ST25585,ST25588,ST25604,ST25612,ST25613,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25724,ST25727,ST25733,ST25735,ST25738,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25870,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25920,ST25938,ST25947,ST25968,ST25998,ST26024,ST26070,ST26090,ST26111,ST26112,ST26210,ST26237,ST26242,ST26267,ST26349,ST26374,ST26376,ST26526,ST26528,ST26628,ST26673,ST26678,ST26737,ST26745,ST26764,ST26988,ST26992,ST27058,ST27087,ST27088,ST27219,ST27223,ST27284,ST27341,ST27403,ST27494,ST27522,ST27526,ST27540,ST27602,ST28012,ST28016,ST364,ST377,ST403,ST609,ST61,ST610,ST621,ST642,ST647,ST689,ST823,ST967
10007,-2.7708938,0.42750937,0.40350437,1.049484,0.8006079,-0.49682066,-2.0919433,-0.78955734,-5.6189423,1.7027551,-0.091596514,1.2417513,2.1375263,4.469892,-0.16149998,0.39787215,-2.11115,-2.4481263,3.5882125,-2.6995249,1.1111777,1.488688,0.76105905,-0.7791758,0.28254727,1.2960236,0.8749163,0.8641795,-0.11178665,-2.3228884,-1.4614477,-1.7783039,-2.0096188,-2.30295,-1.2627738,0.29596144,0.3314128,-1.0893168,7.406864,-0.2336324,1.470156,2.87118,3.9014273,-9.22925,1.1336836,-0.28167164,-3.0346718,-3.4496088,3.1249597,-1.2971065,-0.0385034,2.6722443,3.1267927,-2.2535522,0.6387625,-1.4495977,-0.16484253,1.1681501,-1.379903,-1.3945577,-1.6918058,-0.053990252,0.0715619,-3.46665,0.36444154,-1.5748024,-0.6323811,0.5346504,0.45914546,2.5066516,-0.24496278,-0.2832241,-3.2344768,3.9461522,-5.895644,0.1427967,-0.03570819,0.48914796,-0.98530424,-0.37070137,-0.4947201,-1.0478449,1.0458062,-0.45771056,4.570991,0.08313066,2.8682976,2.5112677,0.26328397,-0.17068091,0.5438638,-0.7537902,0.12154692,-0.7378578,-0.10130033,0.7975945,0.7483122,0.8182782,2.486949,-0.0256733,1.0281532,1.4440715,-1.3150914,1.6623683
1001,0.43206602,0.8329439,0.013439074,0.8631053,-0.29795104,-0.086796775,-0.018995672,1.6982495,3.4756348,-0.47367197,0.85145956,-0.70721775,-0.7950933,-0.7766024,1.6349,-1.7325112,4.09515,1.5274625,0.3392142,2.26859,0.4324944,-0.49570173,-0.4938232,-2.191985,-1.5676943,-0.92004955,-0.63264537,-0.28073516,0.23039028,1.396228,1.9560076,0.33810246,-1.3720422,-0.1812453,1.6617844,-0.48989215,-0.8685599,-0.7422136,-2.0097394,0.16059816,-1.0359466,-0.8684985,-2.1599364,0.9817,0.5580546,1.8416429,-0.009815991,-0.025601834,0.79474485,-0.12391144,0.8538045,2.398553,-1.5922785,-0.6615054,0.43852794,0.33377302,0.6168324,-0.0040499866,-0.5058205,1.3170711,1.9635205,-0.5940447,-1.9408237,4.29745,-1.1831286,1.6285331,0.12343054,-0.7263781,-0.5411639,-0.4339775,0.545424,-1.5581774,3.3476756,-0.19893895,3.3264973,-0.14688799,0.94425565,-0.03232619,-0.20934215,-0.989013,1.4923314,1.3783871,0.15614504,-0.1145869,-1.1244729,0.056075767,-1.8268716,-0.666523,0.30833203,-1.2534401,-0.6982502,-0.22324313,0.23448396,1.0769196,-0.4668575,-0.28158778,-1.8317416,-0.4946206,-0.94238496,2.2135012,0.058339946,-1.9352208,0.40587753,0.233223
10013,0.0075308457,-0.87262267,-0.4198463,0.5062102,1.2967198,-0.81113786,0.18585438,-0.22710893,2.8927433,2.1476238,-0.49365288,0.56926495,1.6885521,2.7484684,0.109700024,1.2673525,1.7641,0.6235876,1.7704585,2.3319414,-1.3737153,1.897968,0.9884776,0.72438866,-0.3203965,0.1957567,1.647855,0.9213467,0.91501796,3.804864,3.426539,3.0821056,3.1122136,2.0722678,2.9469967,0.56474996,0.31981167,0.54150987,2.474694,1.941493,1.0506452,1.3021954,1.6700153,-0.15235001,-1.2300117,1.5434728,3.3540027,3.8081405,2.1191623,1.8178037,3.4392571,-0.76593286,-1.0554067,2.0051577,0.3362159,1.2892518,0.5188975,1.20945,-1.7434537,-1.2033575,0.11079094,-0.29518667,-0.4826514,0.64795,-0.008657685,1.9306452,1.1640499,-0.12928107,-0.659479,0.50974065,-0.9517652,0.5504842,2.5839531,0.79653,2.1066492,-0.51679146,0.04261268,-0.14851922,0.028001942,0.47021782,-0.47105035,-0.2709573,0.16491249,-0.1090578,0.5312637,-0.43582618,-0.6151635,0.50894284,0.5229099,0.8049622,-0.28452367,-0.28651887,-0.16299647,2.11151,-0.4636195,0.6496355,-1.1226311,-0.21049389,3.3673906,-0.60523343,-0.6836454,0.0611561,-0.18678264,1.6478661
10038,-0.7343598,1.1346148,0.023702145,-1.2388101,-0.4341209,2.1212213,0.28647602,-2.9354439,-8.0409,-2.919751,0.7815532,-2.798323,-4.336976,-4.320875,1.0241499,-0.42546147,-5.3683,-6.9849434,-5.531038,-9.58122,0.13540259,-2.8688166,-0.9014198,-0.693604,0.3229921,-0.5364376,-0.014005899,0.6466403,0.056349844,-1.7117726,-0.4104398,-1.9982883,-5.0471272,-1.0629705,-2.4770103,1.0671117,-1.3029569,-0.5858526,1.447161,-1.3940217,-0.29183105,-1.3795054,-0.9034054,-4.03285,-0.8178891,-6.4500065,-3.099763,-4.208357,-4.817848,-1.4633263,-3.8701327,-1.7185173,-0.47563642,-3.7914639,-0.41785836,0.4051466,-1.1931235,-2.04955,0.15198511,-1.6670909,-0.17641586,-0.06242986,0.27712214,-6.8841,-0.2749357,-4.5112133,-4.1029243,0.3523912,-1.0251904,0.188944,0.7461265,0.66013294,-8.263077,2.0357883,-6.576934,0.042583544,-0.03369741,0.63140535,0.59160155,0.61930156,0.7426537,-0.46923855,-0.41676125,0.13910633,0.30563673,0.3241334,-2.1006048,-0.7734629,-1.2582786,-1.351828,0.61575496,0.3071817,-0.07325798,4.3040824,0.1685929,-0.8170141,0.52915996,1.2362638,-4.522274,-5.656421,0.86949515,-0.26214448,-0.31846568,-0.2127988
10046,-0.67432314,0.1656915,-0.144209,-1.2995335,-0.84385514,0.36108357,0.23175439,1.8503304,5.835189,1.8389899,-0.74162686,3.3261554,1.0007179,0.15100057,3.7812,-0.4532583,7.66535,6.5039897,0.2163378,5.4205294,-0.45484918,-0.44822502,0.71178174,1.0388918,0.9049533,-0.14364153,0.10589743,0.015983105,-0.3198371,0.39275432,-0.8070543,-0.6651005,2.2948785,1.0368781,-0.3077555,0.36551005,1.3836297,-0.074524,0.8247385,0.48193333,0.2970617,0.9387262,0.20091364,6.50835,0.42138377,1.6382608,2.0858245,1.6724088,0.85515374,0.33890605,0.65412235,1.424188,1.1480107,-0.29333556,0.9861886,0.24132718,-0.17212874,-0.15720001,2.0344157,0.9569291,0.6720778,-0.85403824,-0.28282648,4.3331003,-0.02443111,2.3179483,2.4947083,-0.005588133,-0.92572343,0.35058206,-0.45184058,0.8660079,6.9431386,1.9868634,7.0970554,0.19255872,0.66060716,1.0443435,-1.3092833,-0.4947168,0.09391934,-0.39877695,-0.93717957,-0.80670327,1.0163983,0.14619318,0.2458305,-0.3066634,0.10822281,0.409978,-0.28371426,-0.40871686,-0.36640796,0.035920873,0.7710886,-0.4228893,-0.44596252,0.45830685,-0.52781963,1.112693,0.28782228,0.008776113,-0.025943905,-0.10357235
10049,0.34754443,-0.62694424,0.053510234,2.6148782,-0.42546982,-2.2791715,0.38743335,-1.8479321,-1.9123151,1.7992108,-0.12658289,0.3581382,2.363322,1.2834408,-3.7512999,-0.5426463,2.835,-1.7896386,1.1494653,3.0535574,0.20953912,3.0958722,0.7998316,-0.37284887,-0.10354435,-0.7938598,0.14738986,0.23170204,0.67382306,0.54613733,-0.4548114,-0.20121104,1.2297738,-2.2331178,-0.90006185,-0.9433193,-0.35940033,-0.11861524,-0.91834974,0.7969153,0.13359067,-0.58805275,0.15420535,-0.6898999,-0.7061264,-0.2265435,-0.42178428,-0.589772,0.87373286,-2.5715597,0.16953501,-1.1158831,0.8312753,0.98364174,0.3298609,-0.6614101,-0.81080216,0.69965,-1.5961909,-3.0603824,1.0389766,-0.47374922,-0.7039957,0.41079998,-0.7492288,1.3669385,2.7753808,-0.28454134,0.62711215,0.2074715,0.7792299,0.26837155,0.9659196,-0.8978403,-2.0355158,0.363455,0.31089896,0.50563294,-0.25825077,-0.5311517,-1.2210338,0.22744788,0.211133,-0.026093602,-4.0786924,-0.41564092,0.6275805,0.28408483,-0.4605205,0.5430265,-1.0874934,0.2157312,-0.67922753,-5.1548195,-0.034012675,-3.3014495,-0.92235285,-0.2133278,1.413286,3.5110269,-0.016231865,0.08309303,-0.42576477,0.7856241
10051,-0.11033701,-0.28089803,0.2240437,-1.0862557,-0.016461834,-0.7788676,0.7581824,-0.6341243,-9.235953,-2.094872,-0.7363771,-5.3250656,-4.8344784,-4.327298,-5.73685,0.24343619,-7.65305,-9.50057,-7.894129,-8.857771,-1.9319971,-1.7605941,0.782478,-1.1492364,-3.0182936,-0.957808,-3.7017062,0.34335336,-0.31033656,-3.9236407,-1.9139293,-2.81963,1.1547596,-0.1782178,-4.122514,-0.12323162,-0.8694815,0.40956426,-4.639917,-1.23841,-0.36672083,-1.9645119,-1.0601916,-6.4536,-2.1536393,-7.248191,-4.9181595,-5.4520793,-4.287454,-0.64535517,-3.9453664,-3.5796256,-3.6160197,-5.6340556,-0.23955055,-0.062263533,-0.05672671,-4.9544,0.81571746,0.3224249,0.3251449,-0.072660014,-0.018955357,-7.5916,0.2502093,-4.4834146,-3.1316743,0.4051202,-0.42432135,0.11016321,0.5940054,-0.07260037,-8.561539,-7.0733776,-5.4085135,-0.10386357,0.30229208,1.0354939,0.32284454,0.5186735,-0.32823578,-1.6200647,0.039328575,0.24308914,5.9113407,0.7076354,-0.56159234,-1.9949723,-2.2652323,-1.6087008,-0.22046554,0.5305317,0.8240125,-2.9989412,-0.2763309,-0.2744363,-0.21163523,0.4108551,-2.014741,-3.8128443,-0.54432446,-1.4655958,-1.2165164,-0.24582964
10057,-0.38033858,0.4125334,-0.9805822,2.4337955,3.2553155,-0.16169572,0.91346127,0.41351336,3.3689005,3.7727494,-0.77207357,0.5614974,-0.7581331,-0.95062447,0.53195,1.3981001,2.558,0.51599133,0.9572813,2.8424802,0.63610053,3.5941782,0.16810933,0.24407528,0.011503965,0.6392034,0.0011187941,-0.018389784,-0.20439358,1.7985351,0.6861892,1.4039009,3.4200616,0.007849246,0.6115859,0.2910105,-0.33950883,-1.3258036,4.238283,-0.66120833,-0.10541567,0.4766357,-0.31926265,1.6276,0.55772805,1.662315,3.434205,0.813236,-0.24135734,-0.4401567,0.029682014,0.44085312,0.33979973,1.442332,-0.78589755,0.7350073,-0.26647532,1.3052,-0.2579763,-1.3045765,0.83805674,-0.71879524,0.22368096,0.19365,0.18714246,2.7026393,2.4743397,-0.27906075,-1.8392303,0.83484924,1.1023248,-0.33498633,1.9170004,1.8752317,2.676877,-0.5239987,-0.9282356,-0.25278533,0.048501365,-1.0042883,0.0053279996,-0.5493574,-0.2968772,-0.67610043,-4.2877727,-0.017680626,0.78918076,0.41856223,-0.29448575,0.7399243,-0.91756886,-0.34254777,-0.1503327,0.7697269,0.53354025,-0.7097786,1.1310614,1.5161889,-0.6539203,2.5222962,0.24896261,-0.021453999,0.029092893,0.37829638
10058,-0.71160525,0.019762918,0.82005984,1.0500355,1.3806832,2.5747447,-0.9667329,0.39731964,0.85815805,1.9815413,-1.0870378,1.7964323,-0.32050934,1.2895945,2.07435,2.8107069,1.32205,0.43104744,1.2138748,0.651093,1.12483,0.89285576,1.2531148,2.3952844,-0.51852375,-0.09902322,2.1812975,-0.14305945,2.5695288,3.0114384,2.2301126,3.1621683,2.5148957,0.8511113,3.6511889,0.26324177,-1.0390512,0.7865888,1.8178234,1.3641819,2.092606,-0.3269562,0.8412466,-0.125,0.8825163,2.7362866,2.9379613,2.3849986,-1.5715687,-0.8293886,1.3164431,0.9936216,1.4647682,1.2195494,-0.32737002,1.1072732,0.11347929,0.89925003,-0.714425,-0.8887657,-0.5397729,-0.08642454,0.35580978,1.57595,-0.5097505,-0.36475432,0.43814513,-0.9265055,0.3289895,0.8948198,0.21155795,0.820588,1.2150972,0.25676706,0.99410707,-0.20026347,0.6471002,0.065654024,-0.42476845,1.411619,-0.392852,-0.1094117,1.1758538,0.5583831,-1.2689837,1.0383842,0.32681808,0.33082917,-0.29010895,1.2314433,-0.4707401,0.48674524,0.37320662,1.8329313,0.55235,1.1744243,3.2362404,0.41220868,-0.7581976,1.1417788,0.7397445,-0.16986674,-1.3972751,-0.69362587
10059,0.012398541,0.11868024,0.02519828,-0.676046,-1.462817,-0.58702064,0.92836905,0.19709073,-2.9033322,-1.0361637,0.11763349,-1.6059762,-2.017108,-1.9420725,0.5840001,-0.6599865,-0.41394997,-2.1893845,0.61150116,-0.85253793,-0.16741252,-0.9638992,-0.9503939,-0.35873666,-0.46053815,-1.2764623,-0.6015333,0.2532598,-0.603387,0.023026899,0.37999558,0.3068602,2.5816605,-0.38871673,0.13875198,0.41041228,-0.43826497,-0.53378004,0.4463938,-0.7342219,-1.1831071,-0.98745954,-0.7214635,-1.19675,0.30143225,1.8466423,2.1601913,0.8726007,0.4663716,-0.3838237,-1.5337086,-3.7188396,0.07538083,-1.9038746,-0.2631903,0.08537045,-0.12304664,-1.4836,0.0035081506,-0.7549818,0.4432541,-0.16578627,-0.14799505,-0.108500004,1.1726875,2.3605685,2.3102345,0.8520641,-0.4539837,-0.24505143,1.1695039,0.1073398,-2.0774,-5.4393396,0.66901195,0.62612665,-0.41880897,-0.5138981,-0.025216445,-0.31135577,0.207492,0.8373014,0.31320858,0.11876121,1.7761949,0.10857306,-0.7999936,-1.1315278,0.019928511,0.47941834,-0.096034974,1.16911,0.76089835,-1.8020954,0.9157382,-0.72560406,0.70026875,0.70254284,-1.0618176,2.5723414,0.31492767,0.23551586,1.2760957,-0.60084647
