,ST16924,ST17220,ST17263,ST17530,ST17584,ST17589,ST17700,ST17802,ST17956,ST18022,ST18776,ST25587,ST25588,ST25604,ST25612,ST25613,ST25617,ST25624,ST25636,ST25640,ST25641,ST25644,ST25680,ST25712,ST25723,ST25727,ST25733,ST25735,ST25738,ST25748,ST25754,ST25756,ST25774,ST25778,ST25783,ST25785,ST25792,ST25802,ST25823,ST25837,ST25838,ST25840,ST25849,ST25870,ST25871,ST25883,ST25889,ST25901,ST25904,ST25913,ST25920,ST25938,ST25945,ST25947,ST25968,ST25998,ST26024,ST26090,ST26111,ST26112,ST26210,ST26267,ST26374,ST26376,ST26526,ST26528,ST26628,ST26673,ST26737,ST26745,ST26764,ST26988,ST27000,ST27049,ST27058,ST27087,ST27088,ST27219,ST27223,ST27243,ST27341,ST27399,ST27403,ST27494,ST27522,ST27526,ST27540,ST27602,ST28012,ST28016,ST300,ST377,ST403,ST502,ST609,ST61,ST610,ST621,ST642,ST647,ST652,ST823,ST967
10007,-1.0865755,0.007949233,0.62556386,0.533847,1.293875,0.19497357,0.9843706,-2.0720994,-1.7292536,-1.1163771,2.6602397,-4.3083,2.5381372,0.82570624,3.472578,2.692637,1.5571022,0.43118522,1.2474595,3.2329094,0.8537149,0.6756319,1.7472322,0.082608625,1.9290907,1.5802975,0.31203857,0.64821863,0.06117995,1.6830978,-0.9287181,1.3948145,0.39590067,-1.473537,1.9564804,-0.27369308,0.38345018,0.840786,7.484171,0.13470948,1.9464296,3.2439673,4.227345,-0.91129357,1.2185485,0.9184856,-1.1730893,-1.980485,2.9901707,-0.1259468,-0.183127,1.7911412,0.19781822,2.32521,0.4203997,0.5040505,-0.18671396,0.6745457,-0.009611934,-0.9235151,-1.5765314,-0.09510672,1.3239623,2.1755126,0.22017443,0.064456895,0.8674345,-0.41743508,1.1734053,4.5744095,-1.5836636,-0.01656869,-0.09546263,0.4632837,0.24165055,-0.1930587,-0.38214087,-0.22676462,0.11072159,-0.69599926,-0.2511775,2.63,2.2228503,-0.3561957,1.730347,2.333151,1.6883047,0.18750495,1.6013482,-0.1846246,2.69015,-1.0847557,0.46760023,0.019661166,0.25275773,-0.16899619,-0.07466273,1.6672027,1.7894814,-0.029795425,0.2180759,-1.8689487,1.1596605
1001,-1.3107002,1.9544139,-1.9812537,-1.5071442,-0.8685715,0.00022945926,-3.893469,0.45718265,1.2714968,4.044179,-2.3127697,1.87095,-2.0840204,0.48535535,0.7401699,-1.0125344,-0.92166746,4.042537,1.774747,-0.111022174,0.09500873,0.5017189,-3.965648,-0.6177136,-3.7725856,-2.4779634,0.3274614,-0.10166179,0.6600865,1.02416,2.6403935,0.03766247,-1.468376,0.88498497,-0.5141957,-0.7189727,0.024721682,-1.584231,-2.1203609,-1.1482186,-0.46451652,-3.533117,-0.8681488,-1.6144428,-1.3718817,-0.5319962,-4.8334036,-4.4841413,0.5097923,0.039657578,1.2224306,1.0535975,0.8656267,-3.2633948,-2.9019308,1.6169102,-0.55849624,-0.8547615,0.3085959,1.003028,1.304931,5.3236427,-1.35076,-0.87761104,-0.21497503,-0.36154163,-0.00141933,0.6913654,2.0150394,-3.2170553,1.1503282,0.0055491626,-0.1816639,0.7393247,0.3647467,-2.302409,0.55426055,0.10585493,0.6644393,0.43764153,-0.68986714,-3.0189967,-3.3205657,0.14492488,-1.3336046,-2.5021262,-0.611632,-0.6469449,-0.5244424,0.8136346,-1.9191499,0.05627025,-2.1030993,-0.32135808,-1.4409107,-1.200573,0.7129555,0.8647654,-4.4669166,0.16757554,2.8093967,0.5127956,-1.2023418
10013,0.26841843,-1.2632024,-1.1225069,0.5401056,-0.18852754,0.33861405,-0.5798663,0.12558724,-0.060672417,6.3592443,2.7863827,1.7013,0.3825287,1.7696302,2.4431717,2.3032103,1.2944198,4.798315,1.0991875,0.1869033,4.3964167,-0.8894651,0.774508,-0.10070357,0.9751987,0.72953534,0.52302796,0.7801733,0.2245624,3.7896276,2.7960727,1.9656181,4.5355124,1.1993325,2.5712094,-0.19476192,0.07093392,2.1273859,4.4666967,0.8511215,1.2976322,1.5515422,1.8382747,-2.0235922,0.107796,0.53410256,2.6930861,2.5312872,4.063088,2.2370806,1.6314653,-1.7270657,-0.27855402,-1.0575213,3.583996,-0.11509841,0.3419441,-0.15994175,2.2285008,-0.3348422,-0.76533675,3.4034495,2.2418053,1.6625574,-0.5114706,1.4407326,-0.4476484,-1.0211556,2.7365665,1.1058282,0.50887984,-0.21383181,-0.13959764,-0.31964523,-0.907755,-1.1429039,-0.10183984,-0.29661632,-0.18908218,0.041539565,0.7486243,1.323201,1.533741,-0.37555113,-0.7037292,0.26167613,0.44596416,0.573702,-1.0074058,-0.51007974,0.4785,1.1067262,-0.68818516,-0.5197725,0.014764115,-0.491039,-0.66173154,4.2487717,-0.53289545,-0.30513582,3.9965177,0.05817631,1.9048617
10038,0.082234055,0.558586,0.7245327,-1.3013272,0.32051826,0.20939511,2.2303839,-0.29170692,-0.359047,-6.9640903,-1.5361447,-3.0115,-0.55097836,-2.0607176,-3.9691155,1.0082186,-0.10180808,-6.287427,-2.9524865,-3.3848615,-8.8251915,-0.08371049,-2.2836204,-0.59437233,-0.9859557,-0.05434469,-0.37554434,-0.5240194,0.02518621,-1.0972066,-1.8751799,-1.9948838,-5.1039844,-1.0992553,-1.679261,0.119735606,-4.0697083,0.26186424,2.736926,-0.98238885,0.030920729,-0.41892928,-1.457108,0.874653,-1.3919713,-4.52147,-1.8522989,-3.7996757,-3.0202227,0.084918335,-1.7853185,-0.88654566,-0.8301108,-0.72490585,-1.533253,-0.09823626,-0.84581363,-3.5002253,0.89749986,0.42808002,0.40510583,-4.2010894,-2.1408799,-1.9499015,0.49577844,-0.5352142,0.3544768,0.5092823,-8.656815,2.5249114,-8.457985,0.60152525,0.30871928,0.28505418,-0.27389497,0.5468645,0.5546966,-0.33895338,0.2838179,0.6053344,0.69278055,-1.9303105,0.103209615,0.03973285,-0.6514535,-0.11970376,-1.2441688,0.041524887,0.42370427,-0.12759992,-1.81465,3.826271,1.3962156,-0.34116375,-0.2589522,0.8318811,0.024063915,-3.7379107,-2.2866383,0.8207315,-6.7781024,0.21674377,0.45808408
10046,1.4175503,-0.014269244,-0.17788243,0.31511265,-0.600201,-0.27038464,0.4663785,0.7719867,0.973001,1.6942235,0.040431432,5.1231003,-0.2447628,0.33913544,2.6861322,2.0418637,-0.75366557,3.2740316,2.7752,0.4144929,2.478343,-0.26886684,0.1665963,0.58005613,-0.27477688,0.6296056,-0.027869478,-0.75596714,-0.88198423,0.52323437,-0.48958188,0.06359781,1.4912603,-0.23917829,0.61738735,-0.31478843,-0.56994027,-0.32875973,0.7249618,0.36332276,-0.15188763,-0.61455166,-0.16623731,2.2217004,-0.3334983,0.1913876,3.8851314,0.4824031,0.665853,2.850807,0.828949,-0.016023912,-0.5630795,0.13278225,0.23181006,0.4742424,-0.72825885,3.499113,0.5838138,0.84684527,-0.0018376186,-0.4231729,0.728656,0.46572036,0.22466251,0.3482074,-0.5230927,0.48983723,2.1093082,-0.06125369,2.2034843,0.67143047,-0.29943144,-0.47248805,2.878375,0.34033117,-0.7066239,3.4281366,-0.34624484,3.3896632,-0.5149693,0.42101365,0.43454614,-0.25355333,-0.028775722,-0.10722077,-0.17682141,-0.28708768,-0.53923374,0.032147437,5.2644,0.40121678,0.14269654,-0.31640214,-0.419412,0.099759296,-0.42975712,-0.20546198,1.1590629,-0.28314587,-0.028522678,0.45250624,-0.93110293
10049,1.9219339,-0.42032558,-0.8185797,4.6726336,-0.8762224,-1.1051863,-1.1598628,1.574513,2.1805527,0.86859345,4.15536,2.57535,0.88261056,0.6584556,0.32025018,5.3277235,0.6884606,-5.0625777,1.6413106,1.1073039,3.6042905,1.5153112,4.3013334,-0.7081814,0.5554855,-1.9311924,-0.8705928,-0.90639794,0.0021637809,0.46937668,0.4149508,0.73379105,3.44455,0.585269,-0.15806916,-0.75371724,-0.5526033,-0.4989028,0.54966664,-0.31029835,-0.024263144,0.551141,1.3355482,3.8820972,-0.88657945,-0.15463157,1.561819,0.3964235,-2.2849858,0.40425834,0.61871547,1.7531288,0.40920687,0.6495477,1.0778922,-2.861199,-0.43505841,-0.84209806,-1.1399674,-2.0505872,2.2747838,5.000817,6.538349,6.719232,-0.1887344,0.3764293,0.18956038,-0.42601168,1.9322206,-1.2508997,1.7843152,0.32238603,0.6042972,-0.7724276,-0.4039536,0.15291366,-0.27861863,-0.58126783,-0.29326785,0.20763913,-0.15837966,1.0256925,0.9098145,-0.60389644,0.0809906,1.0018278,-0.09095025,2.108998,0.5879705,0.06446129,1.3050001,-7.6839066,0.22756115,0.3602791,0.36519182,-0.7180301,-0.42231706,1.5022653,6.8770523,-0.40783182,2.0598185,2.2497754,-0.20261134
10051,1.6407621,-1.1785016,0.78480864,-1.0847166,0.61549735,-0.039244287,0.25822324,0.98445165,0.27499646,-8.370948,-1.087421,-6.5032997,-2.4852936,-2.4166007,-4.7258587,-2.6900916,0.1780338,-6.9639053,-9.425962,-5.294063,-5.3560286,-1.1297657,-1.7895808,0.10173367,-1.128519,0.8376028,-1.1224499,-0.15407124,-0.57632613,-1.6708214,-2.1171787,-2.1025157,1.8361902,-0.46627778,-2.4585588,0.051103234,0.2981996,0.34799355,-0.18332654,-1.7729111,-0.78777206,-1.3246329,-1.8186789,-2.9451613,-0.577252,-2.5287323,-2.6924386,-3.9671004,-2.1212244,-0.7654524,-2.4306836,-1.8674884,-0.8094773,-1.7208587,-1.013388,-0.38750756,-0.10139257,-0.57436085,1.7801819,0.9763464,0.38361877,-4.898181,-0.29826266,-1.5986507,0.95711744,-0.37459478,-0.8995631,0.0049037486,-3.3244421,-5.431901,-0.7992277,0.2136915,0.017942145,-0.38549528,0.29132894,0.76625454,-0.24585792,-0.35754502,-0.03594806,0.5721557,0.47702566,6.330654,5.0254126,-0.3822732,-0.7579243,0.8817816,-0.76093185,-0.9639689,0.24879889,-0.14379334,5.8075,-1.8118746,-0.18720968,-0.40645987,0.31632423,-0.18543081,0.11870387,-4.2815866,-1.7456543,-0.8734985,-3.5728238,0.66695297,0.3612569
10057,2.3889284,0.9185369,-1.9384632,4.178504,0.21887119,0.07783356,-1.7410057,0.45088336,-1.1800025,2.081195,3.6560977,-3.119,0.17731684,-0.03556712,2.9229743,-0.33117047,2.0221918,-0.44558394,-3.014712,0.01937104,-0.79663974,-0.5954438,3.0418572,0.75832236,1.9798166,-1.0073926,0.4106208,0.48620433,0.11009954,-0.12787893,1.3198276,-0.77573293,3.41372,1.0651048,1.0308002,-0.40460137,0.059202246,0.23631501,1.0671519,0.77245116,1.6208698,0.018335834,-0.9983439,0.5509391,-0.6875533,1.613712,1.6493323,0.51995647,-1.2112668,-0.5366625,1.4135668,-1.7780521,0.5251717,-0.59607357,-0.19614047,0.19823055,0.4769559,1.0010965,-0.48699638,0.098758586,1.1879921,-2.3861265,1.4106848,2.3413253,-1.5232406,-0.02353726,0.7367367,4.1799717,0.1632284,-0.6084032,-0.6958451,-0.9778656,1.0893447,-0.0073254406,0.7864078,-1.2381394,-0.21458924,-0.83849704,-0.42547694,0.1945819,-1.3908879,-4.8512836,-5.2245026,0.6475804,3.4938798,-0.8350234,-0.47156918,-0.5935862,-1.6180921,0.5063807,-4.3941,-0.08606909,-0.4428362,0.5402122,-0.9520248,1.0972321,-0.11591905,0.55497336,1.6220458,0.98517036,1.2255049,-1.077397,0.88214123
10058,-2.1470187,-0.5862073,-0.9053902,1.9294839,-0.5853206,0.4658189,0.15810628,-1.1055045,0.35660058,2.2173805,-0.584101,1.41485,1.831748,1.1529664,0.3648395,3.132937,2.6242044,1.3886151,-3.4998453,0.96803594,3.3516264,1.7796024,-0.3188424,0.7149598,-0.20371914,-0.16831577,2.202566,0.16422234,1.2873838,1.0515403,1.436971,0.7286272,3.261753,-1.1643448,1.6660119,0.45745832,0.38071787,1.2266228,1.7055354,0.69420016,1.0261381,1.78564,-0.026609316,-2.5496697,-0.63233966,1.0779308,2.140153,1.4219214,-3.342503,-1.5429473,1.1423061,0.124209166,0.88689905,1.5485363,-1.0645505,-0.9977671,1.0047345,1.9638866,-0.10229983,-0.27932662,-1.8310812,0.6030834,-1.5839713,-0.9883294,0.008859888,-0.12239823,0.35540175,0.47628817,0.77971774,3.1079943,1.5843883,0.761397,1.565755,1.0653132,0.46709174,-0.008124262,0.3711991,-0.27971154,0.31907368,1.1948149,-0.20354885,-4.6150384,-3.5929494,-0.1393441,0.39983824,-0.041110545,0.27378663,0.7052659,-1.4282361,0.5434692,-4.2845,0.98237777,0.92366505,-0.24553987,0.38722768,4.538088,1.6866586,-1.2249603,1.4886225,1.4037305,1.4400613,-2.287843,-1.1091697
10059,-1.133844,0.9873862,-0.5352479,0.9113523,-0.7475868,0.0684385,-0.521517,0.728858,0.08205448,-2.3254464,-0.6054988,-3.53455,0.09242623,-0.09400414,-0.707745,-4.2001467,-0.29231572,-4.002988,-6.1284494,-0.6530465,-2.7209933,-1.7245698,-0.46517253,-0.38345498,0.3402118,-0.25241703,0.646215,0.13598815,-0.0057992004,-0.38930702,1.1949123,-0.86991245,2.0452747,1.2724967,-0.53199077,-0.5744484,-0.2150464,-0.7839949,-1.2899133,1.1246599,0.6214318,-0.62690127,-1.4459158,-4.2501593,-0.7120726,1.2105021,1.4781128,0.7693751,-0.9808747,-0.29555503,0.3592206,-2.066297,1.4051265,0.24552366,-1.9708871,-0.0141252205,0.024229094,0.034969583,-1.2820601,-0.13170171,1.2718787,-1.9657733,1.451653,1.7068008,-0.11168794,-0.05752412,0.75709194,1.4422212,-4.5381746,-4.8693037,-5.1513066,1.1124824,0.71639115,0.487364,0.050723244,-0.21910283,-0.2491164,-0.12865007,0.3753098,0.81442916,-1.0601542,0.71520746,-0.91927046,0.14684868,0.45275223,-0.049976602,-0.13938862,-0.18711491,-0.46037486,1.88739,-0.6009,-0.62399065,0.6539406,1.3421667,-0.72543585,0.20133118,1.2947086,0.6172659,1.1624064,-0.42480206,-2.743484,-3.3607814,-0.8834039
