StructID,MoAs,Targets
ST17248,Estrogen receptor antagonist,ESR1
ST17249,Estrogen receptor antagonist,ESR1
ST17305,Adrenergic receptor agonist,ADRA2B|ADRA2A
ST17404,Adrenergic receptor antagonist,HTR1A|HTR1B
ST176,TNF production inhibitor|HIV integrase inhibitor|Lipoxygenase inhibitor|NFKB pathway inhibitor|Nitric oxide production inhibitor|Tumor necrosis factor production inhibitor|PPAR receptor modulator,ALOX5
ST17861,Cholinergic receptor agonist,CHRM2
ST18863,MDM inhibitor,MDM2
ST25538,Steroid,NR3C1
ST25539,Diuretic,CA2|SLC12A3
ST25540,Diuretic,SLC12A1|SLC12A2
ST25541,Antiviral,IMPDH1
ST25542,Antiviral,IMPDH1
ST25543,Antiviral,IMPDH1
ST25544,Antiviral,ADA
ST25545,Bile acid|G protein-coupled receptor agonist,CEL
ST25546,Bile acid,FECH|CES1|PLA2G1B
ST25547,Vitamin B|Methylmalonyl CoA mutase stimulant,MMUT
ST25548,Vitamin B|Methylmalonyl CoA mutase stimulant,MMUT
ST25549,NAD precursor with lipid lowering effects|Vitamin B,HCAR2|HCAR3
ST25550,NAD precursor with lipid lowering effects|Vitamin B,HCAR2|HCAR3
ST25551,Vitamin B,SLC19A2
ST25552,Anti-HCVE2,HTR5A|HTR6|HTR7
ST25553,Antioxidant,SLC23A1
ST25554,Antioxidant,SLC23A1
ST25555,Antioxidant,AGER
ST25556,Capillary stabilizing agent|Antioxidant|Nitric oxide scavenger,AKR1C3
ST25557,Capillary stabilizing agent|Antioxidant|Nitric oxide scavenger,AKR1C3
ST25558,Capillary stabilizing agent|Antioxidant|Nitric oxide scavenger,AKR1C3
ST25559,NFkB pathway activator|Monoamine oxidase B inhibitor|PPAR receptor agonist|FXR agonist,MAOB
ST25560,FXR agonist,NR1H4
ST25561,FXR agonist,NR1H4
ST25562,FXR agonist,NR1I2
ST25563,FXR agonist,NR1H4
ST25564,GSP agonist,SMAD3
ST25565,LXR agonist,NR1H2|NR1H3
ST25566,ABC transporter expression enhancer|LXR agonist,NR1H2|NR1H3
ST25567,ABC transporter expression enhancer|ROR inverse agonist|LXR agonist,NR1H2|NR1H3
ST25568,PAR agonist,F2RL1
ST25569,TLR agonist|Interferon inducer,TLR8|TLR7
ST25570,TLR agonist,TLR7
ST25571,Potassium channel activator|Vasodilator|KATP activator,KCNJ8|KCNJ11|ABCC9
ST25572,AP inhibitor,JUN
ST25573,M5 modulator,CHRM5
ST25574,Insulin secretagogue|Sulfonylurea|ATP channel blocker,ABCC8|KCNJ8|CFTR|KCNJ5|KCNJ11
ST25575,Sulfonylurea,ABCC8|KCNJ11
ST25576,Sulfonylurea,ABCC8
ST25577,TRPV agonist,TRPV1|CNR1
ST25578,TRPV agonist,TRPV1
ST25579,TRPV agonist,TRPV1
ST25580,Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,ALDH2
ST25581,ATPase inhibitor|TRPV agonist,TRPV1
ST25582,TRPV agonist,TRPM8|TRPA1
ST25583,TRPV agonist,TRPV1|CNR1
ST25584,AGT inhibitor,MGMT
ST25585,ALK inhibitor,ALK
ST25586,ALK inhibitor,ALK
ST25587,ALK inhibitor,ALK
ST25588,ALK inhibitor,ALK|MET
ST25589,ALK inhibitor,ALK
ST25590,ALK inhibitor,TGFBR1
ST25591,Androgen receptor antagonist|Akt inhibitor,AR
ST25592,Akt inhibitor,PIM1
ST25593,HCV inhibitor|Akt inhibitor,AKT1
ST25594,Akt inhibitor,AKT2|AKT1|AKT3
ST25595,Akt inhibitor,AKT2|PRKCQ|AKT1|AKT3
ST25596,Akt inhibitor,AKT2|PRKCQ|AKT1|AKT3
ST25597,Akt inhibitor,AKT1
ST25598,Akt inhibitor,AKT2|AKT1|AKT3
ST25599,Akt inhibitor,AKT2|AKT1|AKT3
ST25600,Akt inhibitor,AKT2|AKT1|AKT3
ST25601,Antihistamine,HRH1
ST25602,Antihistamine,HRH1
ST25603,Antihistamine,HRH1
ST25604,BCL inhibitor,BCL2|BCL2L2|BCL2L1
ST25605,BCL inhibitor,BCL2L1
ST25606,BCL inhibitor,BCL2L1
ST25607,BCL inhibitor,BCL2
ST25608,MCL1 inhibitor|BCL inhibitor,MCL1|BCL2|BCL2L1
ST25609,BCL inhibitor,BCL2
ST25610,BCL inhibitor,BCL2
ST25611,BCL inhibitor,BCL2|BCL2L2|BCL2L1
ST25612,BCL inhibitor,BCL2
ST25613,BCL inhibitor,MCL1|BCL2|BCL2L1
ST25614,BTK inhibitor,BTK
ST25615,BTK inhibitor,BTK
ST25616,BTK inhibitor,BTK
ST25617,BTK inhibitor,BTK
ST25618,BTK inhibitor,BTK
ST25619,CDC inhibitor|Rho associated kinase inhibitor,NFE2
ST25620,CDC inhibitor,CDC25B|CDC25A
ST25621,GSK-3 inhibitor|CDK inhibitor,GSK3A|CDK1|CDK5
ST25622,GSK-3 inhibitor|CDK inhibitor|CFTR channel agonist,CDK2
ST25623,GSK-3 inhibitor|CDK inhibitor|CFTR channel agonist,CDK2
ST25624,CDK inhibitor,CDK6|CDK4|CDK2|PYGM|CDK5|CDK9|EGFR|CDK1|CDK8|CDK7
ST25625,Tyrosine kinase inhibitor|CDK inhibitor,CDK1|CDK2|CDK5
ST25626,CDK inhibitor,CDK4|CCND1
ST25627,Cell cycle inhibitor|CDK inhibitor,CDK6|CDK4|CDK2|CDK5|CDK9|CDK1
ST25628,CDK inhibitor,CDK2|CDK5
ST25629,CDK inhibitor,CDK1|CDK2
ST25630,MCL1 inhibitor|Cell cycle inhibitor|CDK inhibitor,CDK9|CDK2|CDK7
ST25631,CDK inhibitor,CDK1|CDK5
ST25632,CDK inhibitor,CDK7
ST25633,CDK inhibitor,CDK1
ST25634,CDK inhibitor,CDK9|CDK1|CDK2|CDK5
ST25635,GSK-3 inhibitor|CDK inhibitor,GSK3A|CDK1|CDK5
ST25636,CDK inhibitor,AURKA|CDK2|CDK1|AURKB
ST25637,GSK-3 inhibitor|CDK inhibitor,GSK3B|CDK1|CDK5
ST25638,GSK-3 inhibitor|CDK inhibitor,GSK3A|CDK1|CDK5
ST25639,CDK inhibitor,CDK1|CDK2|CDK5
ST25640,CDK inhibitor,CDK6|CDK4
ST25641,CDK inhibitor,CDK4|CDK2|CDK5|CDK9|CDK1|CDK7
ST25642,Growth factor receptor inhibitor|CDK inhibitor,NTRK1|CDK4|CDK2|CDK1
ST25643,DYRK inhibitor|CDK inhibitor,CDK4|CDK2|CDK1|CDK5
ST25644,CDK inhibitor,CDK9|CDK2|CDK7
ST25645,FLT3 inhibitor|JAK inhibitor|CDK inhibitor,CDK2|CDK9|FLT3|JAK2|CDK1|CDK7
ST25646,CHK inhibitor,CHEK2|CHEK1
ST25647,CHK inhibitor,CHEK2|CHEK1
ST25648,CHK inhibitor,CHEK1
ST25649,CHK inhibitor,CHEK1
ST25650,CHK inhibitor,CHEK1
ST25651,CHK inhibitor,CHEK1
ST25652,DYRK inhibitor|CLK inhibitor,DYRK1B|CLK1|DYRK1A|CLK4
ST25653,DYRK inhibitor|CLK inhibitor,CLK1|DYRK1A|CLK4
ST25654,DYRK inhibitor|CLK inhibitor,DYRK1B|CLK1|DYRK1A|CLK4
ST25655,CLK inhibitor,DYRK1B|CLK1|DYRK1A|CLK4
ST25656,CLK inhibitor,CSNK1E|ULK1|FLT3|CLK2
ST25657,Progesterone receptor agonist|Steroidal progestin|DNA inhibitor,PGR
ST25658,DNA alkylating agent|DNA inhibitor,GSR
ST25659,DNA synthesis inhibitor|DNA alkylating agent|Estrogen receptor agonist|DNA inhibitor|Microtubule inhibitor,MAP2|ESR1|ESR2|MAP1A
ST25660,Progesterone receptor agonist|Steroidal progestin|DNA inhibitor,PGR
ST25661,DNA inhibitor,CYP2C9|CYP3A4
ST25662,Topoisomerase inhibitor|DNA inhibitor,TOP2A
ST25663,GAT inhibitor,SLC6A1
ST25664,GAT inhibitor|GABA uptake inhibitor,SLC6A12
ST25665,GAT inhibitor,SLC6A1
ST25666,HIV integrase inhibitor|Quorum sensing signaling modulator|HCV inhibitor|Beta-secretase inhibitor|Aldose reductase inhibitor|Glutathione transferase inhibitor|Reverse transcriptase inhibitor,CA4|CA2|CA1|CA12|CA6|CA14|SYK|CA9
ST25667,HCV inhibitor|XIAP inhibitor,XIAP
ST25668,HCV inhibitor,CYP1A2|CYP3A4
ST25669,HIF inhibitor,HIF1A
ST25670,HIF modulator,HIF1A
ST25671,HIF modulator,HIF1A
ST25672,HSP inhibitor,HSP90AA1
ST25673,HSP inhibitor,HSP90AA1
ST25674,HSP inhibitor,HSP90AA1
ST25675,HSP inhibitor,HSP90AA1
ST25676,HSP inhibitor,HSP90AA1
ST25677,HSP inhibitor,HSP90AA1
ST25678,HSP inhibitor,HSP90AA1
ST25679,HSP inhibitor,HSP90AA1|HSP90AB1
ST25680,HSP inhibitor,HSP90AA1|HSP90AB1
ST25681,HSP inhibitor,TP53|HSPA1A
ST25682,HSP inhibitor,HSP90AA1
ST25683,HSP inhibitor,HSP90AA1
ST25684,HSP inhibitor,HSP90AA1
ST25685,HSP inhibitor,HSPA1A
ST25686,Telomerase reverse transcriptase expression inhibitor|Topoisomerase inhibitor|Caspase activator|MYC expression inhibitor|HSP inhibitor,BCL2
ST25687,IKK inhibitor,IKBKB
ST25688,IKK inhibitor,PDPK1|PDK1
ST25689,Pregnane X receptor agonist|Estrogen receptor agonist|Progesterone receptor agonist|IKK inhibitor|Cholesterol inhibitor|FXR antagonist,NR1H4|AR|NR3C2|NR3C1|PGR
ST25690,Pregnane X receptor agonist|Estrogen receptor agonist|Progesterone receptor agonist|IKK inhibitor|Cholesterol inhibitor|FXR antagonist,NR1H4|AR|NR3C2|NR3C1|PGR
ST25691,IKK inhibitor,IKBKB|IL1B|TNF
ST25692,IKK inhibitor,IKBKB
ST25693,IKK inhibitor,IKBKB
ST25694,IKK inhibitor,IKBKB|NAMPT
ST25695,IKK inhibitor,IKBKB|NAMPT
ST25696,IL5 inhibitor,IL5RA
ST25697,EGFR inhibitor|JAK inhibitor|ErbB2 inhibitor,JAK2|JAK3
ST25698,FLT3 inhibitor|Abl kinase inhibitor|Aurora kinase inhibitor|Mitotic inhibitor|Protein kinase inhibitor|JAK inhibitor,JAK2|AURKA|AURKB|JAK3
ST25699,JAK inhibitor,JAK2|JAK1
ST25700,JAK inhibitor,JAK2|JAK1
ST25701,JAK inhibitor,JAK2|JAK1
ST25702,JAK inhibitor,JAK2
ST25703,JAK inhibitor,JAK2|JAK1
ST25704,FLT3 inhibitor|JAK inhibitor|Growth factor receptor inhibitor,NTRK1|FLT3
ST25705,FLT3 inhibitor|JAK inhibitor|Growth factor receptor inhibitor,NTRK1|FLT3
ST25706,JAK inhibitor,JAK2
ST25707,FLT3 inhibitor|JAK inhibitor,JAK2|FLT3
ST25708,JAK inhibitor,JAK2|JAK3
ST25709,FLT3 inhibitor|JAK inhibitor,JAK2|FLT3
ST25710,JAK inhibitor,JAK2|JAK1|JAK3
ST25711,JAK inhibitor,JAK2|JAK1|JAK3
ST25712,FLT3 inhibitor|Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor,AURKC|AURKB|BCR|FLT3|JAK2|AURKA|ABL1
ST25713,FLT3 inhibitor|Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor,AURKC|AURKB|BCR|FLT3|JAK2|AURKA|ABL1
ST25714,JAK inhibitor,EGFR|JAK3
ST25715,JNK inhibitor,MAPK9|MAPK10|MAPK8
ST25716,JNK inhibitor,MAPK8
ST25717,JNK inhibitor,MAPK8
ST25718,JNK inhibitor,MAPK8
ST25719,JNK inhibitor,MAPK8
ST25720,JNK inhibitor,MAPK9|TTK|MAPK10|MAPK8
ST25721,FLT3 inhibitor|RET tyrosine kinase inhibitor|KIT inhibitor|PDGFR inhibitor|RAD51 inhibitor,PDGFRA|MET|FLT3|KIT
ST25722,VEGFR inhibitor|KIT inhibitor,PDGFRB|FLT4|KIT|FLT1|KDR
ST25723,Abl kinase inhibitor|Tyrosine kinase inhibitor|KIT inhibitor|Ephrin inhibitor|Src inhibitor|PDGFR inhibitor,LYN|PDGFRB|EPHA2|LCK|BCR|YES1|FYN|KIT|SRC|ABL1
ST25724,PDGFR inhibitor|Abl kinase inhibitor|KIT inhibitor,PDGFRB|BCR|CSF1R|PDGFRA|KIT|ABL1
ST25725,PDGFR inhibitor|VEGFR inhibitor|KIT inhibitor,KDR
ST25726,PDGFR inhibitor|FGFR inhibitor|VEGFR inhibitor|KIT inhibitor,FGFR1|FLT4|KIT|FLT1|KDR
ST25727,PDGFR inhibitor|KIT inhibitor|Src inhibitor,LYN|PDGFRB|PDGFRA|KIT|FGFR3
ST25728,FLT3 inhibitor|PKC inhibitor|KIT inhibitor,FLT3|KIT
ST25729,PDGFR inhibitor|VEGFR inhibitor|KIT inhibitor,KIT|FLT4|KDR|FLT1
ST25730,VEGFR inhibitor|KIT inhibitor,KDR|KIT
ST25731,PDGFR inhibitor|VEGFR inhibitor|KIT inhibitor,PDGFRB|FLT4|PDGFRA|KIT|FLT1|KDR
ST25732,KIT inhibitor|RET tyrosine kinase inhibitor|FGFR inhibitor|PDGFR inhibitor|VEGFR inhibitor|RAF inhibitor,PDGFRB|FGFR2|FGFR1|FLT4|RET|DDR2|MAPK11|PDGFRA|RAF1|FRK|BRAF|TEK|KIT|FLT1|ABL1|KDR
ST25733,FLT3 inhibitor|KIT inhibitor|RET tyrosine kinase inhibitor|PDGFR inhibitor|VEGFR inhibitor|RAF inhibitor,PDGFRB|FGFR1|FLT4|RET|DDR2|FLT3|RAF1|BRAF|KIT|FLT1|KDR
ST25734,FLT3 inhibitor|KIT inhibitor|RET tyrosine kinase inhibitor|PDGFR inhibitor|VEGFR inhibitor|RAF inhibitor,PDGFRB|FGFR1|FLT4|RET|DDR2|FLT3|RAF1|BRAF|KIT|FLT1|KDR
ST25735,FLT3 inhibitor|PDGFR inhibitor|KIT inhibitor,PDGFRA|PDGFRB|FLT3|KIT
ST25736,PDGFR inhibitor|VEGFR inhibitor|KIT inhibitor,KDR
ST25737,PDGFR inhibitor|VEGFR inhibitor|KIT inhibitor,PDGFRB|FLT4|KIT|FLT1|KDR
ST25738,MDM inhibitor,MDM2
ST25739,MDM inhibitor,MDM2
ST25740,MDM inhibitor,MDM2
ST25741,MDM inhibitor,MDM2
ST25742,MDM inhibitor,MDM4
ST25743,MDM inhibitor,MDM2
ST25744,MEK inhibitor,MAP2K1|CHUK
ST25745,MEK inhibitor,MAP2K1|MAP2K2
ST25746,MEK inhibitor,MAP2K5|MAPK7
ST25747,MEK inhibitor,MAP2K1
ST25748,Protein kinase inhibitor|MEK inhibitor|MAP kinase inhibitor,MAP2K1
ST25749,Protein kinase inhibitor|MEK inhibitor|MAP kinase inhibitor,MAP2K1
ST25750,MEK inhibitor,MAP2K1
ST25751,MEK inhibitor|MAP kinase inhibitor,MAP2K1|MAP2K2
ST25752,MEK inhibitor|MAP kinase inhibitor,MAP2K1
ST25753,MEK inhibitor,MAP2K1|MAP2K2
ST25754,MEK inhibitor,MAP2K1
ST25755,MEK inhibitor,MAP2K1
ST25756,MEK inhibitor,MAP2K1|MAP2K2
ST25757,MEK inhibitor,MAP2K1|MAP2K2
ST25758,MEK inhibitor,MAP2K1|MAP2K2
ST25759,MRP inhibitor|P-glycoprotein inhibitor,ABCC1|ABCB1
ST25760,PKA activator,PRKG1
ST25761,PKA inhibitor,PRKACA
ST25762,PKA inhibitor,PRKACA
