"","identifier","log2FoldChange","logCPM","LR","pvalue","padj","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","Symbol"
"1","ENSG00000000003",-0.762943444348991,6.79554750725462,7.96323396307575,0.00477370449002498,1,9606,7105,"UNQ767/PRO1560","X","Xq22","tetraspanin 6","protein-coding","TSPAN6","tetraspanin 6","O","A15 homolog|putative NF-kappa-B-activati","TSPAN6"
"2","ENSG00000000419",-0.559913411047556,5.81544948875221,5.7940677283398,0.0160803395167327,1,9606,8813,"RP5-914P20.2","20","20q13.13","dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit","protein-coding","DPM1","dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit","O","DPM synthase complex, catalytic subunit|","DPM1"
"3","ENSG00000000457",-0.18393673633925,3.90558649715767,0.595887139488713,0.440151585419224,1,9606,57147,"RP1-97P20.2","1","1q24.2","SCY1-like 3 (S. cerevisiae)","protein-coding","SCYL3","SCY1-like 3 (S. cerevisiae)","O","SCY1-like protein 3|ezrin-binding partne","SCYL3"
"4","ENSG00000000460",-0.733606939706161,4.56897516412644,10.3154497304698,0.00131921144399028,1,9606,55732,"NULL","1","1q24.2","chromosome 1 open reading frame 112","protein-coding","C1orf112","chromosome 1 open reading frame 112","O","uncharacterized protein C1orf112","C1orf112"
"5","ENSG00000000971",-1.15034208687693,7.59608026265013,15.1785497478617,9.78081787367591e-05,1,9606,3075,"RP1-177P10.1","1","1q32","complement factor H","protein-coding","CFH","complement factor H","O","H factor 1 (complement)|H factor 2 (comp","CFH"
"6","ENSG00000001036",-0.186228857093878,7.42034933413945,0.736636402535378,0.390740493353314,1,9606,2519,"RP1-20N2.5","6","6q24","fucosidase, alpha-L- 2, plasma","protein-coding","FUCA2","fucosidase, alpha-L- 2, plasma","O","alpha-L-fucosidase 2|alpha-L-fucoside fu","FUCA2"
"7","ENSG00000001084",1.77812405785866,6.31032103927162,54.5302980777415,1.53069580243215e-13,2.05572446266638e-09,9606,2729,"NULL","6","6p12","glutamate-cysteine ligase, catalytic subunit","protein-coding","GCLC","glutamate-cysteine ligase, catalytic subunit","O","GCS heavy chain|gamma-ECS|gamma-glutamyl","GCLC"
"8","ENSG00000001167",-0.717975813044812,5.66581654050094,10.5107773783674,0.0011868031732146,1,9606,4800,"NULL","6","6p21.3","nuclear transcription factor Y, alpha","protein-coding","NFYA","nuclear transcription factor Y, alpha","O","CAAT box DNA-binding protein subunit A|C","NFYA"
"9","ENSG00000001460",0.758628932058935,2.33133902753812,8.28279986156079,0.00400223683813142,1,9606,90529,"RP3-462O23.2","1","1p36.11","sperm-tail PG-rich repeat containing 1","protein-coding","STPG1","sperm-tail PG-rich repeat containing 1","O","O(6)-methylguanine-induced apoptosis 2|O","STPG1"
"10","ENSG00000001461",0.691044397858516,4.21576923579271,6.81512870416842,0.00903887889991092,1,9606,57185,"RP3-462O23.3","1","1p36.12-p35.1","NIPA-like domain containing 3","protein-coding","NIPAL3","NIPA-like domain containing 3","O","NIPA-like protein 3","NIPAL3"
"11","ENSG00000001497",-0.13665828967759,5.77468000308706,0.449217447993121,0.502706810257378,1,9606,81887,"RP3-475B7.2","X","Xq12","LAS1-like (S. cerevisiae)","protein-coding","LAS1L","LAS1-like (S. cerevisiae)","O","protein LAS1 homolog|ribosomal biogenesi","LAS1L"
"12","ENSG00000001561",-0.0431418963306409,2.13076942582626,0.0284957121347875,0.865948664427446,1,9606,22875,"NULL","6","6p21.1","ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)","protein-coding","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)","O","E-NPP 4|NPP-4|ectonucleotide pyrophospha","ENPP4"
